iter	RMSE
0	13.53925847
1	12.86307683
2	12.22872793
3	11.629396
4	11.14242114
5	10.67152738
6	10.19919693
7	9.777257711
8	9.418397279
9	9.07846698
10	8.814873282
11	8.539203366
12	8.333643022
13	8.152128115
14	7.911760905
15	7.781889159
16	7.626938991
17	7.505026527
18	7.37299133
19	7.287945384
20	7.194704991
21	7.12017959
22	7.042124694
23	6.976443961
24	6.911236899
25	6.847177692
26	6.788833044
27	6.741736688
28	6.686350305
29	6.637614997
30	6.59739757
31	6.554755216
32	6.520140791
33	6.474263229
34	6.453194124
35	6.418186824
36	6.362515541
37	6.339411616
38	6.307985891
39	6.27907126
40	6.256134346
41	6.223307961
42	6.169807434
43	6.148211483
44	6.124732025
45	6.111205594
46	6.084716681
47	6.064023652
48	6.048351631
49	6.024020338
50	5.982351454
51	5.95446354
52	5.933689192
53	5.91137731
54	5.877655445
55	5.856416766
56	5.831045187
57	5.820615119
58	5.807210815
59	5.801539574
60	5.78804567
61	5.774633347
62	5.744496406
63	5.730645239
64	5.707389309
65	5.67586314
66	5.664900745
67	5.626448998
68	5.600379867
69	5.579521084
70	5.560151791
71	5.533236035
72	5.512054079
73	5.482650666
74	5.4512118
75	5.445534805
76	5.422973712
77	5.407256495
78	5.396219795
79	5.385045558
80	5.375326883
81	5.368341808
82	5.337053541
83	5.329963511
84	5.315285814
85	5.300805619
86	5.280522561
87	5.251161689
88	5.23163419
89	5.210540304
90	5.185754208
91	5.16365842
92	5.156646727
93	5.144945497
94	5.126401835
95	5.095753813
96	5.078600586
97	5.066685505
98	5.06264259
99	5.046764906
100	5.041689554
101	5.026471692
102	5.011231496
103	4.994257284
104	4.98564376
105	4.978619907
106	4.974622641
107	4.942357144
108	4.905295564
109	4.861335185
110	4.836949935
111	4.813962153
112	4.785033937
113	4.761463002
114	4.747070406
115	4.726474237
116	4.715924601
117	4.696901912
118	4.664528064
119	4.63898444
120	4.618796231
121	4.616262259
122	4.597856576
123	4.576559755
124	4.557531525
125	4.538860212
126	4.525098244
127	4.508087581
128	4.467799145
129	4.458795697
130	4.437281305
131	4.429509746
132	4.42586714
133	4.410149759
134	4.388299279
135	4.377904017
136	4.358435018
137	4.34411185
138	4.341916902
139	4.340600504
140	4.338671955
141	4.325014698
142	4.307982829
143	4.292044101
144	4.272875475
145	4.249973709
146	4.225229728
147	4.215345271
148	4.193471769
149	4.17910948
150	4.164197245
151	4.162133445
152	4.140376429
153	4.117665591
154	4.095559781
155	4.065523441
156	4.048860636
157	4.029334622
158	4.012919715
159	4.003183644
160	3.987191226
161	3.985399052
162	3.976229602
163	3.960301572
164	3.949106816
165	3.947486818
166	3.935315947
167	3.921619286
168	3.916963395
169	3.898881351
170	3.887322038
171	3.863721896
172	3.861642986
173	3.851327043
174	3.833450094
175	3.829838354
176	3.829107958
177	3.819570448
178	3.810739666
179	3.797911965
180	3.779424426
181	3.756529435
182	3.751659634
183	3.73759777
184	3.722604437
185	3.710456978
186	3.69734886
187	3.689313677
188	3.680446278
189	3.658672849
190	3.639195346
191	3.626244045
192	3.609202259
193	3.598196358
194	3.583238956
195	3.56567168
196	3.551002715
197	3.541184431
198	3.533232717
199	3.525875978
