iter	Passed	Remaining
0	2	439
1	4	399
2	4	327
3	6	331
4	10	394
5	12	413
6	14	413
7	17	430
8	19	412
9	20	396
10	22	380
11	23	366
12	34	501
13	36	485
14	37	465
15	38	447
16	40	431
17	41	421
18	46	442
19	50	458
20	53	452
21	54	443
22	56	432
23	57	424
24	59	416
25	63	424
26	67	429
27	68	419
28	69	411
29	71	406
30	73	399
31	75	394
32	78	394
33	82	403
34	84	397
35	85	390
36	87	385
37	88	378
38	90	372
39	91	367
40	93	363
41	99	374
42	101	370
43	104	369
44	105	364
45	107	359
46	108	353
47	110	351
48	114	351
49	115	347
50	117	343
51	118	337
52	120	333
53	121	328
54	122	324
55	124	319
56	126	316
57	129	316
58	130	312
59	132	308
60	135	307
61	136	303
62	137	299
63	138	294
64	139	290
65	141	287
66	145	288
67	146	284
68	149	283
69	150	279
70	151	275
71	152	271
72	153	267
73	154	263
74	156	260
75	158	258
76	161	258
77	164	257
78	165	253
79	166	250
80	167	246
81	169	243
82	170	240
83	171	237
84	173	234
85	176	233
86	178	231
87	181	231
88	183	228
89	184	225
90	185	222
91	186	219
92	187	216
93	189	213
94	192	212
95	195	212
96	197	209
97	198	206
98	199	203
99	200	200
100	202	198
101	204	196
102	208	196
103	209	193
104	212	192
105	214	189
106	215	187
107	216	184
108	218	182
109	221	181
110	224	180
111	227	178
112	228	176
113	230	173
114	231	171
115	237	172
116	239	169
117	240	167
118	242	165
119	243	162
120	244	159
121	245	157
122	247	154
123	248	152
124	249	149
125	253	148
126	255	146
127	257	144
128	259	142
129	260	140
130	261	137
131	262	135
132	266	134
133	269	132
134	271	130
135	272	128
136	275	126
137	277	124
138	279	122
139	281	120
140	284	118
141	285	116
142	287	114
143	289	112
144	290	110
145	292	108
146	293	105
147	294	103
148	295	101
149	299	99
150	301	97
151	304	96
152	305	93
153	306	91
154	308	89
155	310	87
156	312	85
157	316	84
158	318	82
159	319	79
160	320	77
161	323	75
162	324	73
163	325	71
164	327	69
165	329	67
166	331	65
167	333	63
168	334	61
169	335	59
170	337	57
171	338	55
172	340	53
173	341	51
174	343	49
175	346	47
176	347	45
177	348	43
178	350	41
179	351	39
180	352	37
181	354	35
182	355	33
183	356	31
184	360	29
185	362	27
186	363	25
187	364	23
188	366	21
189	367	19
190	369	17
191	370	15
192	372	13
193	374	11
194	377	9
195	378	7
196	380	5
197	381	3
198	382	1
199	384	0
