Clone Name,Accession,Donor Collection,Donor Name,NA Code
A 645 [ECU],RUQ 1603,"Estation Experimental Tropical Pichilingue, Ecuador",,31633
AM 1 /8 [POU],RUQ 469,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,254
AM 1 /57 [POU],RUQ 1748,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,15304
AMAZ 3 /2,RUQ 91,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,12545
AMAZ 5 /2,RUQ 93,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,571
AMAZ 12,RUQ 334,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,582
APA 4,RUQ 843,"CIRAD (Centre de Coopération Internationale en Researche Agronomique pour le Développment), France",,597
APA 5,RUQ 1695,"Centro Agronómico Tropical de Investigación y Enseñanza (CATIE), Costa Rica",,598
ARF 12,RUQ 1364,"Centro Agronómico Tropical de Investigación y Enseñanza (CATIE), Costa Rica",,12023
B 6 /3 [POU],RUQ 1595,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,759
B 9 /10-25 [POU],RUQ 1527,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,11571
B 9 /10-32 [POU],RUQ 1702,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,11573
B 12 /1 [POU],RUQ 1541,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,16973
CATIE 1000,RUQ 844,"CIRAD (Centre de Coopération Internationale en Researche Agronomique pour le Développment), France",,2271
CC 137,RUQ 1637,"Centro Agronómico Tropical de Investigación y Enseñanza (CATIE), Costa Rica",,2331
CC 252,RUQ 1506,"Centro Agronómico Tropical de Investigación y Enseñanza (CATIE), Costa Rica",,2372
CCN 51,RUQ 1736,"Nestle, France",,2393
CCN 51,RUQ 1737,"Nestle, France",,2393
CL 10 /5,RUQ 1540,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,15511
CL 10 /27,RUQ 1597,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,10761
CL 13 /4,RUQ 1622,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,15560
CL 19 /10,RUQ 905,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,2686
COCA 3348 /44 [CHA],RUQ 1723,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,2892
COCA 3348 /52 [CHA],RUQ 141,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",EQX 3348/52,2893
COCA 3370 /5 [CHA],RUQ 137,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,2902
CRIOLLO 13 [CRI],RUQ 1758,"Centro Agronómico Tropical de Investigación y Enseñanza (CATIE), Costa Rica",,2940
CRIOLLO 21 [CRI],RUQ 1682,"Centro Agronómico Tropical de Investigación y Enseñanza (CATIE), Costa Rica",,10234
CRIOLLO 27 [CRI],RUQ 1745,"Centro Agronómico Tropical de Investigación y Enseñanza (CATIE), Costa Rica",,2952
CRU 12,RUQ 1528,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,17288
CRU 56,RUQ 1660,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,10864
CRU 70,RUQ 897,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,10871
CRU 78,RUQ 1629,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,10876
CRU 89,RUQ 1383,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,10886
CRU 104,RUQ 1585,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,2993
CRU 124,RUQ 909,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,10906
CRU 126,RUQ 1698,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,10908
CRU 269,RUQ 1632,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,31724
CRUZ 7 /14,RUQ 1569,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,3010
DOM 4,RUQ 544,"Barbados Quarantine Station, Barbados",,14683
DOM 14,RUQ 567,"Barbados Quarantine Station, Barbados",,14691
DOM 25,RUQ 673,"Barbados Quarantine Station, Barbados",,14699
EBC 5 /S-401,RUQ 1138,"CIRAD (Centre de Coopération Internationale en Researche Agronomique pour le Développment), France",,3135
EBC 10 /S-401,RUQ 1173,"CIRAD (Centre de Coopération Internationale en Researche Agronomique pour le Développment), France",,3143
EBC 148,RUQ 1599,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,3271
