Clone name,Colour dark purple,Colour light purple,Colour white,Colour mottled,Number,Length,Width,Thickness,Wet weight,Cotyledon wet weight,Info,Notes,Refcode,Dry weight,Colour,Colour purple,Shape,Size,Cotyledon dry weight,Cotyledon length,Cotyledon width,Cotyledon thickness,Total wet weight,Total dry weight,Colour grey,Number (max),Accession
AGU 21 [CHA],-,+,+,+,-,-,-,-,-,-,expedition data,expedition code 73CH,CHA70S,,,,,,,,,,,,,,
AGU 22 [CHA],-,-,+,+,-,-,-,-,-,-,expedition data,expedition code 73CH,CHA70S,,,,,,,,,,,,,,
AGU 23 [CHA],-,-,+,-,-,-,-,-,-,-,expedition data,expedition code 73CH,CHA70S,,,,,,,,,,,,,,
AGU 25 [CHA],-,-,+,-,-,-,-,-,-,-,expedition data,expedition code 73CH,CHA70S,,,,,,,,,,,,,,
AGU 28 [CHA],-,-,+,-,-,-,-,-,-,-,expedition data,expedition code 73CH,CHA70S,,,,,,,,,,,,,,
AGU 3010 [CHA],-,-,+,-,-,24.6,11.8,10.5,5.78,1.78,expedition data,expedition code 68CH,CHA70S,,,,,,,,,,,,,,
AGU 3012 [CHA],-,-,+,-,12.0,26.8,14.6,10.7,5.29,2.47,expedition data,expedition code 68CH,CHA70S,,,,,,,,,,,,,,
AGU 3014 [CHA],-,-,+,-,33.0,25.2,13.6,11.4,5.87,2.25,expedition data,expedition code 68CH,CHA70S,,,,,,,,,,,,,,
AGU 3057 [CHA],-,-,-,-,-,26.1,14.2,9.1,6.50,2.33,expedition data,expedition code 68CH,CHA70S,,,,,,,,,,,,,,
AGU 3059 [CHA],-,-,-,-,-,26.9,14.2,10.7,5.95,1.67,expedition data,expedition code 68CH,CHA70S,,,,,,,,,,,,,,
AGU 31 [CHA],-,-,+,+,-,-,-,-,-,-,expedition data,expedition code 73CH,CHA70S,,,,,,,,,,,,,,
AGU 3300 [CHA],-,-,+,-,-,-,-,-,-,-,expedition data,expedition code 69CH,CHA70S,,,,,,,,,,,,,,
AGU 3301 [CHA],-,-,+,-,-,-,-,-,-,-,expedition data,expedition code 69CH,CHA70S,,,,,,,,,,,,,,
AGU 3327 [CHA],-,-,+,-,-,-,-,-,-,-,expedition data,expedition code 69CH,CHA70S,,,,,,,,,,,,,,
AGU 3338 [CHA],-,-,-,-,-,25.6,13.7,9.6,6.42,2.09,expedition data,expedition code 70CH,CHA70S,,,,,,,,,,,,,,
AGU 3339 [CHA],-,-,-,-,-,24.2,13.8,9.9,-,-,expedition data,expedition code 70CH,CHA70S,,,,,,,,,,,,,,
AGU 3342 [CHA],-,-,-,-,-,24.7,14.6,9.8,-,1.70,expedition data,expedition code 70CH,CHA70S,,,,,,,,,,,,,,
AMAZ 1,+,-,-,-,23.0,-,-,-,-,-,expedition data,expedition code 73CH,CHA70S,,,,,,,,,,,,,,
AMAZ 1 /5,+,-,-,-,18.0,-,-,-,-,-,expedition data,expedition code 73CH,CHA70S,,,,,,,,,,,,,,
AMAZ 10,+,+,-,-,49.0,-,-,-,-,-,expedition data,expedition code 73CH,CHA70S,,,,,,,,,,,,,,
AMAZ 11,-,+,-,-,47.0,-,-,-,-,-,expedition data,expedition code 73CH,CHA70S,,,,,,,,,,,,,,
AMAZ 12,-,-,-,-,19.0,-,-,-,-,-,expedition data,expedition code 73CH,CHA70S,,,,,,,,,,,,,,
AMAZ 16,+,-,-,-,13.0,-,-,-,-,-,expedition data,expedition code 73CH,CHA70S,,,,,,,,,,,,,,
AMAZ 2,+,-,-,-,25.0,-,-,-,-,-,expedition data,expedition code 73CH,CHA70S,,,,,,,,,,,,,,
AMAZ 3,+,-,-,-,22.0,-,-,-,-,-,expedition data,expedition code 73CH,CHA70S,,,,,,,,,,,,,,
AMAZ 5,+,-,-,-,21.0,-,-,-,-,-,expedition data,expedition code 73CH,CHA70S,,,,,,,,,,,,,,
AMAZ 6,+,-,-,-,40.0,-,-,-,-,-,expedition data,expedition code 73CH,CHA70S,,,,,,,,,,,,,,
AMAZ 7,+,-,-,-,41.0,-,-,-,-,-,expedition data,expedition code 73CH,CHA70S,,,,,,,,,,,,,,
AMAZ 8,+,-,-,-,14.0,-,-,-,-,-,expedition data,expedition code 73CH,CHA70S,,,,,,,,,,,,,,
COCA 10 [CHA],-,-,+,+,-,-,-,-,-,-,expedition data,expedition code 73CH,CHA70S,,,,,,,,,,,,,,
COCA 3015 [CHA],-,-,+,+,15.0,23.0,12.4,9.5,5.89,2.35,expedition data,expedition code 68CH,CHA70S,,,,,,,,,,,,,,
COCA 3017 [CHA],-,-,+,-,6.0,26.0,14.7,8.5,4.53,1.94,expedition data,expedition code 68CH,CHA70S,,,,,,,,,,,,,,
COCA 3018 [CHA],-,+,+,-,15.0,-,-,-,-,-,expedition data,expedition code 68CH,CHA70S,,,,,,,,,,,,,,
COCA 3023 [CHA],-,-,+,+,-,22.8,13.0,9.4,4.56,1.51,expedition data,expedition code 68CH,CHA70S,,,,,,,,,,,,,,
COCA 3035 [CHA],-,-,-,-,-,20.0,11.2,7.4,3.86,0.75,expedition data,expedition code 68CH,CHA70S,,,,,,,,,,,,,,
COCA 3302 [CHA],-,-,+,-,-,-,-,-,-,-,expedition data,expedition code 69CH,CHA70S,,,,,,,,,,,,,,
COCA 3303 [CHA],-,-,-,-,-,25.2,12.5,9.5,5.01,1.60,expedition data,expedition code 69CH,CHA70S,,,,,,,,,,,,,,
COCA 3304 [CHA],-,+,+,-,-,-,-,-,-,-,expedition data,expedition code 69CH,CHA70S,,,,,,,,,,,,,,
COCA 3305 [CHA],-,-,+,-,-,-,-,-,3.02,1.58,expedition data,expedition code 69CH,CHA70S,,,,,,,,,,,,,,
Unknown,-,-,-,-,-,-,-,-,3.36,1.06,expedition data,expedition code 69CH,CHA70S,,,,,,,,,,,,,,
Unknown,-,+,+,-,-,-,-,-,-,-,expedition data,expedition code 69CH,CHA70S,,,,,,,,,,,,,,
Unknown,-,-,-,-,-,-,-,-,3.96,1.00,expedition data,expedition code 69CH,CHA70S,,,,,,,,,,,,,,
COCA 3309 [CHA],-,+,+,-,-,23.2,12.4,9.5,5.74,1.29,expedition data,expedition code 69CH,CHA70S,,,,,,,,,,,,,,
COCA 3310 [CHA],-,-,+,-,-,21.5,12.6,9.6,4.21,1.57,expedition data,expedition code 69CH,CHA70S,,,,,,,,,,,,,,
COCA 3311 [CHA],-,-,+,-,-,21.6,11.5,8.6,3.88,1.31,expedition data,expedition code 69CH,CHA70S,,,,,,,,,,,,,,
COCA 3313 [CHA],-,-,+,-,-,-,-,-,-,-,expedition data,expedition code 69CH,CHA70S,,,,,,,,,,,,,,
COCA 3314 [CHA],-,-,-,-,-,25.1,13.0,10.6,5.55,2.11,expedition data,expedition code 69CH,CHA70S,,,,,,,,,,,,,,
COCA 3315 [CHA],-,+,+,-,-,22.7,12.8,9.1,3.77,1.45,expedition data,expedition code 69CH,CHA70S,,,,,,,,,,,,,,
COCA 3316 [CHA],-,-,-,-,-,24.1,13.4,9.9,-,-,expedition data,expedition code 69CH,CHA70S,,,,,,,,,,,,,,
COCA 3317 [CHA],-,-,-,-,-,24.3,12.0,10.0,5.09,1.40,expedition data,expedition code 69CH,CHA70S,,,,,,,,,,,,,,
COCA 3319 [CHA],-,-,-,-,-,24.9,13.3,9.5,4.56,2.21,expedition data,expedition code 69CH,CHA70S,,,,,,,,,,,,,,
COCA 3328 [CHA],-,-,+,-,-,26.6,14.1,9.1,5.54,2.03,expedition data,expedition code 70CH,CHA70S,,,,,,,,,,,,,,
COCA 3333 [CHA],-,-,+,-,-,-,-,-,-,-,expedition data,expedition code 70CH,CHA70S,,,,,,,,,,,,,,
COCA 3334 [CHA],-,-,-,-,-,23.1,12.0,6.6,3.89,1.17,expedition data,expedition code 70CH,CHA70S,,,,,,,,,,,,,,
COCA 3335 [CHA],-,-,+,-,-,24.6,12.9,9.4,4.59,1.53,expedition data,expedition code 70CH,CHA70S,,,,,,,,,,,,,,
COCA 3336 [CHA],-,-,-,-,-,-,-,-,1.80,0.65,expedition data,expedition code 70CH,CHA70S,,,,,,,,,,,,,,
COCA 3343 [CHA],-,-,+,-,-,24.3,12.3,9.9,5.77,1.99,expedition data,expedition code 70CH,CHA70S,,,,,,,,,,,,,,
COCA 3344 [CHA],-,+,+,-,-,-,-,-,-,-,expedition data,expedition code 70CH,CHA70S,,,,,,,,,,,,,,
COCA 3346 [CHA],-,-,+,-,-,-,-,-,-,-,expedition data,expedition code 70CH,CHA70S,,,,,,,,,,,,,,
COCA 3347 [CHA],-,-,-,-,-,28.9,13.3,9.5,4.48,2.25,expedition data,expedition code 70CH,CHA70S,,,,,,,,,,,,,,
COCA 3348 [CHA],+,+,+,-,-,25.1,13.8,10.5,6.58,2.37,expedition data,expedition code 70CH,CHA70S,,,,,,,,,,,,,,
COCA 3352 [CHA],-,-,-,-,-,23.4,12.5,9.7,4.99,1.87,expedition data,expedition code 70CH,CHA70S,,,,,,,,,,,,,,
COCA 3353 [CHA],-,-,-,-,-,24.6,14.8,11.0,5.22,2.00,expedition data,expedition code 70CH,CHA70S,,,,,,,,,,,,,,
COCA 3354 [CHA],-,-,-,-,-,24.1,13.6,9.9,5.58,2.66,expedition data,expedition code 70CH,CHA70S,,,,,,,,,,,,,,
COCA 3356 [CHA],-,-,-,-,-,24.3,13.5,9.0,3.48,1.95,expedition data,expedition code 70CH,CHA70S,,,,,,,,,,,,,,
NAPO 13 [CHA],-,-,+,+,-,-,-,-,-,-,expedition data,expedition code 73CH,CHA70S,,,,,,,,,,,,,,
