Clone name,Fat,Info,Refcode,Fat (max),Fat min,Testa
DRC 16,56.0,-,IDN13A,,,
GC7 [IDN],55.0,-,IDN13A,,,
ICCRI 03,55.1,-,IDN13A,,,
ICCRI 04,55.07,-,IDN13A,,,
ICCRI 07,45.67,-,IDN13A,,,
ICCRI 09,48.55,-,IDN13A,,,
ICCRI 02,56.0,-,IDN13A,,,
ICS 13,52.0,-,IDN13A,,,
ICS 60,54.0,-,IDN13A,,,
MCC 01,49.67,-,IDN13A,,,
MCC 02,49.2,-,IDN13A,,,
RCC 70,57.0,-,IDN13A,,,
SCA 6,53.9,Fat content: 49.6 - 58.17 %,IDN13A,,,
Sulawesi 01,49.0,Fat content: 48 - 50 %,IDN13A,,,
Sulawesi 02,55.07,-,IDN13A,,,
Sulawesi 03,50.3,Fat content: 49.6 - 50.9 %,IDN13A,,,
TSH 858,56.0,-,IDN13A,,,
AC T 2 /18 [TTO],56.3,17 plants sampled,BAL91B,58.91,53.74,
AC T 4 /2 [TTO],53.5,9 plants sampled,BAL91B,56.73,50.00,
AMAZ 15 /15,56.7,8 plants sampled,BAL91B,58.08,54.58,
AMAZ 2 /1,56.8,6 plants sampled,BAL91B,58.77,54.95,
AML [MAL],56.7,6 plants sampled,BAL91B,58.00,54.96,
APA 4,54.8,10 plants sampled,BAL91B,57.38,52.50,
APA 5,60.2,5 plants sampled,BAL91B,-,-,
BE 10,56.5,10 plants sampled,BAL91B,59.05,52.21,
C 13 /5 [TRI],55.4,11 plants sampled,BAL91B,58.37,50.39,
CAS 1,57.6,6 plants sampled,BAL91B,59.26,55.26,
CATONGO,57.0,12 plants sampled,BAL91B,58.71,54.56,
CATONGO,56.3,13 plants sampled,BAL91B,-,-,
CC 10,56.7,5 plants sampled,BAL91B,57.43,56.01,
CC 11,56.8,8 plants sampled,BAL91B,57.70,55.30,
CC 34,54.2,7 plants sampled,BAL91B,55.34,52.00,
CC 38,53.9,7 plants sampled,BAL91B,56.18,51.87,
CC 41,52.1,11 plants sampled,BAL91B,54.01,50.23,
CC 54,52.3,13 plants sampled,BAL91B,56.49,48.77,
CC 60,59.0,2 plants sampled,BAL91B,59.44,58.59,
CC 67,55.1,10 plants sampled,BAL91B,58.46,52.28,
CC 71,53.9,11 plants sampled,BAL91B,-,-,
CC 71,54.6,3 plants sampled,BAL91B,55.35,53.92,
CCN 10,52.1,1 plant sampled,BAL91B,52.05,52.05,
COCA 3356 [CHA],56.5,12 plants sampled,BAL91B,-,-,
COCA 3356 [CHA],56.6,6 plants sampled,BAL91B,59.04,54.30,
EEG 64,53.5,11 plants sampled,BAL91B,-,-,
EEG 64,52.8,2 plants sampled,BAL91B,54.98,50.56,
EET 236 [ECU],56.1,9 plants sampled,BAL91B,59.44,54.11,
EET 272 [ECU],57.1,6 plants sampled,BAL91B,-,-,
EET 283 [ECU],54.6,9 plants sampled,BAL91B,56.94,53.04,
EET 308 [ECU],56.9,5 plants sampled,BAL91B,57.80,56.20,
EET 353 [ECU],54.6,12 plants sampled,BAL91B,-,-,
EET 353 [ECU],54.6,12 plants sampled,BAL91B,56.23,52.75,
EET 376 [ECU],56.7,9 plants sampled,BAL91B,57.55,55.41,
EET 376 [ECU],54.3,7 plants sampled,BAL91B,-,-,
EET 390 [ECU],59.1,1 plant sampled,BAL91B,59.09,59.09,
EET 399 [ECU],58.3,12 plants sampled,BAL91B,61.96,55.89,
EET 400 [ECU],54.4,18 plants sampled,BAL91B,57.90,52.05,
EET 75 [ECU],53.0,9 plants sampled,BAL91B,54.99,51.42,
EQX 12 [EQX],55.9,12 plants sampled,BAL91B,60.65,52.28,
EQX 16 [EQX],54.7,3 plants sampled,BAL91B,56.60,53.72,
EQX 80 [EQX],55.2,9 plants sampled,BAL91B,56.01,55.26,
GA 57 [MAY],54.0,10 plants sampled,BAL91B,56.00,52.15,
ICS 1,54.0,7 plants sampled,BAL91B,57.61,50.40,
ICS 100,54.1,10 plants sampled,BAL91B,58.31,51.60,
ICS 16,53.9,16 plants sampled,BAL91B,56.49,51.36,
ICS 39,55.0,10 plants sampled,BAL91B,58.08,54.08,
ICS 46,54.9,7 plants sampled,BAL91B,56.32,54.03,
ICS 6,53.4,9 plants sampled,BAL91B,55.39,51.16,
ICS 60,57.2,6 plants sampled,BAL91B,59.01,54.82,
ICS 75,55.3,6 plants sampled,BAL91B,-,-,
ICS 8,52.4,9 plants sampled,BAL91B,55.71,49.74,
ICS 84,56.7,8 plants sampled,BAL91B,58.57,54.59,
ICS 95,53.7,6 plants sampled,BAL91B,56.02,52.66,
ICS 98,54.2,6 plants sampled,BAL91B,-,-,
ICS 98,53.4,5 plants sampled,BAL91B,55.26,51.22,
IMC 105,56.8,6 plants sampled,BAL91B,58.39,55.78,
IMC 14,55.3,9 plants sampled,BAL91B,56.18,54.18,
IMC 2,55.0,11 plants sampled,BAL91B,58.55,51.82,
IMC 23,56.6,13 plants sampled,BAL91B,59.35,55.08,
IMC 47,56.2,10 plants sampled,BAL91B,57.65,54.68,
IMC 53,55.3,8 plants sampled,BAL91B,-,-,
IMC 58,58.4,9 plants sampled,BAL91B,-,-,
IMC 67,56.8,8 plants sampled,BAL91B,58.01,55.93,
IMC 85,56.7,10 plants sampled,BAL91B,59.54,54.60,
JA 5 /46 [POU],55.5,8 plants sampled,BAL91B,57.02,54.85,
K 13 [KER],53.6,9 plants sampled,BAL91B,55.36,51.72,
K 2 /106 [KER],53.2,6 plants sampled,BAL91B,59.40,49.79,
K 20 [KER],54.2,5 plants sampled,BAL91B,55.51,52.28,
K 21 [KER],54.7,6 plants sampled,BAL91B,56.01,53.55,
K 24 /106 [KER],51.7,7 plants sampled,BAL91B,56.43,48.70,
K 6 /101 [KER],55.6,9 plants sampled,BAL91B,57.46,53.10,
K 82 [KER],54.9,6 plants sampled,BAL91B,56.48,54.01,
KA 2 /101,53.0,6 plants sampled,BAL91B,54.59,52.31,
KA 2 /106,51.9,5 plants sampled,BAL91B,54.32,49.79,
KA 5 /201,55.1,7 plants sampled,BAL91B,58.44,51.89,
LCT EEN 258 /H,53.8,8 plants sampled,BAL91B,-,-,
LCT EEN 37 /A,52.4,5 plants sampled,BAL91B,-,-,
LCT EEN 37 /C,54.2,5 plants sampled,BAL91B,-,-,
LCT EEN 37 /E,55.3,6 plants sampled,BAL91B,-,-,
LCT EEN 37 /F,50.8,9 plants sampled,BAL91B,-,-,
LCT EEN 37 /H,57.2,9 plants sampled,BAL91B,-,-,
LCT EEN 37 /I,52.5,7 plants sampled,BAL91B,-,-,
LCT EEN 73 /A,56.3,5 plants sampled,BAL91B,-,-,
LCT EEN 73 /B,54.4,5 plants sampled,BAL91B,-,-,
LCT EEN 73 /E,51.5,6 plants sampled,BAL91B,-,-,
LCT EEN 80 /F,54.8,5 plants sampled,BAL91B,-,-,
M 109 [ICT],52.4,5 plants sampled,BAL91B,53.26,51.05,
M 180 [ICT],58.6,10 plants sampled,BAL91B,60.77,56.76,
MATINA 1 /9,55.8,6 plants sampled,BAL91B,57.86,55.01,
MO 81,58.6,9 plants sampled,BAL91B,59.25,57.44,
MO 98,54.7,12 plants sampled,BAL91B,57.73,51.75,
MOCORONGO,54.7,15 plants sampled,BAL91B,-,-,
MOCORONGO,54.6,4 plants sampled,BAL91B,55.74,52.92,
MOQ 4 /17,55.2,7 plants sampled,BAL91B,56.18,54.05,
NA 101,55.4,9 plants sampled,BAL91B,-,-,
NA 110,55.0,10 plants sampled,BAL91B,-,-,
NA 121,56.2,12 plants sampled,BAL91B,-,-,
NA 141,55.3,10 plants sampled,BAL91B,-,-,
NA 149,55.2,10 plants sampled,BAL91B,-,-,
NA 162,58.3,10 plants sampled,BAL91B,-,-,
NA 168,58.5,5 plants sampled,BAL91B,-,-,
NA 171,57.8,12 plants sampled,BAL91B,-,-,
NA 180,57.7,9 plants sampled,BAL91B,-,-,
NA 214,57.6,9 plants sampled,BAL91B,-,-,
NA 217,57.0,11 plants sampled,BAL91B,-,-,
NA 226,56.7,10 plants sampled,BAL91B,-,-,
NA 227,56.9,10 plants sampled,BAL91B,-,-,
NA 235,56.1,9 plants sampled,BAL91B,-,-,
NA 247,58.0,10 plants sampled,BAL91B,-,-,
NA 250,55.7,11 plants sampled,BAL91B,-,-,
NA 256,55.8,10 plants sampled,BAL91B,-,-,
NA 258,53.8,9 plants sampled,BAL91B,-,-,
NA 26,60.2,5 plants sampled,BAL91B,-,-,
NA 260,59.3,10 plants sampled,BAL91B,-,-,
NA 27,57.2,5 plants sampled,BAL91B,-,-,
NA 283,56.5,11 plants sampled,BAL91B,-,-,
NA 284,53.7,10 plants sampled,BAL91B,-,-,
NA 31,57.7,9 plants sampled,BAL91B,60.22,54.78,
NA 311,57.2,12 plants sampled,BAL91B,-,-,
NA 32,55.7,7 plants sampled,BAL91B,59.21,54.44,
NA 33,53.4,10 plants sampled,BAL91B,54.71,52.51,
NA 34,57.6,7 plants sampled,BAL91B,58.72,55.57,
NA 70,55.4,12 plants sampled,BAL91B,-,-,
NA 77,59.0,9 plants sampled,BAL91B,-,-,
P 10 [MEX],56.6,7 plants sampled,BAL91B,57.96,55.47,
P 4 /NANAY [UNK],57.0,10 plants sampled,BAL91B,-,-,
PA 107 [PER],56.9,13 plants sampled,BAL91B,60.22,54.06,
PA 121 [PER],56.0,13 plants sampled,BAL91B,59.92,53.23,
PA 127 [PER],57.0,12 plants sampled,BAL91B,60.27,54.62,
PA 13 [PER],60.2,13 plants sampled,BAL91B,62.71,57.62,
PA 137 [PER],57.0,8 plants sampled,BAL91B,59.41,54.77,
PA 138 [PER],57.7,10 plants sampled,BAL91B,61.37,55.12,
PA 149 [PER],56.5,6 plants sampled,BAL91B,58.26,55.32,
PA 156 [PER],56.7,8 plants sampled,BAL91B,59.17,55.50,
PA 175 [PER],56.7,13 plants sampled,BAL91B,58.09,55.09,
PA 179 [PER],54.9,8 plants sampled,BAL91B,-,-,
PA 300 [PER],55.0,16 plants sampled,BAL91B,58.48,52.92,
PA 35 [PER],55.7,7 plants sampled,BAL91B,-,-,
PA 56 [PER],56.4,6 plants sampled,BAL91B,-,-,
PA 56 [PER],53.4,-,BAL91B,-,-,
PA 7 [PER],57.2,8 plants sampled,BAL91B,58.86,56.55,
PA 73 [PER],58.9,7 plants sampled,BAL91B,-,-,
