Clone name,Pathogen,Species,Reaction,Part,Notes,Refcode,Infection,Info,Accession
ICS 84,Phytophthora,P. megakarya,resistant,Pod,(Note: Blaha 1976a [BLA76A] cites as showing resistance to Phytothphora palmivora.),ESK93A,,,
SNK 16,Phytophthora,P. megakarya,resistant,Pod,(Note: Cameroon - resistance to pod infection with P. megakarya observed by Blaha et al in the 1970's.),ESK93A,,,
SNK 32,Phytophthora,P. megakarya,resistant,Pod,(Note: Cameroon - resistance to pod infection with P. megakarya observed by Blaha et al in the 1970's.),ESK93A,,,
SNK 413,Phytophthora,P. megakarya,resistant,Pod,(Note: Cameroon - resistance to pod infection with P. megakarya observed by Blaha et al in the 1970's.),ESK93A,,,
SNK 64,Phytophthora,P. megakarya,resistant,Pod,(Note: Cameroon - resistance to pod infection with P. megakarya observed by Blaha et al in the 1970's.),ESK93A,,,
AMELONADO [VAR],Vascular Streak Dieback,,susceptible,,,BON89A,,,
ICS 39,Vascular Streak Dieback,,intermediate,,,BON89A,,,
ICS 60,Vascular Streak Dieback,,intermediate,,,BON89A,,,
NA 32,Vascular Streak Dieback,,susceptible,,,BON89A,,,
NA 33,Vascular Streak Dieback,,tolerant,,,BON89A,,,
PA 138 [PER],Vascular Streak Dieback,,tolerant,,,BON89A,,,
PA 156 [PER],Vascular Streak Dieback,,tolerant,,,BON89A,,,
PA 20 [PER],Vascular Streak Dieback,,tolerant,,,BON89A,,,
PA 7 [PER],Vascular Streak Dieback,,susceptible,,,BON89A,,,
PA 76 [PER],Vascular Streak Dieback,,tolerant,,,BON89A,,,
SCA 6,Vascular Streak Dieback,,tolerant,,,BON89A,,,
SCA 9,Vascular Streak Dieback,,tolerant,,,BON89A,,,
UIT 1,Vascular Streak Dieback,,intermediate,,,BON89A,,,
UIT 2,Vascular Streak Dieback,,intermediate,,,BON89A,,,
ICS 1,Ceratosystis,,susceptible,,,BAR63A,,,
