Clone name,Description,Refcode,Notes,Temp,Duration
EET 19 [ECU],fruity/floral aroma,INI20A,,,
EET 95 [ECU],"medium fruit/floral aroma, highly adaptable",INI20A,,,
EET 96 [ECU],"fruit/floral aroma, adaptable",INI20A,,,
TARS 1,"A very complex nut character comes through, more like chestnuts roasting with a blend of some hazelnut skins",TAR10A,Flavor profile of 65% chocolate,,
TARS 14,"Good base chocolate notes with a deep woody source; slight earthy, woodsy, and mushroom notes; overall flavor comes off as quite good, very complex and very dark",TAR10A,Flavor profile of 65% chocolate,,
TARS 15,"Very dark color; early mild astringency with an interesting wood resin/floral note that comes through nicely; the late taste has an aldehyde, frnit character that is quite interesting; the continuing aftertaste of the chocolate is very notable; complex floral/mild fruit note",TAR10A,Flavor profile of 65% chocolate,,
TARS 23,"Rich, smooth chocolate profile up front with lots of deeper, mild dark wood notes; really good overall flavor profile; the aftertaste is really a good chocolate",TAR10A,Flavor profile of 65% chocolate,,
TARS 27,"Smoother flavor profile from the beginning with some very mild floral notes and some mild chocolate cocoa; some mild spice notes along with slight flowers; the color is also a very attractive brown, lighter brown hue",TAR10A,Flavor profile of 65% chocolate,,
TARS 30,More of a woody late floral taste; astringency comes back at the aftertaste,TAR10A,Flavor profile of 65% chocolate,,
TARS 31,Interesting fruit tartness along with some astringency and a complex mildly floral with tropical fruit notes,TAR10A,Flavor profile of 65% chocolate,,
TARS 34,Mild chocolate note with some mild fruit character; more of a fleshy yellow fruit flavor and some mild brightness; acceptable flavor,TAR10A,Flavor profile of 65% chocolate,,
TARS 9,Gorgeous color; very smooth in flavor profile; very mild chocolate notes up front with low overall bitterness and a distinct nut character that persists; aftertaste has a residual nut/nut skins note; really good chocolate,TAR10A,Flavor profile of 65% chocolate,,
CATIE-R1,Mild early acidity that is definitely fruit like. Very pleasant. It has middle cooked fruit / yellow fruit note. It could be seen also as a dried red fruit. It is moderate cocoa in midtaste with some bitterness with the cocoa. Astringency is present but moderate. Ends with a very pleasant cocoa / browned fruit note along with mild bitterness.,PHI13A,Provided by Ed Seguine,126,25
CATIE-R4,It has an initial acidity that is a cross between fruit acid and a mineral acid (like Papua-New Guinea acidity). Has a shift to the center taste of a very aromatic and floral woody note like a fragrant cedar woody character. Chocolate is moderate with only moderate astringency but more bitterness. It is a very interesting flavor bean type.,PHI13A,Provided by Ed Seguine,126,25
CATIE-R6,Moderate up front acidity with mineral acid and fruit acid notes. Middle taste has some brown wood characteristics with moderate astringency and mild bitterness. It has a later browned fruit / dried fruit note. Has a middle-to-end chocolate base that is quite good. 126°C x 25 minutes is a good roast for this bean.,PHI13A,Provided by Ed Seguine,126,25
CC 137,"Moderate up front acidity with a mix of fruit (citric) and mineral acid. Cacao is relatively low. It has low bitterness and moderate astringency. Some generic browned notes, but this is not a particularly distinguished bean. It could be used for a very mild milk chocolate.",PHI13A,Provided by Ed Seguine,145,14
ICS 95,"Astringent up front followed by sharp acid, but not as strong at the lower roasting temperature. Has a distinct bitter, browned character. Has some chocolate, but not a lot. Late taste is mildly astringent but has a green forest note.",PHI13A,Provided by Ed Seguine,-,-
PMCT 58,"Mild acidity early on that gives way to definite browned, dried fruit, leathery, dark raisin-like notes. Clean flavor. Has low astringency and only mild bitterness. Some chocolate flavor, but is mild. Very interesting flavor profile. Based on the end taste, the end bitterness is coming from the roast rather than from the beans.",PHI13A,Provided by Ed Seguine,149,13
