Clone name,Self compatibility,Refcode,Bud colour,Ligule colour,Stamen colour,Guide line length,Sepal colour,Sepal width,Sepal length,Sepal length width,Ligule length,Ligule width,Ligule length width,Ribbon length,Ribbon colour,Ovary colour,Ovary width,Ovary length,Ovary length width,Ovule number,Style colour,Style length,Staminode colour,Staminode length,Pedicel length,Hairs,Pigmented glands,Horns,Pigmented spot,Notes,Stamen size,Sepal size,Ligule size,Pedicel size,Accession,Sepal orientation,Sepal shape,Ligule shape,Info,Petal length
BE 10,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BE 3,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BE 8,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BE 9,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C 87 /56 [TRI],self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C SUL 3,self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C SUL 4,self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C SUL 9,self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA 2 [BRA],self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA 4 [BRA],self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA 5 [BRA],self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA 6 [BRA],self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAS 1,self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAS 2,self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC 10,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC 17,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC 18,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC 34,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC 37,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC 38,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC 39,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC 40,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC 41,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC 45,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC 57,self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC 67,self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEPEC 1,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CJ 7 [BRA],self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EEG 13,self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EEG 14,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EEG 25,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EEG 27,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EEG 29,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EEG 39,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EEG 48,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EEG 50,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EEG 64,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EEG 65,self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EEG 8,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EEG 9,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EET 376 [ECU],self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EET 377 [ECU],self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EET 390 [ECU],self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EET 392 [ECU],self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EET 397 [ECU],self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EET 59 [ECU],self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EET 62 [ECU],self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EET 94 [ECU],self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EET 96 [ECU],self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GS 17,self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
