Clone name,Colour,Refcode,Notes,Info
ICS 1,purple,KKO93A,,
ICS 100,red,KKO93A,,
ICS 6,pink,KKO93A,,
IFC 1 [CIV],green,KKO93A,,
IFC 5 [CIV],green,KKO93A,,
IMC 67,green,KKO93A,,
NA 32,green,KKO93A,,
S 84 /E-10-4-90 [TAF],green,KKO93A,,
SCA 6,green,KKO93A,,
SILECIA 5 [ECU],green,KKO93A,,
SNK 10,green and red,KKO93A,,
SNK 12,red,KKO93A,,
SNK 48,pink,KKO93A,,
SNK 64,green,KKO93A,,
T 12 /5 [POS],green,KKO93A,,
T 60 /887 [POS],green,KKO93A,,
T 63 /967 [POS],green,KKO93A,,
T 79 /416 [POS],green,KKO93A,,
T 79 /467 [POS],green,KKO93A,,
T 79 /501 [POS],green,KKO93A,,
UF 667,red,KKO93A,,
UF 676,pink,KKO93A,,
UPA 134,green,KKO93A,,
UPA 402,green,KKO93A,,
UPA 409,green,KKO93A,,
C 4 /11 [TRI],slight anthocyanin,ENR67C,,
CC 10,intense anthocyanin,ENR67C,,
CC 41,intense anthocyanin,ENR67C,,
CC 9,intense anthocyanin,ENR67C,,
EET 103 [ECU],slight anthocyanin,ENR67C,,
EET 156 [ECU],intense anthocyanin,ENR67C,,
EET 162 [ECU],slight anthocyanin,ENR67C,,
EET 19 [ECU],slight anthocyanin,ENR67C,,
EET 238 [ECU],moderate anthocyanin,ENR67C,,
EET 374 [ECU],moderate anthocyanin,ENR67C,,
EET 392 [ECU],slight anthocyanin,ENR67C,,
EET 399 [ECU],slight anthocyanin,ENR67C,,
EET 400 [ECU],slight anthocyanin,ENR67C,,
EET 48 [ECU],slight anthocyanin,ENR67C,,
EET 62 [ECU],slight anthocyanin,ENR67C,,
EET 95 [ECU],slight anthocyanin,ENR67C,,
EET 96 [ECU],slight anthocyanin,ENR67C,,
GS 29,intense anthocyanin,ENR67C,,
GS 36,anthocyanin absent,ENR67C,,
ICS 1,intense anthocyanin,ENR67C,,
ICS 100,intense anthocyanin,ENR67C,,
ICS 16,intense anthocyanin,ENR67C,,
ICS 55,intense anthocyanin,ENR67C,,
ICS 6,moderate anthocyanin,ENR67C,,
ICS 75,slight anthocyanin,ENR67C,,
ICS 8,intense anthocyanin,ENR67C,,
ICS 89,slight anthocyanin,ENR67C,,
ICS 95,intense anthocyanin,ENR67C,,
ICS 98,intense anthocyanin,ENR67C,,
IMC 67,slight anthocyanin,ENR67C,,
OC 61 [VEN],very slight anthocyanin,ENR67C,,
OC 77 [VEN],very slight anthocyanin,ENR67C,,
PA 121 [PER],slight anthocyanin,ENR67C,,
POUND 12,slight anthocyanin,ENR67C,,
POUND 18,anthocyanin absent,ENR67C,,
POUND 7,intense anthocyanin,ENR67C,,
PQTO 87 [VEN],intense anthocyanin,ENR67C,,
RIM 10 [MEX],slight anthocyanin,ENR67C,,
RIM 13 [MEX],slight anthocyanin,ENR67C,,
RIM 30 [MEX],intense anthocyanin,ENR67C,,
RIM 48 [MEX],intense anthocyanin,ENR67C,,
SC 10 [VEN],intense anthocyanin,ENR67C,,
SC 5 [COL],intense anthocyanin,ENR67C,,
SC 6 [COL],intense anthocyanin,ENR67C,,
SCA 12,very slight anthocyanin,ENR67C,,
SCA 6,slight anthocyanin,ENR67C,,
SIAL 163,anthocyanin absent,ENR67C,,
SIAL 325,anthocyanin absent,ENR67C,,
SIAL 70,anthocyanin absent,ENR67C,,
SIAL 88,slight anthocyanin,ENR67C,,
SIC 801,anthocyanin absent,ENR67C,,
SIC 802,anthocyanin absent,ENR67C,,
SIC 812,anthocyanin absent,ENR67C,,
SIC 823,anthocyanin absent,ENR67C,,
SIC 831,anthocyanin absent,ENR67C,,
SILECIA 1 [ECU],anthocyanin absent,ENR67C,,
SILECIA 5 [ECU],anthocyanin absent,ENR67C,,
SPA 9 [COL],very slight anthocyanin,ENR67C,,
TSA 644,slight anthocyanin,ENR67C,,
TSA 654,slight anthocyanin,ENR67C,,
TSAN 792,slight anthocyanin,ENR67C,,
TSH 565,slight anthocyanin,ENR67C,,
UF 221,intense anthocyanin,ENR67C,,
UF 29,moderate anthocyanin,ENR67C,,
UF 613,intense anthocyanin,ENR67C,,
UF 650,intense anthocyanin,ENR67C,,
UF 667,intense anthocyanin,ENR67C,,
AC T 1 /1 [TTO],intense anthocyanin,BEKAD1,,
AC T 2 /18 [TTO],moderate anthocyanin,BEKAD1,,
AC T 2 /3 [TTO],intense anthocyanin,BEKAD1,,
AC T 3 /2 [TTO],intense anthocyanin,BEKAD1,,
AC T 3 /5 [TTO],intense anthocyanin,BEKAD1,,
AC T 3 /6 [TTO],intense anthocyanin,BEKAD1,,
AC T 6 /1 [TTO],intense anthocyanin,BEKAD1,,
AC T 6 /2 [TTO],moderate anthocyanin,BEKAD1,,
AC T 7 /2 [TTO],slight anthocyanin,BEKAD1,,
AC T 8 /1 [TTO],moderate anthocyanin,BEKAD1,,
AC T 8 /2 [TTO],intense anthocyanin,BEKAD1,,
AC T 9 /1 [TTO],moderate anthocyanin,BEKAD1,,
AGU 2 [CHA],moderate anthocyanin,BEKAD1,,
AGU 3339 [CHA],slight anthocyanin,BEKAD1,,
AGU 3339 /12 [CHA],intense anthocyanin,BEKAD1,,
AGU 3339 /8 [CHA],anthocyanin absent,BEKAD1,,
AGUACARTE 1,slight anthocyanin,BEKAD1,,
ALMEIDA,anthocyanin absent,BEKAD1,,
AM 1 /1 [POU],slight anthocyanin,BEKAD1,,
AM 1 /107 [POU],moderate anthocyanin,BEKAD1,,
AM 1 /11 [POU],slight anthocyanin,BEKAD1,,
AM 1 /12 [POU],slight anthocyanin,BEKAD1,,
AM 1 /13 [POU],slight anthocyanin,BEKAD1,,
AM 1 /19 [POU],moderate anthocyanin,BEKAD1,,
AM 1 /21 [POU],slight anthocyanin,BEKAD1,,
AM 1 /28 [POU],intense anthocyanin,BEKAD1,,
AM 1 /29 [POU],moderate anthocyanin,BEKAD1,,
AM 1 /3 [POU],slight anthocyanin,BEKAD1,,
AM 1 /32 [POU],slight anthocyanin,BEKAD1,,
AM 1 /33 [POU],slight anthocyanin,BEKAD1,,
AM 1 /37 [POU],slight anthocyanin,BEKAD1,,
AM 1 /38 [POU],moderate anthocyanin,BEKAD1,,
AM 1 /39 [POU],slight anthocyanin,BEKAD1,,
AM 1 /4 [POU],moderate anthocyanin,BEKAD1,,
AM 1 /40 [POU],intense anthocyanin,BEKAD1,,
AM 1 /42 [POU],slight anthocyanin,BEKAD1,,
