Clone name,Shape,Rugosity,Husk thickness,Length,Breadth,Colour,Weight,Length breadth ratio,Refcode,Basal constriction,Apex form,Furrow depth,Ridge desc,Hardness,Husk weight,Size,Notes,Furrow desc,Info,Pods per tree,Accession
CCN 10,angoleta,moderate,13.0 mm,205.0,83.0,red,760.0,2.47,CAS86A,,,,,,,,,,,,
CCN 16,angoleta - cundeamor,-,13.7 mm,207.0,87.0,red,655.0,2.38,CAS86A,,,,,,,,,,,,
CCN 2,amelonado,-,5.0 mm,150.0,110.0,green and yellow,540.0,1.36,CAS86A,,,,,,,,,,,,
CCN 51,angoleta,moderate,14.0 mm,205.0,83.0,red,832.7,2.47,CAS86A,,,,,,,,,,,,
BAL 209,,moderate,12.95 mm (10.5 - 15.4),177.8,75.4,greenish yellow / yellow (ridge/furrow),,2.35,LEE93A,slight,obtuse,intermediate,,,,,,,,,
BR 25,,smooth,18.5 mm (22 - 15),150.0,100.0,light red,,1.50,LEE93A,absent,attenuate,shallow,,,,,,,,,
FP 10,,moderate,16 mm (14 - 18),180.0,93.0,yellow,,1.93,LEE93A,slight,acute,intermediate,,,,,,,,,
FP 6,,smooth,14.5 mm (13 - 16),208.0,91.0,orange / yellowish orange (ridge/furrow),,2.28,LEE93A,absent,acute,shallow,,,,,,,,,
FP 7,,smooth,13.5 mm (12 - 15),176.0,82.0,orange,,2.14,LEE93A,moderate,acute,shallow,,,,,,,,,
FP 8,,intense,17 mm (19 - 15),193.0,80.0,yellow,,2.41,LEE93A,slight,attenuate,deep,,,,,,,,,
FP 9,,intense,13 mm (12 - 14),187.0,88.0,yellow,,2.12,LEE93A,moderate,attenuate,shallow,,,,,,,,,
KKM 1,,moderate,-,-,-,yellow,,-,LEE93A,-,-,-,,,,,,,,,
KKM 17,,moderate,-,-,-,-,,-,LEE93A,-,-,-,,,,,,,,,
KKM 19,,moderate,-,-,-,-,,-,LEE93A,-,-,-,,,,,,,,,
KKM 2,,intense,-,-,-,dark purple / green (ridge/furrow),,-,LEE93A,-,-,-,,,,,,,,,
KKM 22,,smooth,16 mm (15 - 17),-,-,yellow,,1.80,LEE93A,-,-,-,,,,,,,,,
KKM 25,,moderate,-,-,-,-,,-,LEE93A,-,-,-,,,,,,,,,
KKM 28,,moderate,13.5 mm (12 - 15),-,-,yellow and red / yellow (ridge/furrow),,1.90,LEE93A,-,-,-,,,,,,,,,
KKM 5,,smooth,-,-,-,-,,-,LEE93A,-,-,-,,,,,,,,,
KKM 6,,intense,-,-,-,purple / light green (ridge/furrow),,-,LEE93A,-,-,-,,,,,,,,,
PBC 112,,moderate,-,-,-,yellow,,-,LEE93A,slight,rounded,intermediate,,,,,,,,,
PBC 113,,smooth,-,-,-,-,,-,LEE93A,moderate,rounded,shallow,,,,,,,,,
PBC 123,,smooth,-,-,-,yellowish red / reddish yellow (ridge/furrow),,-,LEE93A,moderate,obtuse,shallow,,,,,,,,,
PBC 130,,moderate,-,-,-,yellow,,-,LEE93A,moderate,attenuate,intermediate,,,,,,,,,
PBC 131,,moderate,-,-,-,yellow,,-,LEE93A,slight,acute,intermediate,,,,,,,,,
PBC 140,,smooth,-,-,-,yellow,,-,LEE93A,moderate,rounded,shallow,,,,,,,,,
PBC 159,,moderate,-,-,-,dark yellow / light yellow (ridge/furrow),,-,LEE93A,slight,acute,intermediate,,,,,,,,,
PBC 179,,moderate,-,-,-,yellow,,-,LEE93A,slight,rounded,shallow,,,,,,,,,
QH 1003,,moderate,13.4 mm (11.07 - 15.73),230.8,81.2,yellow,,2.84,LEE93A,slight,acute,intermediate,,,,,,,,,
QH 1176,,moderate,10.645 mm (7.9 - 13.39),186.4,80.4,yellow,,2.31,LEE93A,slight,acute,deep,,,,,,,,,
QH 12,,moderate,10.37 mm (7.34 - 13.4),200.2,70.0,yellow,,2.86,LEE93A,moderate,acute,deep,,,,,,,,,
QH 1213,,moderate,10.5 mm (8.5 - 12.5),165.5,80.7,yellow,,2.05,LEE93A,slight,attenuate,intermediate,,,,,,,,,
QH 186,,moderate,10.155 mm (7.49 - 12.82),214.8,77.1,yellow,,2.78,LEE93A,slight,acute,deep,,,,,,,,,
QH 22,,moderate,11.275 mm (9.13 - 13.42),156.4,83.7,yellow,,1.86,LEE93A,slight,acute,intermediate,,,,,,,,,
QH 240,,moderate,13.285 mm (10.56 - 16.01),204.1,86.1,yellow,,2.37,LEE93A,slight,acute,deep,,,,,,,,,
QH 37,,moderate,12.405 mm (10.65 - 14.16),185.8,88.0,yellow,,2.11,LEE93A,slight,acute,intermediate,,,,,,,,,
QH 441,,moderate,9.775 mm (7.07 - 12.48),184.5,73.8,yellow,,2.50,LEE93A,slight,acute,deep,,,,,,,,,
