SampleName,Clone name,Data type,Run,Experiment,BioSample,SampleSource,Tree ID,Refcode,BioProject,Repository,Fastq,Focus of study,Notes,Analysis
2076,A 2076 [ECU],genomic,SRR7774251 NCBI ENA,SRX4629573,SAMN09934386,Ecuador,-,COR18A,,,,,,
2126,A 2126 [ECU],genomic,SRR7774250 NCBI ENA,SRX4629574,SAMN09934387,Ecuador,-,COR18A,,,,,,
2367,A 2367 [ECU],genomic,SRR7774184 NCBI ENA,SRX4629640,SAMN09934388,Ecuador,-,COR18A,,,,,,
2416,A 2416 [ECU],genomic,SRR7774171 NCBI ENA,SRX4629653,SAMN09934389,Ecuador,-,COR18A,,,,,,
2462,A 2462 [ECU],genomic,SRR7774180 NCBI ENA,SRX4629644,SAMN09934390,Ecuador,-,COR18A,,,,,,
2699,A 2699 [ECU],genomic,SRR7774298 NCBI ENA,SRX4629526,SAMN09934391,Ecuador,-,COR18A,,,,,,
2748,A 2748 [ECU],genomic,SRR7774186 NCBI ENA,SRX4629638,SAMN09934392,Ecuador,-,COR18A,,,,,,
AGU_3339_12,AGU 3339 /12 [CHA],genomic,SRR7774183 NCBI ENA,SRX4629641,SAMN09934393,Trinidad,18276,COR18A,,,,,,
AM_1_54,AM 1 /54 [POU],genomic,SRR7774305 NCBI ENA,SRX4629519,SAMN09934400,Costa Rica,-,COR18A,,,,,,
AM_2_18,AM 2 /18 [POU],genomic,SRR7774304 NCBI ENA,SRX4629520,SAMN09934401,Costa Rica,-,COR18A,,,,,,
AMAZ_12,AMAZ 12,genomic,SRR7774307 NCBI ENA,SRX4629517,SAMN09934398,Trinidad,17443,COR18A,,,,,,
AMAZ_15_15,AMAZ 15 /15,genomic,SRR7774306 NCBI ENA,SRX4629518,SAMN09934399,Trinidad,17421,COR18A,,,,,,
AMAZ-11_G18_A1,AMAZ 11,genomic,SRR7774243 NCBI ENA,SRX4629581,SAMN09934394,Ecuador,-,COR18A,,,,,,
AMAZ-11_G21_A10,AMAZ 11,genomic,SRR7774242 NCBI ENA,SRX4629582,SAMN09934395,Ecuador,-,COR18A,,,,,,
AMAZ-14_G23_A1,AMAZ 14,genomic,SRR7774309 NCBI ENA,SRX4629515,SAMN09934396,Ecuador,-,COR18A,,,,,,
AMAZ-14_G24_A5,AMAZ 14,genomic,SRR7774308 NCBI ENA,SRX4629516,SAMN09934397,Ecuador,-,COR18A,,,,,,
B_6_3,B 6 /3 [POU],genomic,SRR7774301 NCBI ENA,SRX4629523,SAMN09934404,Trinidad,Tc17477,COR18A,,,,,,
B_6_8,B 6 /8 [POU],genomic,SRR7774300 NCBI ENA,SRX4629524,SAMN09934405,Trinidad,18277,COR18A,,,,,,
BE_10,BE 10,genomic,SRR7774303 NCBI ENA,SRX4629521,SAMN09934402,Costa Rica,17422,COR18A,,,,,,
BR25,BR 25,genomic,SRR7774302 NCBI ENA,SRX4629522,SAMN09934403,Indonesia (gDNA USDA),-,COR18A,,,,,,
Brisas-1,BRISAS 1,genomic,SRR7774178 NCBI ENA,SRX4629646,SAMN09934406,(Ecuador) gDNA USDA,Tc02491,COR18A,,,,,,
CAB_71_PL3,CAB 71,genomic,SRR7774179 NCBI ENA,SRX4629645,SAMN09934407,gDNA Miami,Tc02565,COR18A,,,,,,
CAB_76_PL3,CAB 76,genomic,SRR7774176 NCBI ENA,SRX4629648,SAMN09934408,gDNA Miami,Tc02567,COR18A,,,,,,
CAB_77_PL5,CAB 77,genomic,SRR7774177 NCBI ENA,SRX4629647,SAMN09934409,gDNA Miami,Tc02568,COR18A,,,,,,
CATIE_1000,CATIE 1000,genomic,SRR7800376 NCBI ENA,SRX4629650,SAMN09934410,Costa Rica,17423,COR18A,,,,,,
Catongo,CATONGO,genomic,SRR7774215 NCBI ENA,SRX4629609,SAMN09934430,Costa Rica,17445,COR18A,,,,,,
CC_71,CC 71,genomic,SRR7774352 NCBI ENA,SRX4629472,SAMN09934418,Costa Rica,-,COR18A,,,,,,
CCAT1119_EET544_A1,L11-H19 [ECU],genomic,SRR7774175 NCBI ENA,SRX4629649,SAMN09934411,Ecuador,-,COR18A,,,,,,
CCAT1858_EET547,L18-H58 [ECU],genomic,SRR7774172 NCBI ENA,SRX4629652,SAMN09934412,Ecuador,-,COR18A,,,,,,
CCAT4675_EET575,L46-H75 [ECU],genomic,SRR7774173 NCBI ENA,SRX4629651,SAMN09934413,Ecuador,-,COR18A,,,,,,
CCAT4688_EET576_A1,L46-H88 [ECU],genomic,SRR7774181 NCBI ENA,SRX4629643,SAMN09934414,Ecuador,-,COR18A,,,,,,
