Clone name,Plant,NCS,Population,Coeff cl,Subcluster,Coeff scl,Refcode
AGU 17 [CHA],-,1.0,Curaray,0.931,Coca R - Napo R,0.626,JCM10A
AGU 22 [CHA],-,1.0,Curaray,0.86,Coca R - Napo R,0.536,JCM10A
AGU 31 [CHA],-,1.0,Curaray,0.964,Curaray R - Napo R,0.690,JCM10A
AGU 5 [CHA],-,1.0,Curaray,0.991,Coca R - Napo R,0.985,JCM10A
AGU 8 [CHA],-,1.0,Curaray,0.558,n-a,-,JCM10A
AM 1 /57 [POU],-,1.0,Iquitos,0.996,IMC I,0.998,JCM10A
AMAZ 1 /5,-,2.0,Iquitos,0.751,Amazonas,0.942,JCM10A
AMAZ 10,-,2.0,Iquitos,0.73,Amazonas,0.994,JCM10A
AMAZ 11,-,2.0,Iquitos,0.567,n-a,-,JCM10A
AMAZ 12,-,1.0,Iquitos,0.682,n-a,-,JCM10A
AMAZ 13,-,2.0,Iquitos,0.735,all,0.966,JCM10A
AMAZ 14,-,2.0,Iquitos,0.77,all,0.990,JCM10A
AMAZ 14,-,2.0,Iquitos,0.8,Amazonas,0.989,JCM10A
AMAZ 15 /15,-,1.0,Iquitos,0.818,Amazonas,0.888,JCM10A
AMAZ 2,-,2.0,Iquitos,0.725,all,0.997,JCM10A
AMAZ 4,-,1.0,Iquitos,0.756,Amazonas,0.879,JCM10A
AMAZ 5 /2,-,2.0,Iquitos,0.777,Amazonas,0.998,JCM10A
AMAZ 9,-,3.0,Iquitos,0.495,n-a,-,JCM10A
AMELONADO 1 [MAY],-,2.0,Amelonado,0.987,Amelonado Type I,0.996,JCM10A
AMELONADO 2 [MAY],-,2.0,Amelonado,0.997,Amelonado Type I,0.976,JCM10A
B 3 [BLZ],-,1.0,Criollo,0.997,Lacandona,0.478,JCM10A
B 48 [BLZ],-,1.0,Criollo,0.992,Belize,0.953,JCM10A
Borne 7-A-2,-,2.0,Guiana,0.991,Camopi R - Euleupousing R,0.703,JCM10A
Borne 7-A-6,-,2.0,Guiana,0.997,Camopi R - Euleupousing R,0.685,JCM10A
Borne 7-B-2,-,2.0,Guiana,0.997,Camopi R,0.558,JCM10A
Borne 7-B-3,-,2.0,Guiana,0.994,Camopi R - Euleupousing R,0.960,JCM10A
Borne 7-B-4,-,2.0,Guiana,0.997,Camopi R - Euleupousing R,0.982,JCM10A
Borne 7-B-5,-,2.0,Guiana,0.997,Camopi R - Euleupousing R,0.508,JCM10A
BE 10,1,2.0,Amelonado,0.703,Amelonado Type III,0.890,JCM10A
BE 2,1,2.0,Amelonado,0.521,n-a,-,JCM10A
BE 3,6,2.0,Amelonado,0.646,n-a,-,JCM10A
BE 4,3,2.0,Amelonado,0.827,Amelonado Type III,0.879,JCM10A
BE 5,2,2.0,Amelonado,0.976,Amelonado Type II,0.453,JCM10A
BE 7,7,2.0,Amelonado,0.971,Amelonado Type I,0.664,JCM10A
BE 8,2,3.0,Amelonado,0.281,n-a,-,JCM10A
BE 9,1,1.0,Maranon,0.639,n-a,-,JCM10A
BEN 1 [VEN],-,1.0,Criollo,0.996,Santa Marta,0.730,JCM10A
BEN 5 [VEN],-,1.0,Criollo,0.998,Santa Marta,0.950,JCM10A
BOB 8 [CHA],2,2.0,Nacional,0.551,n-a,-,JCM10A
C SUL 1,2,1.0,Iquitos,0.536,n-a,-,JCM10A
C SUL 10,1,1.0,Iquitos,0.528,n-a,-,JCM10A
C SUL 5,1,3.0,Purus,0.521,n-a,-,JCM10A
C SUL 9,2,3.0,Purus,0.453,n-a,-,JCM10A
CA S 5,-,1.0,Criollo,0.998,Lacandona,0.795,JCM10A
CAB 122,2,1.0,Purus,0.996,Caete R - Purus R,0.985,JCM10A
CAB 123,2,1.0,Purus,0.987,Caete R - Purus R,0.989,JCM10A
CAB 124,3,1.0,Purus,0.99,Caete R - Purus R,0.992,JCM10A
CAB 126,2,2.0,Maranon,0.495,n-a,-,JCM10A
CAB 127,2,1.0,Purus,0.996,Caete R - Purus R,0.990,JCM10A
CAB 128,4,1.0,Purus,0.996,Caete R - Purus R,0.990,JCM10A
CAB 130,2,1.0,Purus,0.99,Caete R - Purus R,0.991,JCM10A
CAB 131,2,1.0,Purus,0.989,Caete R - Purus R,0.983,JCM10A
CAB 132,1,1.0,Purus,0.996,Caete R - Purus R,0.977,JCM10A
CAB 145,1,1.0,Purus,0.993,Acre R,0.946,JCM10A
CAB 146,2,1.0,Purus,0.996,Acre R,0.994,JCM10A
CAB 147,1,1.0,Purus,0.988,Acre R,0.946,JCM10A
CAB 148,2,1.0,Purus,0.977,Acre R,0.993,JCM10A
CAB 149,2,1.0,Purus,0.991,Acre R,0.990,JCM10A
CAB 150,4,1.0,Purus,0.915,Acre R,0.993,JCM10A
CAB 151,6,1.0,Purus,0.986,Acre R,0.873,JCM10A
CAB 152,3,1.0,Purus,0.99,Acre R,0.990,JCM10A
CAB 153,2,1.0,Purus,0.993,Acre R,0.996,JCM10A
CAB 154,4,1.0,Purus,0.99,Acre R,0.816,JCM10A
CAB 155,4,1.0,Purus,0.971,Acre R,0.976,JCM10A
CAB 156,7,1.0,Purus,0.993,Acre R,0.895,JCM10A
CAB 16,2,2.0,Amelonado,0.871,Amelonado Type III,0.575,JCM10A
CAB 17,4,1.0,Maranon,0.574,n-a,-,JCM10A
CAB 18,3,1.0,Maranon,0.59,n-a,-,JCM10A
CAB 181,1,2.0,Purus,0.465,n-a,-,JCM10A
CAB 182,4,2.0,Purus,0.532,n-a,-,JCM10A
CAB 183,1,2.0,Contamana,0.818,Embira R,0.994,JCM10A
CAB 184,5,2.0,Contamana,0.726,Embira R,0.993,JCM10A
CAB 185,2,2.0,Contamana,0.703,Embira R,0.994,JCM10A
CAB 186,2,2.0,Contamana,0.775,Embira R,0.997,JCM10A
CAB 187,1,2.0,Contamana,0.745,Embira R,0.996,JCM10A
CAB 188,4,2.0,Contamana,0.729,Embira R,0.989,JCM10A
CAB 19,4,1.0,Maranon,0.655,n-a,-,JCM10A
CAB 190,5,2.0,Contamana,0.693,n-a,-,JCM10A
CAB 191,5,1.0,Purus,0.927,Purus R,0.959,JCM10A
CAB 193,4,1.0,Purus,0.924,Purus R,0.936,JCM10A
CAB 194,1,1.0,Purus,0.985,Purus R,0.710,JCM10A
CAB 195,2,1.0,Purus,0.76,Purus R,0.961,JCM10A
CAB 196,4,1.0,Purus,0.992,Purus R,0.884,JCM10A
CAB 197,3,1.0,Purus,0.986,Purus R,0.971,JCM10A
CAB 198,4,1.0,Purus,0.988,Purus R,0.613,JCM10A
CAB 20,3,2.0,Amelonado,0.587,n-a,-,JCM10A
CAB 200,1,1.0,Purus,0.737,all,0.557,JCM10A
CAB 21,3,1.0,Maranon,0.47,n-a,-,JCM10A
CAB 211,1,1.0,Purus,0.981,Caete R - Purus R,0.619,JCM10A
CAB 213,4,1.0,Purus,0.989,Acre R,0.692,JCM10A
