Clone name,Shape,Info,Refcode,Length,Width,Basal form,Apex form,Petiole length,L w ratio,Basal angle,Apical angle,Notes,Pulvinus present,Pulvinus length
CA 3 [BRA],lanceolate,expedition data,SOR70A,,,,,,,,,,,
CCN 6,elongate,,BAR99C,,,,,,,,,,,
CATIE-R1,Elliptic,,PHI13A,319.0,107.0,Obtuse,Cuspidate,20.0,,,,,,
CATIE-R4,Elliptic,,PHI13A,304.0,118.0,Cuneiform,Aristate,21.0,,,,,,
CATIE-R6,Elliptic,,PHI13A,338.0,130.0,Cuneiform,Aristate,18.0,,,,,,
CC 137,Elliptic,,PHI13A,325.0,118.0,Cuneiform,Aristate,25.0,,,,,,
ICS 95,Elliptic,,PHI13A,344.0,134.0,Obtuse,Cuspidate,27.0,,,,,,
PMCT 58,Elliptic,,PHI13A,380.0,125.0,Obtuse,Aristate,21.0,,,,,,
AM 1 [VEN],ovate,,REY73A,,,rounded,acuminate,,,,,,,
CBO 159 [VEN],elliptic,,REY73A,,,rounded,caudate,,,,,,,
CBO 176 [VEN],elliptic,,REY73A,,,rounded,acuminate,,,,,,,
CBO 177 [VEN],elliptic,,REY73A,,,rounded,acuminate,,,,,,,
CHO 163 [VEN],elliptic,,REY73A,,,rounded,caudate,,,,,,,
CHO 163 [VEN],ovate,,REY73A,,,rounded,acuminate,,,,,,,
CHO 174 [VEN],elliptic,,REY73A,,,rounded,acuminate,,,,,,,
CHO 24 [VEN],elliptic,,REY73A,,,rounded,caudate,,,,,,,
CHO 31 [VEN],elliptic,,REY73A,,,rounded,caudate,,,,,,,
CHO 41 [VEN],elliptic,,REY73A,,,rounded,caudate,,,,,,,
CHU 2 [VEN],elliptic,,REY73A,,,rounded,caudate,,,,,,,
CLP 170 [VEN],ovate,,REY73A,,,rounded,acuminate,,,,,,,
CUI 32 [VEN],ovate,,REY73A,,,rounded,caudate,,,,,,,
CUI 33 [VEN],elliptic,,REY73A,,,rounded,acuminate,,,,,,,
CUI 38 [VEN],elliptic,,REY73A,,,rounded,acuminate,,,,,,,
D 11 [VEN],elliptic,,REY73A,,,rounded,caudate,,,,,,,
D 15 [VEN],elliptic,,REY73A,,,rounded,caudate,,,,,,,
D 4 [VEN],elliptic,,REY73A,,,rounded,caudate,,,,,,,
D 5 [VEN],elliptic,,REY73A,,,rounded,caudate,,,,,,,
HAA 4 [VEN],elliptic,,REY73A,,,rounded,caudate,,,,,,,
LC 165 [VEN],elliptic,,REY73A,,,rounded,caudate,,,,,,,
LC 168 [VEN],elliptic,,REY73A,,,rounded,acuminate,,,,,,,
LM 169 [VEN],ovate,,REY73A,,,rounded,caudate,,,,,,,
LMR [VEN],elliptic,,REY73A,,,rounded,acuminate,,,,,,,
LR 5 [VEN],elliptic,,REY73A,,,rounded,acuminate,,,,,,,
LRR 3 [VEN],elliptic,,REY73A,,,rounded,acuminate,,,,,,,
LRV 1 [VEN],elliptic,,REY73A,,,rounded,acuminate,,,,,,,
LVL 2 [VEN],ovate,,REY73A,,,rounded,acuminate,,,,,,,
M 1 [VEN],elliptic,,REY73A,,,rounded,caudate,,,,,,,
M 2 [VEN],elliptic,,REY73A,,,rounded,caudate,,,,,,,
O 14 [VE2],elliptic,,REY73A,,,rounded,acuminate,,,,,,,
OC 60 [VEN],elliptic,,REY73A,,,rounded,caudate,,,,,,,
OC 61 [VEN],elliptic,,REY73A,,,rounded,acuminate,,,,,,,
OC 73 [VEN],elliptic,,REY73A,,,rounded,acuminate,,,,,,,
OC 77 [VEN],lanceolate,,REY73A,,,obtuse,acuminate,,,,,,,
PEN 158 [VEN],elliptic,,REY73A,,,rounded,caudate,,,,,,,
PLAYA ALTA 1 [VEN],elliptic,,REY73A,,,rounded,caudate,,,,,,,
PLAYA ALTA 2 [VEN],elliptic,,REY73A,,,rounded,caudate,,,,,,,
PLAYA ALTA 3 [VEN],elliptic,,REY73A,,,obtuse,caudate,,,,,,,
