Clone name,Pest,Reaction,Refcode,Species,Info,Notes
ICS 1,Thrips,susceptible,FEN55A,,,
ICS 60,Thrips,tolerant,FEN55A,,,
ICS 73,Thrips,tolerant,FEN55A,,,
ICS 89,Thrips,tolerant,FEN55A,,,
ICS 90,Thrips,tolerant,FEN55A,,,
ICS 92,Thrips,tolerant,FEN55A,,,
ICS 95,Thrips,tolerant,FEN55A,,,
AMAZ 12,Squirrels,susceptible,WAR93A,Sciurus granatensis,,
ICS 1,Squirrels,resistant,WAR93A,Sciurus granatensis,,
ICS 68,Squirrels,susceptible,WAR93A,Sciurus granatensis,,
ICS 95,Squirrels,moderate resistance,WAR93A,Sciurus granatensis,,
IMC 27,Squirrels,moderate resistance,WAR93A,Sciurus granatensis,,
IMC 6,Squirrels,very resistant,WAR93A,Sciurus granatensis,,
IMC 67,Squirrels,susceptible,WAR93A,Sciurus granatensis,,
PA 169 [PER],Squirrels,susceptible,WAR93A,Sciurus granatensis,,
PA 46 [PER],Squirrels,moderate resistance,WAR93A,Sciurus granatensis,,
SCA 6,Squirrels,very susceptible,WAR93A,Sciurus granatensis,,
B 9 /5 [CIV],Mirids,moderate damage,SOU95A,,Trial G8,Rank calculated using Newman-Keuls test at 5% = AB
B 9 /8 [CIV],Mirids,moderate damage,SOU95A,,Trial G8,Rank calculated using Newman-Keuls test at 5% = AB
GS 29,Mirids,high damage,SOU95A,,Trial D13/4,Rank calculated using Newman-Keuls test at 5% = AB
GS 36,Mirids,high damage,SOU95A,,Trial D11/2,Rank calculated using Newman-Keuls test at 5% = A
GS 36,Mirids,moderate damage,SOU95A,,Trial I17,Rank calculated using Newman-Keuls test at 5% = AB
GW 1,Mirids,high damage,SOU95A,,Trial G8,Rank calculated using Newman-Keuls test at 5% = A
ICS 100,Mirids,high damage,SOU95A,,Trial D13/4,Rank calculated using Newman-Keuls test at 5% = A
ICS 39,Mirids,high damage,SOU95A,,Trial D11/2,Rank calculated using Newman-Keuls test at 5% = A
ICS 84,Mirids,moderate damage,SOU95A,,Trial I17,Rank calculated using Newman-Keuls test at 5% = AB
ICS 84,Mirids,moderate damage,SOU95A,,Trial D13/4,Rank calculated using Newman-Keuls test at 5% = BCDE
ICS 89,Mirids,moderate damage,SOU95A,,Trial D11/2,Rank calculated using Newman-Keuls test at 5% = ABCD
ICS 95,Mirids,moderate damage,SOU95A,,Trial D11/2,Rank calculated using Newman-Keuls test at 5% = ABCD
IFC 2 [CIV],Mirids,low damage,SOU95A,,Trial G8,Rank calculated using Newman-Keuls test at 5% = B
IFC 25 [CIV],Mirids,moderate damage,SOU95A,,Trial D11/2,Rank calculated using Newman-Keuls test at 5% = BCD
IFC 27 [CIV],Mirids,moderate damage,SOU95A,,Trial D11/2,Rank calculated using Newman-Keuls test at 5% = BCD
IFC 27 [CIV],Mirids,moderate damage,SOU95A,,Trial I17,Rank calculated using Newman-Keuls test at 5% = AB
IFC 317 [CIV],Mirids,moderate damage,SOU95A,,Trial G8,Rank calculated using Newman-Keuls test at 5% = AB
IFC 413 [CIV],Mirids,low damage,SOU95A,,Trial G8,Rank calculated using Newman-Keuls test at 5% = AB
IFC 414 [CIV],Mirids,moderate damage,SOU95A,,Trial D13/4,Rank calculated using Newman-Keuls test at 5% = BCDE
IFC 414 [CIV],Mirids,moderate damage,SOU95A,,Trial I17,Rank calculated using Newman-Keuls test at 5% = AB
IFC 5 [CIV],Mirids,high damage,SOU95A,,Trial G8,Rank calculated using Newman-Keuls test at 5% = A
IFC 5 [CIV],Mirids,moderate damage,SOU95A,,Trial D11/2,Rank calculated using Newman-Keuls test at 5% = ABC
IFC 5 [CIV],Mirids,high damage,SOU95A,,Trial D13/4,Rank calculated using Newman-Keuls test at 5% = ABCD
IFC 5 [CIV],Mirids,moderate damage,SOU95A,,Trial I17,Rank calculated using Newman-Keuls test at 5% = AB
IFC 6 [CIV],Mirids,moderate damage,SOU95A,,Trial D13/4,Rank calculated using Newman-Keuls test at 5% = BCDE
K 19 /11-5 [CIV],Mirids,moderate damage,SOU95A,,Trial I17,Rank calculated using Newman-Keuls test at 5% = AB
K 19 /12-2 [CIV],Mirids,moderate damage,SOU95A,,Trial I17,Rank calculated using Newman-Keuls test at 5% = AB
K 19 /13-10 [CIV],Mirids,moderate damage,SOU95A,,Trial I17,Rank calculated using Newman-Keuls test at 5% = AB
K 19 /52-2 [CIV],Mirids,high damage,SOU95A,,Trial I17,Rank calculated using Newman-Keuls test at 5% = A
K 19 /62-7 [CIV],Mirids,moderate damage,SOU95A,,Trial I17,Rank calculated using Newman-Keuls test at 5% = AB
K 19 /8-8 [CIV],Mirids,moderate damage,SOU95A,,Trial I17,Rank calculated using Newman-Keuls test at 5% = AB
NA 32,Mirids,moderate damage,SOU95A,,Trial D11/2,Rank calculated using Newman-Keuls test at 5% = D
PA 150 [PER],Mirids,moderate damage,SOU95A,,Trial G8,Rank calculated using Newman-Keuls test at 5% = AB
POUND 7,Mirids,moderate damage,SOU95A,,Trial D13/4,Rank calculated using Newman-Keuls test at 5% = BCDE
SCA 6,Mirids,moderate damage,SOU95A,,Trial G8,Rank calculated using Newman-Keuls test at 5% = AB
SF 13,Mirids,moderate damage,SOU95A,,Trial G8,Rank calculated using Newman-Keuls test at 5% = AB
SNK 109,Mirids,high damage,SOU95A,,Trial D13/4,Rank calculated using Newman-Keuls test at 5% = A
SNK 12,Mirids,high damage,SOU95A,,Trial D13/4,Rank calculated using Newman-Keuls test at 5% = ABC
T 16 /613 [POS],Mirids,moderate damage,SOU95A,,Trial D13/4,Rank calculated using Newman-Keuls test at 5% = BCDE
T 60 /887 [POS],Mirids,moderate damage,SOU95A,,Trial D13/4,Rank calculated using Newman-Keuls test at 5% = CDE
T 63 /967 [POS],Mirids,moderate damage,SOU95A,,Trial D13/4,Rank calculated using Newman-Keuls test at 5% = DE
T 79 /501 [POS],Mirids,moderate damage,SOU95A,,Trial D11/2,Rank calculated using Newman-Keuls test at 5% = CD
T 79 /501 [POS],Mirids,low damage,SOU95A,,Trial I17,Rank calculated using Newman-Keuls test at 5% = B
UF 667,Mirids,high damage,SOU95A,,Trial G8,Rank calculated using Newman-Keuls test at 5% = A
UPA 401,Mirids,low damage,SOU95A,,Trial D11/2,Rank calculated using Newman-Keuls test at 5% = E
UPA 402,Mirids,moderate damage,SOU95A,,Trial D11/2,Rank calculated using Newman-Keuls test at 5% = BCD
UPA 413,Mirids,moderate damage,SOU95A,,Trial D13/4,Rank calculated using Newman-Keuls test at 5% = E
W 41 [POS],Mirids,moderate damage,SOU95A,,Trial G8,Rank calculated using Newman-Keuls test at 5% = AB
WA 40 [DR],Mirids,moderate damage,SOU95A,,Trial G8,Rank calculated using Newman-Keuls test at 5% = AB
ICCRI 03,Cocoa Pod Borer,moderate resistance,IDN13A,,,
ICCRI 04,Cocoa Pod Borer,moderately susceptible,IDN13A,,,
ICCRI 07,Cocoa Pod Borer,moderate resistance,IDN13A,,,
ICCRI 09,Cocoa Pod Borer,moderate resistance,IDN13A,,,
ICCRI 01,Cocoa Pod Borer,moderate resistance,IDN13A,,,
MCC 01,Cocoa Pod Borer,resistant,IDN13A,,,
MCC 02,Cocoa Pod Borer,resistant,IDN13A,,,
Sulawesi 01,Cocoa Pod Borer,susceptible,IDN13A,,,
Sulawesi 02,Cocoa Pod Borer,susceptible,IDN13A,,,
Sulawesi 03,Cocoa Pod Borer,resistant,IDN13A,,,
VENC 20 [FRA],Mirids,resistant,GUE03A,,,
VENC 4 /11 [FRA],Mirids,susceptible,GUE03A,,,
VENC 4 /15 [FRA],Mirids,resistant,GUE03A,,,
VENC 4 /4 [FRA],Mirids,susceptible,GUE03A,,,
VENC 4 /5 [FRA],Mirids,resistant,GUE03A,,,
A 12 G25 [CIV],Mirids,susceptible,GUE03A,,,
A 13 /G-44 [CIV],Mirids,susceptible,GUE03A,,,
ACU 85,Mirids,resistant,GUE03A,,,
AMAZ 15 /15,Mirids,resistant,GUE03A,,,
B 12 /B-183 [CIV],Mirids,resistant,GUE03A,,,
BE 3,Mirids,resistant,GUE03A,,,
CF 176,Mirids,resistant,GUE03A,,,
CF 62,Mirids,resistant,GUE03A,,,
DL E 31,Mirids,resistant,GUE03A,,,
DLOC 61,Mirids,resistant,GUE03A,,,
IFC 1213 [CIV],Mirids,susceptible,GUE03A,,,
G 8 [GET],Mirids,resistant,GUE03A,,,
GU 147 /A,Mirids,susceptible,GUE03A,,,
GU 154 /B,Mirids,susceptible,GUE03A,,,
GU 158 /G,Mirids,susceptible,GUE03A,,,
GU 177 /K,Mirids,resistant,GUE03A,,,
GU 183 /G,Mirids,resistant,GUE03A,,,
GU 183 /K,Mirids,resistant,GUE03A,,,
GU 191 /B,Mirids,resistant,GUE03A,,,
GU 207,Mirids,resistant,GUE03A,,,
GU 207 /G,Mirids,resistant,GUE03A,,,
GU 226 J,Mirids,resistant,GUE03A,,,
GU 226 R,Mirids,resistant,GUE03A,,,
GU 255 /K,Mirids,susceptible,GUE03A,,,
GU 265 /K,Mirids,resistant,GUE03A,,,
GU 275 /A,Mirids,resistant,GUE03A,,,
GU 277 /G,Mirids,resistant,GUE03A,,,
GU 298 /B,Mirids,resistant,GUE03A,,,
GU 318 /K,Mirids,resistant,GUE03A,,,
GU 322 /B,Mirids,resistant,GUE03A,,,
GU 333 K,Mirids,resistant,GUE03A,,,
GU 343 /F,Mirids,resistant,GUE03A,,,
GU 346 R,Mirids,resistant,GUE03A,,,
GU 351 /F,Mirids,resistant,GUE03A,,,
ICS 1,Mirids,resistant,GUE03A,,,
ICS 100,Mirids,susceptible,GUE03A,,,
ICS 39,Mirids,resistant,GUE03A,,,
ICS 40,Mirids,resistant,GUE03A,,,
ICS 46,Mirids,resistant,GUE03A,,,
ICS 53,Mirids,resistant,GUE03A,,,
ICS 6,Mirids,resistant,GUE03A,,,
ICS 61,Mirids,resistant,GUE03A,,,
ICS 9,Mirids,resistant,GUE03A,,,
ICS /X,Mirids,susceptible,GUE03A,,,
IFC 1028 [CIV],Mirids,resistant,GUE03A,,,
IFC 1029 [CIV],Mirids,susceptible,GUE03A,,,
IFC 1031 [CIV],Mirids,resistant,GUE03A,,,
IFC 1034 [CIV],Mirids,susceptible,GUE03A,,,
IFC 1040 [CIV],Mirids,resistant,GUE03A,,,
IFC 1041 [CIV],Mirids,resistant,GUE03A,,,
IFC 1042 [CIV],Mirids,resistant,GUE03A,,,
IFC 1045 [CIV],Mirids,resistant,GUE03A,,,
IFC 1058 [CIV],Mirids,resistant,GUE03A,,,
IFC 1059 [CIV],Mirids,resistant,GUE03A,,,
IFC 1060 [CIV],Mirids,resistant,GUE03A,,,
IFC 1061 [CIV],Mirids,resistant,GUE03A,,,
IFC 1062 [CIV],Mirids,resistant,GUE03A,,,
IFC 1063 [CIV],Mirids,resistant,GUE03A,,,
IFC 1200 [CIV],Mirids,resistant,GUE03A,,,
IFC 1201 [CIV],Mirids,resistant,GUE03A,,,
IFC 1203 [CIV],Mirids,resistant,GUE03A,,,
IFC 1204 [CIV],Mirids,resistant,GUE03A,,,
IFC 1205 [CIV],Mirids,resistant,GUE03A,,,
IFC 1207 [CIV],Mirids,resistant,GUE03A,,,
IFC 2 [CIV],Mirids,resistant,GUE03A,,,
IFC 21 [CIV],Mirids,susceptible,GUE03A,,,
IFC 22 [CIV],Mirids,susceptible,GUE03A,,,
IFC 23 [CIV],Mirids,susceptible,GUE03A,,,
IFC 24 [CIV],Mirids,susceptible,GUE03A,,,
IFC 362 [CIV],Mirids,susceptible,GUE03A,,,
IFC 367 [CIV],Mirids,susceptible,GUE03A,,,
IFC 368 [CIV],Mirids,susceptible,GUE03A,,,
IFC 372 [CIV],Mirids,susceptible,GUE03A,,,
IFC 415 [CIV],Mirids,resistant,GUE03A,,,
IFC 422 [CIV],Mirids,resistant,GUE03A,,,
IFC 678 [CIV],Mirids,resistant,GUE03A,,,
IFC 679 [CIV],Mirids,resistant,GUE03A,,,
IFC 682 [CIV],Mirids,resistant,GUE03A,,,
IFC 683 [CIV],Mirids,resistant,GUE03A,,,
IFC 687 [CIV],Mirids,resistant,GUE03A,,,
IFC 698 [CIV],Mirids,resistant,GUE03A,,,
IFC 738 [CIV],Mirids,resistant,GUE03A,,,
IMC 6,Mirids,resistant,GUE03A,,,
K 5 [CIV],Mirids,resistant,GUE03A,,,
MO 81,Mirids,resistant,GUE03A,,,
MO 9,Mirids,resistant,GUE03A,,,
NA 2,Mirids,resistant,GUE03A,,,
NA 27,Mirids,resistant,GUE03A,,,
NA 32,Mirids,resistant,GUE03A,,,
POUND 19,Mirids,susceptible,GUE03A,,,
POUND 19 /A,Mirids,resistant,GUE03A,,,
P 4 /9-J11450 [POS],Mirids,resistant,GUE03A,,,
PA 120 [PER],Mirids,resistant,GUE03A,,,
PA 150 [PER],Mirids,resistant,GUE03A,,,
PA 35 [PER],Mirids,susceptible,GUE03A,,,
PM 117 [CIV],Mirids,susceptible,GUE03A,,,
PM 86 [CIV],Mirids,resistant,GUE03A,,,
POC,Mirids,susceptible,GUE03A,,,
PORCELANA,Mirids,resistant,GUE03A,,,
SF 122,Mirids,resistant,GUE03A,,,
SF 201,Mirids,resistant,GUE03A,,,
SF 22,Mirids,susceptible,GUE03A,,,
SF 23,Mirids,susceptible,GUE03A,,,
SF 52,Mirids,susceptible,GUE03A,,,
SF 53,Mirids,susceptible,GUE03A,,,
SF 61,Mirids,susceptible,GUE03A,,,
SF 92,Mirids,resistant,GUE03A,,,
SIC 5,Mirids,resistant,GUE03A,,,
SIC 864,Mirids,resistant,GUE03A,,,
SM 3 [SAO],Mirids,resistant,GUE03A,,,
SPEC 138 /8,Mirids,resistant,GUE03A,,,
SPEC 185 /4,Mirids,resistant,GUE03A,,,
SPEC 54 /2,Mirids,resistant,GUE03A,,,
UPA 101,Mirids,resistant,GUE03A,,,
UPA 106,Mirids,resistant,GUE03A,,,
UPA 205,Mirids,resistant,GUE03A,,,
UPA 216,Mirids,resistant,GUE03A,,,
UPA 218,Mirids,resistant,GUE03A,,,
UPA 402,Mirids,resistant,GUE03A,,,
UPA 403,Mirids,resistant,GUE03A,,,
UPA 404,Mirids,resistant,GUE03A,,,
UPA 410,Mirids,resistant,GUE03A,,,
UPA 608,Mirids,resistant,GUE03A,,,
UPA 614,Mirids,resistant,GUE03A,,,
UPA 615,Mirids,resistant,GUE03A,,,
UPA 705,Mirids,susceptible,GUE03A,,,
UPA 719,Mirids,resistant,GUE03A,,,
ICS 1,Thrips,very high damage,ICS1UA,,,
ICS 1,Cocoa Beetle,low damage,ICS1UA,,,
ICS 25,Cocoa Beetle,low damage,ICS1UA,,,
ICS 39,Thrips,no damage,ICS1UA,,,
ICS 44,Cocoa Beetle,low damage,ICS1UA,,,
ICS 45,Cocoa Beetle,low damage,ICS1UA,,,
ICS 6,Cocoa Beetle,low damage,ICS1UA,,,
ICS 6,Thrips,low damage,ICS1UA,,,
ICS 60,Cocoa Beetle,low damage,ICS1UA,,,
ICS 8,Cocoa Beetle,low damage,ICS1UA,,,
ICS 8,Thrips,moderate damage,ICS1UA,,,
ICS 9,Cocoa Beetle,low damage,ICS1UA,,,
ICS 9,Thrips,moderate damage,ICS1UA,,,
ICS 95,Thrips,moderate damage,ICS1UA,,,
ICS 1,Thrips,susceptible,ENR67C,-,,
ICS 6,Capsids,intermediate,ENR67C,-,,
ICS 6,Cocoa Beetle,intermediate,ENR67C,Xyleborus,,
ICS 8,Thrips,intermediate,ENR67C,-,,
ICS 8,Cocoa Beetle,intermediate,ENR67C,Xyleborus,,
ICS 89,Thrips,intermediate,ENR67C,-,,
A 13 /D-56 [CIV],Mirids,high damage,NGO93A,,,
A1 180 /2 [CIV],Mirids,low damage,NGO93A,,,
A1 214 /9 [CIV],Mirids,moderate damage,NGO93A,,,
ACU 85,Mirids,high damage,NGO93A,,,
B 11 /B-263 [CIV],Mirids,moderate damage,NGO93A,,,
B 9 /5 [CIV],Mirids,moderate damage,NGO93A,,,
B 9 /8 [CIV],Mirids,moderate damage,NGO93A,,,
GS 29,Mirids,high damage,NGO93A,,,
GS 36,Mirids,moderate damage,NGO93A,,,
GW 1,Mirids,high damage,NGO93A,,,
ICS 100,Mirids,high damage,NGO93A,,,
ICS 39,Mirids,high damage,NGO93A,,,
ICS 89,Mirids,moderate damage,NGO93A,,,
ICS 95,Mirids,moderate damage,NGO93A,,,
IFC 2 [CIV],Mirids,low damage,NGO93A,,,
IFC 25 [CIV],Mirids,moderate damage,NGO93A,,,
IFC 27 [CIV],Mirids,moderate damage,NGO93A,,,
IFC 320 [CIV],Mirids,moderate damage,NGO93A,,,
IFC 406 [CIV],Mirids,moderate damage,NGO93A,,,
IFC 413 [CIV],Mirids,low damage,NGO93A,,,
IFC 414 [CIV],Mirids,moderate damage,NGO93A,,,
IFC 5 [CIV],Mirids,high damage,NGO93A,,,
IFC 6 [CIV],Mirids,moderate damage,NGO93A,,,
NA 32,Mirids,moderate damage,NGO93A,,,
PA 150 [PER],Mirids,moderate damage,NGO93A,,,
PA 7 [PER],Mirids,moderate damage,NGO93A,,,
POUND 7,Mirids,moderate damage,NGO93A,,,
SCA 6,Mirids,moderate damage,NGO93A,,,
SF 13,Mirids,moderate damage,NGO93A,,,
SNK 109,Mirids,high damage,NGO93A,,,
SNK 12,Mirids,high damage,NGO93A,,,
T 16 /613 [POS],Mirids,moderate damage,NGO93A,,,
T 60 /887 [POS],Mirids,moderate damage,NGO93A,,,
T 63 /967 [POS],Mirids,moderate damage,NGO93A,,,
T 79 /501 [POS],Mirids,moderate damage,NGO93A,,,
UF 667,Mirids,high damage,NGO93A,,,
UPA 401,Mirids,low damage,NGO93A,,,
UPA 402,Mirids,moderate damage,NGO93A,,,
UPA 413,Mirids,low damage,NGO93A,,,
WA 40 [DR],Mirids,moderate damage,NGO93A,,,
CHO 163 [VEN],Insects (general),resistant,REY73A,,,
LVL 2 [VEN],Insects (general),resistant,REY73A,,,
PORCELANA 10,Insects (general),resistant,REY73A,,,
PORCELANA 11,Insects (general),resistant,REY73A,,,
PORCELANA 12,Insects (general),resistant,REY73A,,,
PORCELANA 14,Insects (general),resistant,REY73A,,,
PORCELANA 16,Insects (general),resistant,REY73A,,,
PORCELANA 17,Insects (general),resistant,REY73A,,,
PORCELANA 2,Insects (general),resistant,REY73A,,,
PORCELANA 21,Insects (general),resistant,REY73A,,,
PORCELANA 3,Insects (general),resistant,REY73A,,,
GU 125 /K,Mirids,susceptible,LAC07B,,,
GU 158 /G,Mirids,susceptible,LAC07B,,,
GU 183 /G,Mirids,very resistant,LAC07B,,,
GU 183 /K,Mirids,very resistant,LAC07B,,,
