Clone name,Accession,Light saturated photosynthetic rate,Stomatal conductance,Transpiration rate,Intrinsic water use efficiency,Instantaneous water use efficiency,Flush size,Leaf area,Leaf dry weight,Specific leaf area,Refcode
A 645 [ECU],RUQ 1603,5.02,0.09,1.46,55.27,3.38,3,148.7,1.05,145.5,LAH17A
AGU 3339 [CHA],RUQ 746,4.17,0.09,1.46,48.38,2.83,2,187.1,1.34,140.9,LAH17A
AM 1 /8 [POU],RUQ 469,3.62,0.07,1.21,48.81,2.84,4,139.0,0.92,156.8,LAH17A
AM 1 /95 [POU],RUQ 472,5.04,0.1,1.33,59.0,3.7,4,140.9,0.9,157.1,LAH17A
AM 2 /19 [POU],RUQ 1571,5.11,0.1,1.3,58.33,3.88,4,181.3,1.3,140.4,LAH17A
AMAZ 12,RUQ 334,4.31,0.11,1.56,46.52,2.92,3,296.6,1.91,158.9,LAH17A
AMAZ 1 /5,RUQ 99,2.68,0.06,0.86,48.44,3.17,4,221.4,1.52,149.0,LAH17A
AMAZ 3 /2,RUQ 91,4.77,0.11,1.54,44.31,3.06,4,260.6,1.78,151.5,LAH17A
AMAZ 5 /2,RUQ 93,5.33,0.09,1.25,59.36,4.26,5,272.6,1.83,150.7,LAH17A
AMAZ 6 /3,RUQ 1596,5.98,0.13,1.64,54.22,3.85,4,293.7,2.06,144.3,LAH17A
APA 4,RUQ 843,3.71,0.07,1.25,56.16,2.86,5,223.9,1.78,127.8,LAH17A
APA 5,RUQ 1695,4.06,0.06,1.03,68.01,3.98,5,262.7,2.14,123.5,LAH17A
ARF 12,RUQ 1364,3.96,0.1,1.17,41.35,3.35,3,174.6,1.28,136.6,LAH17A
B 12 /2 [POU],RUQ 436,3.68,0.09,1.13,44.06,3.15,4,197.5,1.39,142.3,LAH17A
B 6 /3 [POU],RUQ 1595,4.94,0.11,1.46,48.98,3.45,6,262.4,1.71,153.9,LAH17A
B 7 /14 [POU],RUQ 1082,4.98,0.09,1.31,59.09,3.79,5,237.8,1.62,149.0,LAH17A
B 9 /10-25 [POU],RUQ 1527,4.09,0.06,1.12,68.03,3.64,3,183.6,1.09,172.1,LAH17A
