Clone name,Female parent,Male parent,Station,Country,Year,Status,Refcode,Region,Scale,Info,Producer,Parent
TCS 1,-,-,CORPOICA (Now Agrosavia),Colombia,2014,-,ROD19A,,,,,
TCS 13,-,-,CORPOICA (Now Agrosavia),Colombia,2017,-,ROD19A,,,,,
TCS 19,-,-,CORPOICA (Now Agrosavia),Colombia,2017,-,ROD19A,,,,,
FLE2,-,-,FEDECACAO,Colombia,2000's,-,ROD19A,,,,,
FLE3,-,-,FEDECACAO,Colombia,2000's,-,ROD19A,,,,,
FSV41,-,-,FEDECACAO,Colombia,2000's,-,ROD19A,,,,,
FEC2,-,-,FEDECACAO,Colombia,2000's,-,ROD19A,,,,,
FTA2,-,-,FEDECACAO,Colombia,2000's,-,ROD19A,,,,,
FSA11,-,-,FEDECACAO,Colombia,2000's,-,ROD19A,,,,,
FSA12,-,-,FEDECACAO,Colombia,2000's,-,ROD19A,,,,,
FEAR5,-,-,FEDECACAO,Colombia,2000's,-,ROD19A,,,,,
-,PA46,IMC67,"Colombia, Instituto Colombiano Agropecuaria (ICA)",Colombia,1980s,until late 1990s,ROD19A,,,,,
-,P7,ICS6,"Colombia, Instituto Colombiano Agropecuaria (ICA)",Colombia,1980s,until late 1990s,ROD19A,,,,,
-,ICS1,SCA6,"Colombia, Instituto Colombiano Agropecuaria (ICA)",Colombia,1980s,until late 1990s,ROD19A,,,,,
-,ICS6,P7,"Colombia, Instituto Colombiano Agropecuaria (ICA)",Colombia,1980s,until late 1990s,ROD19A,,,,,
-,TSH812,IMC67,"Colombia, Instituto Colombiano Agropecuaria (ICA)",Colombia,1980s,until late 1990s,ROD19A,,,,,
-,ICS39,P7,"Colombia, Instituto Colombiano Agropecuaria (ICA)",Colombia,1980s,until late 1990s,ROD19A,,,,,
-,ICS6,TSA654,"Colombia, Instituto Colombiano Agropecuaria (ICA)",Colombia,1980s,until late 1990s,ROD19A,,,,,
-,ICS1,P7,"Colombia, Instituto Colombiano Agropecuaria (ICA)",Colombia,1980s,until late 1990s,ROD19A,,,,,
-,ICS6,IMC67,"Colombia, Instituto Colombiano Agropecuaria (ICA)",Colombia,1980s,until late 1990s,ROD19A,,,,,
-,IMC67,EET62,"Colombia, Instituto Colombiano Agropecuaria (ICA)",Colombia,1980s,until late 1990s,ROD19A,,,,,
-,ICS60,SCA12,"Colombia, Instituto Colombiano Agropecuaria (ICA)",Colombia,1980s,until late 1990s,ROD19A,,,,,
-,EET62,IMC67,"Colombia, Instituto Colombiano Agropecuaria (ICA)",Colombia,1980s,until late 1990s,ROD19A,,,,,
-,IMC67,ICS6,"Colombia, Instituto Colombiano Agropecuaria (ICA)",Colombia,1980s,until late 1990s,ROD19A,,,,,
-,ICS6,IMC67,"Colombia, Instituto Colombiano Agropecuaria (ICA)",Colombia,1980s,until late 1990s,ROD19A,,,,,
-,TSH792,IMC67,"Colombia, Instituto Colombiano Agropecuaria (ICA)",Colombia,1980s,until late 1990s,ROD19A,,,,,
-,EET400,IMC67,"Colombia, Instituto Colombiano Agropecuaria (ICA)",Colombia,1980s,until late 1990s,ROD19A,,,,,
-,ICS40,IMC67,"Colombia, Instituto Colombiano Agropecuaria (ICA)",Colombia,1980s,until late 1990s,ROD19A,,,,,
-,P7,ICS60,"Colombia, Instituto Colombiano Agropecuaria (ICA)",Colombia,1980s,until late 1990s,ROD19A,,,,,
-,TSH565,IMC67,"Colombia, Instituto Colombiano Agropecuaria (ICA)",Colombia,1980s,until late 1990s,ROD19A,,,,,
-,ICS1,IMC67,"Colombia, Instituto Colombiano Agropecuaria (ICA)",Colombia,1980s,until late 1990s,ROD19A,,,,,
-,P7,ICS39,"Colombia, Instituto Colombiano Agropecuaria (ICA)",Colombia,1980s,until late 1990s,ROD19A,,,,,
-,P7,IMC67,"Colombia, Instituto Colombiano Agropecuaria (ICA)",Colombia,1980s,until late 1990s,ROD19A,,,,,
-,EET400,ICS1,"Colombia, Instituto Colombiano Agropecuaria (ICA)",Colombia,1980s,until late 1990s,ROD19A,,,,,
-,EET400,ICS39,"Colombia, Instituto Colombiano Agropecuaria (ICA)",Colombia,1980s,until late 1990s,ROD19A,,,,,
-,EET400,ICS6,"Colombia, Instituto Colombiano Agropecuaria (ICA)",Colombia,1980s,until late 1990s,ROD19A,,,,,
-,EET400,ICS60,"Colombia, Instituto Colombiano Agropecuaria (ICA)",Colombia,1980s,until late 1990s,ROD19A,,,,,
-,ICS95,IMC67,"Colombia, Instituto Colombiano Agropecuaria (ICA)",Colombia,1980s,until late 1990s,ROD19A,,,,,
-,EET96,IMC67,"Colombia, Instituto Colombiano Agropecuaria (ICA)",Colombia,1980s,until late 1990s,ROD19A,,,,,
-,ICS8,IMC67,"Colombia, Instituto Colombiano Agropecuaria (ICA)",Colombia,1980s,until late 1990s,ROD19A,,,,,
-,P7,ICS1,"Colombia, Instituto Colombiano Agropecuaria (ICA)",Colombia,1980s,until late 1990s,ROD19A,,,,,
VRAEM-99,,,INIA,Peru,,Current,INI20B,"Satipo, Chanchamayo",,,,
VRAEM-94,,,INIA,Peru,,Current,INI20B,"Satipo, Chanchamayo",,,,
VRAEM-15,,,INIA,Peru,,Current,INI20B,"Satipo, Chanchamayo",,,,
Criollo mejorado,,,INIA,Peru,,Current,INI20B,"Satipo, Chanchamayo",,,,
CCN 51,,,INIA,Peru,,Current,INI20B,"Satipo, Chanchamayo",,,,
TCH-172,,,INIA,Peru,,Current,INI20B,"Satipo, Chanchamayo",,,,
ML 3,-,-,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic,,,BAT09A,,,,,
IML 44,-,-,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic,,,BAT09A,,,,,
ICS 39,-,-,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic,,,BAT09A,,,,,
ICS 40,-,-,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic,,,BAT09A,,,,,
ICS 95,-,-,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic,,,BAT09A,,,,,
UF 613,-,-,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic,,,BAT09A,,,,,
UF 221,-,-,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic,,,BAT09A,,,,,
ML 22,-,-,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic,,,BAT09A,,,,,
