Clone name,Pod index,Yield ha,Yield tree,Info,Notes,Refcode,Seed index,Productivity,Dry yield tree,Wet weight beans per tree,Yield efficiency
B 60 [ECU],30.3,-,52.00,-,-,AMO09A,,,,,
CCN 51,14.5,-,12.00,-,-,AMO09A,,,,,
CCN 51,-,1332,-,"Zone of Chongon, Ecuador",Value for single year (2006),AMO09A,,,,,
CCN 51,-,1299,-,"Zone of Calceta, Ecuador",Value for single year (2006),AMO09A,,,,,
EB 19 28,-,477,-,"Zone of Chongon, Ecuador",Value for single year (2006),AMO09A,,,,,
EB 19 28,-,260,-,"Zone of Calceta, Ecuador",Value for single year (2006),AMO09A,,,,,
EB 27 02,-,562,-,"Zone of Chongon, Ecuador",Value for single year (2006),AMO09A,,,,,
EB 27 02,-,291,-,"Zone of Calceta, Ecuador",Value for single year (2006),AMO09A,,,,,
EET 103 [ECU],14.6,-,11.00,-,-,AMO09A,,,,,
EET 103 [ECU],-,917,-,"Zone of Chongon, Ecuador",Value for single year (2006),AMO09A,,,,,
EET 103 [ECU],-,989,-,"Zone of Calceta, Ecuador",Value for single year (2006),AMO09A,,,,,
EET 454 [ECU],-,782,-,"Zone of Chongon, Ecuador",Value for single year (2006),AMO09A,,,,,
EET 454 [ECU],-,781,-,"Zone of Calceta, Ecuador",Value for single year (2006),AMO09A,,,,,
EET 510 [ECU],-,489,-,"Zone of Chongon, Ecuador",Value for single year (2006),AMO09A,,,,,
EET 510 [ECU],-,285,-,"Zone of Calceta, Ecuador",Value for single year (2006),AMO09A,,,,,
EB 2003,-,697,-,"Zone of Chongon, Ecuador",Value for single year (2006),AMO09A,,,,,
EB 2003,-,499,-,"Zone of Calceta, Ecuador",Value for single year (2006),AMO09A,,,,,
L11-H19 [ECU],-,1601,-,"Zone of Chongon, Ecuador",Value for single year (2006),AMO09A,,,,,
L11-H19 [ECU],-,912,-,"Zone of Calceta, Ecuador",Value for single year (2006),AMO09A,,,,,
L25-H64 [ECU],-,1540,-,"Zone of Chongon, Ecuador",Value for single year (2006),AMO09A,,,,,
L25-H64 [ECU],-,1090,-,"Zone of Calceta, Ecuador",Value for single year (2006),AMO09A,,,,,
L26-H64 [ECU],-,1039,-,"Zone of Chongon, Ecuador",Value for single year (2006),AMO09A,,,,,
L26-H64 [ECU],-,907,-,"Zone of Calceta, Ecuador",Value for single year (2006),AMO09A,,,,,
L46-H75 [ECU],-,1075,-,"Zone of Chongon, Ecuador",Value for single year (2006),AMO09A,,,,,
L46-H75 [ECU],-,1528,-,"Zone of Calceta, Ecuador",Value for single year (2006),AMO09A,,,,,
L46-H88 [ECU],-,1100,-,"Zone of Chongon, Ecuador",Value for single year (2006),AMO09A,,,,,
L46-H88 [ECU],-,1192,-,"Zone of Calceta, Ecuador",Value for single year (2006),AMO09A,,,,,
INIAP T 302,24.7,-,27.00,-,-,AMO09A,,,,,
INIAP T 405,17.6,-,26.00,-,-,AMO09A,,,,,
INIAP T 484,15.0,-,32.00,-,-,AMO09A,,,,,
INIAP T 533,25.0,-,31.00,-,-,AMO09A,,,,,
INIAP T 561,24.4,-,33.00,-,-,AMO09A,,,,,
INIAP T 564,21.2,-,18.00,-,-,AMO09A,,,,,
INIAP T 573,25.9,-,38.00,-,-,AMO09A,,,,,
INIAP T 632,24.7,-,25.00,-,-,AMO09A,,,,,
INIAP T 641,19.3,-,44.00,-,-,AMO09A,,,,,
INIAP T 656,15.1,-,25.00,-,-,AMO09A,,,,,
AC T 1 /1 [TTO],23.5,,,,,BEKAD1,,,,,
AC T 3 /2 [TTO],38.4,,,,,BEKAD1,,,,,
AC T 6 /1 [TTO],25.5,,,,,BEKAD1,,,,,
AC T 7 /2 [TTO],25.4,,,,,BEKAD1,,,,,
AC T 8 /1 [TTO],37.7,,,,,BEKAD1,,,,,
AC T 8 /2 [TTO],27.4,,,,,BEKAD1,,,,,
AGU 2 [CHA],33.2,,,,,BEKAD1,,,,,
AGU 3339 [CHA],26.7,,,,,BEKAD1,,,,,
AGU 3339 /12 [CHA],25.8,,,,,BEKAD1,,,,,
AGU 3339 /8 [CHA],18.8,,,,,BEKAD1,,,,,
ALMEIDA,29.4,,,,,BEKAD1,,,,,
AM 1 /1 [POU],23.5,,,,,BEKAD1,,,,,
AM 1 /107 [POU],21.8,,,,,BEKAD1,,,,,
AM 1 /12 [POU],22.7,,,,,BEKAD1,,,,,
AM 1 /13 [POU],34.7,,,,,BEKAD1,,,,,
AM 1 /19 [POU],24.9,,,,,BEKAD1,,,,,
AM 1 /28 [POU],45.2,,,,,BEKAD1,,,,,
AM 1 /3 [POU],25.9,,,,,BEKAD1,,,,,
AM 1 /33 [POU],30.4,,,,,BEKAD1,,,,,
AM 1 /37 [POU],32.8,,,,,BEKAD1,,,,,
AM 1 /38 [POU],17.2,,,,,BEKAD1,,,,,
AM 1 /39 [POU],24.6,,,,,BEKAD1,,,,,
AM 1 /4 [POU],27.5,,,,,BEKAD1,,,,,
AM 1 /42 [POU],22.0,,,,,BEKAD1,,,,,
AM 1 /48 [POU],25.6,,,,,BEKAD1,,,,,
AM 1 /49 [POU],21.9,,,,,BEKAD1,,,,,
AM 1 /5 [POU],23.3,,,,,BEKAD1,,,,,
AM 1 /53 [POU],34.0,,,,,BEKAD1,,,,,
AM 1 /54 [POU],24.4,,,,,BEKAD1,,,,,
AM 1 /55 [POU],21.1,,,,,BEKAD1,,,,,
AM 1 /56 [POU],23.3,,,,,BEKAD1,,,,,
AM 1 /57 [POU],21.0,,,,,BEKAD1,,,,,
AM 1 /60 [POU],25.3,,,,,BEKAD1,,,,,
AM 1 /63 [POU],22.7,,,,,BEKAD1,,,,,
AM 1 /67 [POU],20.3,,,,,BEKAD1,,,,,
AM 1 /68 [POU],28.0,,,,,BEKAD1,,,,,
AM 1 /7 [POU],32.7,,,,,BEKAD1,,,,,
AM 1 /70 [POU],20.6,,,,,BEKAD1,,,,,
AM 1 /72 [POU],22.5,,,,,BEKAD1,,,,,
AM 1 /73 [POU],31.1,,,,,BEKAD1,,,,,
AM 1 /75 [POU],25.7,,,,,BEKAD1,,,,,
AM 1 /85 [POU],16.7,,,,,BEKAD1,,,,,
AM 1 /87 [POU],22.9,,,,,BEKAD1,,,,,
AM 1 /88 [POU],32.9,,,,,BEKAD1,,,,,
AM 1 /96 [POU],30.6,,,,,BEKAD1,,,,,
AM 1 /97 [POU],21.2,,,,,BEKAD1,,,,,
AM 2 /1 [POU],34.0,,,,,BEKAD1,,,,,
AM 2 /12 [POU],30.0,,,,,BEKAD1,,,,,
AM 2 /13 [POU],24.6,,,,,BEKAD1,,,,,
AM 2 /14 [POU],28.3,,,,,BEKAD1,,,,,
AM 2 /17 [POU],33.7,,,,,BEKAD1,,,,,
AM 2 /18 [POU],26.2,,,,,BEKAD1,,,,,
AM 2 /19 [POU],23.1,,,,,BEKAD1,,,,,
AM 2 /21 [POU],23.1,,,,,BEKAD1,,,,,
AM 2 /28 [POU],27.5,,,,,BEKAD1,,,,,
AM 2 /31 [POU],22.6,,,,,BEKAD1,,,,,
AM 2 /32 [POU],26.8,,,,,BEKAD1,,,,,
AM 2 /38 [POU],26.0,,,,,BEKAD1,,,,,
AM 2 /39 [POU],18.8,,,,,BEKAD1,,,,,
AM 2 /4 [POU],27.0,,,,,BEKAD1,,,,,
AM 2 /41 [POU],32.7,,,,,BEKAD1,,,,,
AM 2 /43 [POU],18.9,,,,,BEKAD1,,,,,
AM 2 /45 [POU],18.6,,,,,BEKAD1,,,,,
AM 2 /46 [POU],23.6,,,,,BEKAD1,,,,,
AM 2 /53 [POU],23.7,,,,,BEKAD1,,,,,
AM 2 /6 [POU],31.2,,,,,BEKAD1,,,,,
AM 2 /60 [POU],24.5,,,,,BEKAD1,,,,,
AM 2 /61 [POU],29.9,,,,,BEKAD1,,,,,
AM 2 /62 [POU],41.4,,,,,BEKAD1,,,,,
AM 2 /64 [POU],24.4,,,,,BEKAD1,,,,,
AM 2 /65 [POU],40.9,,,,,BEKAD1,,,,,
AM 2 /68 [POU],27.5,,,,,BEKAD1,,,,,
AM 2 /70 [POU],42.1,,,,,BEKAD1,,,,,
AM 2 /82 [POU],19.5,,,,,BEKAD1,,,,,
AM 2 /83 [POU],30.7,,,,,BEKAD1,,,,,
AM 2 /87 [POU],27.7,,,,,BEKAD1,,,,,
AM 2 /88 [POU],29.2,,,,,BEKAD1,,,,,
AM 2 /9 [POU],25.6,,,,,BEKAD1,,,,,
AM 2 /91 [POU],17.2,,,,,BEKAD1,,,,,
AM 2 /92 [POU],25.1,,,,,BEKAD1,,,,,
AM 2 /94 [POU],20.6,,,,,BEKAD1,,,,,
AM 2 /96 [POU],36.1,,,,,BEKAD1,,,,,
AMAZ 10 /1,27.0,,,,,BEKAD1,,,,,
AMAZ 12,24.6,,,,,BEKAD1,,,,,
AMAZ 12 /4,28.0,,,,,BEKAD1,,,,,
AMAZ 1 /5,21.4,,,,,BEKAD1,,,,,
AMAZ 15 /15,22.0,,,,,BEKAD1,,,,,
AMAZ 16 /4,28.3,,,,,BEKAD1,,,,,
AMAZ 3 /2,28.3,,,,,BEKAD1,,,,,
AMAZ 5 /2,23.5,,,,,BEKAD1,,,,,
AMAZ 6,22.3,,,,,BEKAD1,,,,,
AMAZ 6 /3,29.9,,,,,BEKAD1,,,,,
AMELONADO [VAR],26.7,,,,,BEKAD1,,,,,
AMELONADO [VAR],18.8,,,,,BEKAD1,,,,,
AMELONADO 2 /0-17 [MAY],25.9,,,,,BEKAD1,,,,,
AMELONADO 3 /4-06 [MAY],24.1,,,,,BEKAD1,,,,,
AS 7 [ECU],24.4,,,,,BEKAD1,,,,,
AX 122 /79,19.1,,,,,BEKAD1,,,,,
AX 139 /53,16.0,,,,,BEKAD1,,,,,
B 97C /B-3 [BLZ],36.5,,,,,BEKAD1,,,,,
B 1 /2-24 [POU],35.8,,,,,BEKAD1,,,,,
B 1 /2-8 [POU],35.7,,,,,BEKAD1,,,,,
B 11 /3 [POU],23.9,,,,,BEKAD1,,,,,
B 12 /1 [POU],37.7,,,,,BEKAD1,,,,,
B 13 /1 [POU],28.4,,,,,BEKAD1,,,,,
B 13 /3 [POU],34.7,,,,,BEKAD1,,,,,
B 13 /5 [POU],25.0,,,,,BEKAD1,,,,,
B 13 /6 [POU],23.7,,,,,BEKAD1,,,,,
B 13 /7 [POU],27.7,,,,,BEKAD1,,,,,
B 14 /11 [POU],28.6,,,,,BEKAD1,,,,,
B 14 /13 [POU],34.2,,,,,BEKAD1,,,,,
B 14 /14 [POU],23.9,,,,,BEKAD1,,,,,
B 14 /8 [POU],29.1,,,,,BEKAD1,,,,,
B 14 /9 [POU],31.8,,,,,BEKAD1,,,,,
B 17 /1 [POU],29.8,,,,,BEKAD1,,,,,
B 17 /10 [POU],23.1,,,,,BEKAD1,,,,,
B 17 /15 [POU],29.7,,,,,BEKAD1,,,,,
B 17 /17 [POU],22.5,,,,,BEKAD1,,,,,
B 17 /20 [POU],17.2,,,,,BEKAD1,,,,,
B 17 /24 [POU],35.1,,,,,BEKAD1,,,,,
B 17 /33 [POU],34.2,,,,,BEKAD1,,,,,
B 17 /4 [POU],25.7,,,,,BEKAD1,,,,,
B 17 /5 [POU],29.3,,,,,BEKAD1,,,,,
B 18 /1 [POU],32.3,,,,,BEKAD1,,,,,
B 18 /4 [POU],26.0,,,,,BEKAD1,,,,,
B 18 /5 [POU],30.2,,,,,BEKAD1,,,,,
B 18 /8 [POU],32.1,,,,,BEKAD1,,,,,
B 18 /9 [POU],28.4,,,,,BEKAD1,,,,,
B 2 /8 [POU],36.5,,,,,BEKAD1,,,,,
B 20 /1 [POU],38.7,,,,,BEKAD1,,,,,
B 20 /2 [POU],26.3,,,,,BEKAD1,,,,,
B 21 /6 [POU],36.8,,,,,BEKAD1,,,,,
B 21 /7 [POU],21.4,,,,,BEKAD1,,,,,
B 22 /15 [POU],38.4,,,,,BEKAD1,,,,,
B 22 /16 [POU],38.7,,,,,BEKAD1,,,,,
B 22 /17 [POU],32.8,,,,,BEKAD1,,,,,
B 22 /3 [POU],25.5,,,,,BEKAD1,,,,,
B 22 /8 [POU],32.8,,,,,BEKAD1,,,,,
B 23 /1 [POU],33.0,,,,,BEKAD1,,,,,
B 23 /2 [POU],34.8,,,,,BEKAD1,,,,,
B 23 /4 [POU],32.1,,,,,BEKAD1,,,,,
B 23 /6 [POU],33.8,,,,,BEKAD1,,,,,
B 23 /9 [POU],32.6,,,,,BEKAD1,,,,,
B 4 /8 [POU],29.8,,,,,BEKAD1,,,,,
B 5 /10 [POU],28.1,,,,,BEKAD1,,,,,
B 5 /11 [POU],46.3,,,,,BEKAD1,,,,,
B 5 /2 [POU],28.3,,,,,BEKAD1,,,,,
B 5 /3 [POU],26.7,,,,,BEKAD1,,,,,
B 5 /5 [POU],32.0,,,,,BEKAD1,,,,,
B 5 /7 [POU],33.4,,,,,BEKAD1,,,,,
B 6 /2 [POU],23.7,,,,,BEKAD1,,,,,
B 6 /29 [POU],19.3,,,,,BEKAD1,,,,,
B 6 /3 [POU],47.4,,,,,BEKAD1,,,,,
B 6 /5 [POU],30.7,,,,,BEKAD1,,,,,
B 6 /8 [POU],18.9,,,,,BEKAD1,,,,,
B 7 /1 [POU],21.8,,,,,BEKAD1,,,,,
B 7 /14 [POU],23.5,,,,,BEKAD1,,,,,
B 7 /15 [POU],23.5,,,,,BEKAD1,,,,,
B 7 /16 [POU],21.6,,,,,BEKAD1,,,,,
B 7 /18 [POU],24.3,,,,,BEKAD1,,,,,
B 7 /21 [POU],33.7,,,,,BEKAD1,,,,,
B 7 /3 [POU],20.1,,,,,BEKAD1,,,,,
B 7 /4 [POU],24.9,,,,,BEKAD1,,,,,
B 8 /4 [POU],31.8,,,,,BEKAD1,,,,,
B 8 /5 [POU],33.7,,,,,BEKAD1,,,,,
B 8 /8 [POU],38.9,,,,,BEKAD1,,,,,
B 8 /9 [POU],31.2,,,,,BEKAD1,,,,,
B 9 /10-12 [POU],25.5,,,,,BEKAD1,,,,,
B 9 /10-18 [POU],35.2,,,,,BEKAD1,,,,,
B 9 /10-23 [POU],32.1,,,,,BEKAD1,,,,,
B 9 /10-25 [POU],19.8,,,,,BEKAD1,,,,,
B 9 /10-28 [POU],63.1,,,,,BEKAD1,,,,,
B 9 /10-30 [POU],48.9,,,,,BEKAD1,,,,,
B 9 /10-32 [POU],22.5,,,,,BEKAD1,,,,,
B 9 /10-33 [POU],30.2,,,,,BEKAD1,,,,,
B 9 /10-34 [POU],35.1,,,,,BEKAD1,,,,,
B 9 /10-35 [POU],92.8,,,,,BEKAD1,,,,,
B 9 /10-43 [POU],36.6,,,,,BEKAD1,,,,,
B 9 /10-46 [POU],25.8,,,,,BEKAD1,,,,,
B 9 /10-8 [POU],27.7,,,,,BEKAD1,,,,,
BE 10,26.9,,,,,BEKAD1,,,,,
BE 2,30.5,,,,,BEKAD1,,,,,
Belize 10 [BLZ],56.5,,,,,BEKAD1,,,,,
Belize 12 [BLZ],53.8,,,,,BEKAD1,,,,,
Belize 14 [BLZ],70.1,,,,,BEKAD1,,,,,
Belize 15 [BLZ],69.7,,,,,BEKAD1,,,,,
Belize 17 [BLZ],49.0,,,,,BEKAD1,,,,,
Belize 2 [BLZ],35.7,,,,,BEKAD1,,,,,
Belize 20 [BLZ],45.2,,,,,BEKAD1,,,,,
Belize 28 [BLZ],22.4,,,,,BEKAD1,,,,,
Belize 29 [BLZ],19.0,,,,,BEKAD1,,,,,
Belize 3 [BLZ],27.0,,,,,BEKAD1,,,,,
B 97 61 /B-7 [BLZ],23.4,,,,,BEKAD1,,,,,
B 97 AC 2/1 [BLZ],31.7,,,,,BEKAD1,,,,,
B 97Ex 1 /(a)-1 [BLZ],23.9,,,,,BEKAD1,,,,,
B 97 Ex 4 /B-5 [BLZ],21.6,,,,,BEKAD1,,,,,
BH,27.2,,,,,BEKAD1,,,,,
BOB 8 [CHA],25.2,,,,,BEKAD1,,,,,
C 15 /61 [TRI],42.1,,,,,BEKAD1,,,,,
C 40 [TRI],27.1,,,,,BEKAD1,,,,,
C 96 [TRI],33.6,,,,,BEKAD1,,,,,
C 97 [TRI],21.6,,,,,BEKAD1,,,,,
C 99 [TRI],19.8,,,,,BEKAD1,,,,,
CAS 1,44.1,,,,,BEKAD1,,,,,
CATONGO,35.6,,,,,BEKAD1,,,,,
CBO 177 [VEN],28.0,,,,,BEKAD1,,,,,
CC 10,14.7,,,,,BEKAD1,,,,,
CC 17,22.8,,,,,BEKAD1,,,,,
CC 38,26.1,,,,,BEKAD1,,,,,
CC 39,25.1,,,,,BEKAD1,,,,,
CC 40,27.7,,,,,BEKAD1,,,,,
CC 41,28.0,,,,,BEKAD1,,,,,
CC 49,28.2,,,,,BEKAD1,,,,,
CC 57,26.0,,,,,BEKAD1,,,,,
CC 71,32.3,,,,,BEKAD1,,,,,
CC 9,20.0,,,,,BEKAD1,,,,,
CERRO AZUL 10,26.1,,,,,BEKAD1,,,,,
CL 10 /10,46.6,,,,,BEKAD1,,,,,
CL 10 /11,29.3,,,,,BEKAD1,,,,,
CL 10 /12,31.6,,,,,BEKAD1,,,,,
CL 10 /14,29.7,,,,,BEKAD1,,,,,
CL 10 /15,29.1,,,,,BEKAD1,,,,,
CL 10 /21,27.8,,,,,BEKAD1,,,,,
CL 10 /23,29.2,,,,,BEKAD1,,,,,
CL 10 /25,36.1,,,,,BEKAD1,,,,,
CL 10 /26,25.0,,,,,BEKAD1,,,,,
CL 10 /27,24.8,,,,,BEKAD1,,,,,
CL 10 /29,20.7,,,,,BEKAD1,,,,,
CL 10 /3,24.4,,,,,BEKAD1,,,,,
CL 10 /32,39.2,,,,,BEKAD1,,,,,
CL 10 /33,32.9,,,,,BEKAD1,,,,,
CL 10 /4,18.2,,,,,BEKAD1,,,,,
CL 10 /5,19.3,,,,,BEKAD1,,,,,
CL 10 /6,29.6,,,,,BEKAD1,,,,,
CL 10 /7,31.9,,,,,BEKAD1,,,,,
CL 13 /12,44.8,,,,,BEKAD1,,,,,
CL 13 /13,18.9,,,,,BEKAD1,,,,,
CL 13 /17,28.6,,,,,BEKAD1,,,,,
CL 13 /19-4,26.5,,,,,BEKAD1,,,,,
CL 13 /2,45.3,,,,,BEKAD1,,,,,
CL 13 /21,38.2,,,,,BEKAD1,,,,,
CL 13 /27,51.9,,,,,BEKAD1,,,,,
CL 13 /35,23.5,,,,,BEKAD1,,,,,
CL 13 /36,30.8,,,,,BEKAD1,,,,,
CL 13 /4,26.8,,,,,BEKAD1,,,,,
CL 13 /41,27.6,,,,,BEKAD1,,,,,
CL 13 /43,26.2,,,,,BEKAD1,,,,,
CL 13 /65,25.3,,,,,BEKAD1,,,,,
CL 15 /195,31.1,,,,,BEKAD1,,,,,
CL 15 /197,23.3,,,,,BEKAD1,,,,,
CL 19 /10,35.0,,,,,BEKAD1,,,,,
CL 19 /11,25.4,,,,,BEKAD1,,,,,
CL 19 /12,26.6,,,,,BEKAD1,,,,,
CL 19 /17,28.6,,,,,BEKAD1,,,,,
CL 19 /2,29.0,,,,,BEKAD1,,,,,
CL 19 /21,24.3,,,,,BEKAD1,,,,,
CL 19 /22,34.7,,,,,BEKAD1,,,,,
CL 19 /27,28.1,,,,,BEKAD1,,,,,
CL 19 /31,59.2,,,,,BEKAD1,,,,,
CL 19 /33,25.7,,,,,BEKAD1,,,,,
CL 19 /34,40.6,,,,,BEKAD1,,,,,
CL 19 /35,16.8,,,,,BEKAD1,,,,,
CL 19 /37,30.3,,,,,BEKAD1,,,,,
CL 19 /39,32.9,,,,,BEKAD1,,,,,
CL 19 /41,27.2,,,,,BEKAD1,,,,,
CL 19 /42,29.9,,,,,BEKAD1,,,,,
CL 19 /44,28.6,,,,,BEKAD1,,,,,
CL 19 /47,45.8,,,,,BEKAD1,,,,,
CL 19 /49,29.8,,,,,BEKAD1,,,,,
CL 19 /51,34.0,,,,,BEKAD1,,,,,
CL 19 /9,25.5,,,,,BEKAD1,,,,,
CL 27 /105,25.3,,,,,BEKAD1,,,,,
CL 27 /109,25.8,,,,,BEKAD1,,,,,
CL 27 /111,26.4,,,,,BEKAD1,,,,,
CL 27 /116,28.1,,,,,BEKAD1,,,,,
CL 27 /14,37.6,,,,,BEKAD1,,,,,
CL 27 /21,25.3,,,,,BEKAD1,,,,,
CL 27 /27,31.1,,,,,BEKAD1,,,,,
CL 27 /34,32.9,,,,,BEKAD1,,,,,
CL 27 /39,23.7,,,,,BEKAD1,,,,,
CL 27 /43,26.0,,,,,BEKAD1,,,,,
CL 27 /46,23.8,,,,,BEKAD1,,,,,
CL 27 /49,22.7,,,,,BEKAD1,,,,,
CL 27 /50,18.7,,,,,BEKAD1,,,,,
CL 27 /53,24.4,,,,,BEKAD1,,,,,
CL 27 /58,29.2,,,,,BEKAD1,,,,,
CL 27 /61,24.1,,,,,BEKAD1,,,,,
CL 27 /7,24.1,,,,,BEKAD1,,,,,
CL 27 /71,38.7,,,,,BEKAD1,,,,,
CL 27 /72,23.9,,,,,BEKAD1,,,,,
CL 27 /74,34.2,,,,,BEKAD1,,,,,
CL 27 /76,25.1,,,,,BEKAD1,,,,,
CL 27 /79,20.9,,,,,BEKAD1,,,,,
CL 27 /96,60.0,,,,,BEKAD1,,,,,
CL 78 /2,21.6,,,,,BEKAD1,,,,,
CL 78 /3,20.7,,,,,BEKAD1,,,,,
CL 78 /7,28.6,,,,,BEKAD1,,,,,
CL 9 /11,23.5,,,,,BEKAD1,,,,,
CL 9 /12,21.7,,,,,BEKAD1,,,,,
CL 9 /13,25.3,,,,,BEKAD1,,,,,
CL 9 /16,32.9,,,,,BEKAD1,,,,,
CL 9 /19,40.1,,,,,BEKAD1,,,,,
CL 9 /4,42.6,,,,,BEKAD1,,,,,
CL 9 /51,46.9,,,,,BEKAD1,,,,,
CL 9 /56,23.6,,,,,BEKAD1,,,,,
CL 9 /6,34.4,,,,,BEKAD1,,,,,
CL 9 /7,31.7,,,,,BEKAD1,,,,,
CL 91 /5,19.2,,,,,BEKAD1,,,,,
CL 91 /6,28.2,,,,,BEKAD1,,,,,
CL 91 /7,26.3,,,,,BEKAD1,,,,,
CLEM /S-62-1,20.7,,,,,BEKAD1,,,,,
CLM 100,25.3,,,,,BEKAD1,,,,,
CLM 101,18.7,,,,,BEKAD1,,,,,
CLM 107,19.5,,,,,BEKAD1,,,,,
CLM 11,34.7,,,,,BEKAD1,,,,,
CLM 111,28.3,,,,,BEKAD1,,,,,
CLM 114,18.9,,,,,BEKAD1,,,,,
CLM 116,34.4,,,,,BEKAD1,,,,,
CLM 122,19.4,,,,,BEKAD1,,,,,
CLM 19,38.8,,,,,BEKAD1,,,,,
CLM 3,38.6,,,,,BEKAD1,,,,,
CLM 35,36.3,,,,,BEKAD1,,,,,
CLM 41,27.0,,,,,BEKAD1,,,,,
CLM 43,21.6,,,,,BEKAD1,,,,,
CLM 49,27.2,,,,,BEKAD1,,,,,
CLM 56,33.7,,,,,BEKAD1,,,,,
CLM 59,16.7,,,,,BEKAD1,,,,,
CLM 6,23.8,,,,,BEKAD1,,,,,
CLM 60,25.3,,,,,BEKAD1,,,,,
CLM 64,25.1,,,,,BEKAD1,,,,,
CLM 70,23.4,,,,,BEKAD1,,,,,
CLM 78,29.9,,,,,BEKAD1,,,,,
CLM 83,24.9,,,,,BEKAD1,,,,,
CLM 86,24.9,,,,,BEKAD1,,,,,
CLM 88,23.4,,,,,BEKAD1,,,,,
CLM 90,28.9,,,,,BEKAD1,,,,,
CLM 91,42.0,,,,,BEKAD1,,,,,
CLM 96,35.7,,,,,BEKAD1,,,,,
CLM 97,21.6,,,,,BEKAD1,,,,,
CLM 99,31.9,,,,,BEKAD1,,,,,
COCA 3310 /3 [CHA],21.1,,,,,BEKAD1,,,,,
COCA 3343 /2 [CHA],31.8,,,,,BEKAD1,,,,,
COCA 3343 /7 [CHA],28.7,,,,,BEKAD1,,,,,
COCA 3348 /44 [CHA],22.2,,,,,BEKAD1,,,,,
COCA 3348 /52 [CHA],24.2,,,,,BEKAD1,,,,,
COCA 3370 /5 [CHA],25.7,,,,,BEKAD1,,,,,
CRIOLLO 54 [CRI],20.1,,,,,BEKAD1,,,,,
CRU C6 /23,23.5,,,,,BEKAD1,,,,,
CRU 100,33.0,,,,,BEKAD1,,,,,
CRU 101,48.4,,,,,BEKAD1,,,,,
CRU 102,23.9,,,,,BEKAD1,,,,,
CRU 103,30.5,,,,,BEKAD1,,,,,
CRU 104,17.6,,,,,BEKAD1,,,,,
CRU 105,17.1,,,,,BEKAD1,,,,,
CRU 106,20.5,,,,,BEKAD1,,,,,
CRU 107,25.1,,,,,BEKAD1,,,,,
CRU 11,20.0,,,,,BEKAD1,,,,,
CRU 111,17.4,,,,,BEKAD1,,,,,
CRU 112,17.7,,,,,BEKAD1,,,,,
CRU 113,24.7,,,,,BEKAD1,,,,,
CRU 116,15.1,,,,,BEKAD1,,,,,
CRU 119,28.6,,,,,BEKAD1,,,,,
CRU 12,28.0,,,,,BEKAD1,,,,,
CRU 120,32.5,,,,,BEKAD1,,,,,
CRU 122,15.5,,,,,BEKAD1,,,,,
CRU 123,22.7,,,,,BEKAD1,,,,,
CRU 124,27.5,,,,,BEKAD1,,,,,
