bean_number,bean_total_wet_weight,fruit_rugosity,fruit_length,fruit_breadth,fruit_hardness,flower_stamen_colour,flower_sepal_length,flower_ligule_width,flower_ovule_number,flower_style_length,bean_colour_Light purple,bean_colour_Purple,bean_colour_grey,bean_colour_mottled,bean_colour_pink,bean_colour_white,bean_shape_Irregular,bean_shape_Oval,bean_shape_elongate,bean_shape_flat,bean_shape_plump,fruit_shape_amelonado,fruit_shape_amelonado-angoleta,fruit_shape_angoleta - cundeamor,fruit_shape_angoleta-acriollada,fruit_shape_cundeamor,fruit_shape_oblate,fruit_shape_ovate,fruit_colour_Dark purple,fruit_colour_Green with purple,fruit_colour_Light green and furrows whitish,fruit_colour_Pale green with very soft red tones,fruit_colour_Purple with light green,fruit_colour_dark red,fruit_colour_dark red - green,fruit_colour_green and yellow,fruit_colour_orange - green,fruit_colour_purple,fruit_colour_red - brown,fruit_colour_red - green,fruit_colour_red - orange,fruit_colour_very slight anthocyanin,fruit_colour_yellow - orange,fruit_basal_constriction_pronounced,fruit_furrow_desc_equidistant and slight separation,bean_colour_Intense purple,bean_colour_dark purple,bean_colour_light purple,bean_colour_purple,bean_shape_Oblong,bean_shape_elliptical,bean_shape_oblong,bean_shape_ovate,bean_shape_round,fruit_shape_angoleta,fruit_shape_angoleta-cundeamor,fruit_shape_elliptical,fruit_shape_oblong,fruit_shape_obovate,fruit_shape_orbicular,fruit_colour_Purple with eventual presence of green,fruit_colour_anthocyanin absent,fruit_colour_brown,fruit_colour_green and white,fruit_colour_intense anthocyanin,fruit_colour_moderate anthocyanin,fruit_colour_orange,fruit_colour_red,fruit_colour_red - yellow,fruit_colour_slight anthocyanin,fruit_colour_yellow,fruit_colour_yellow - brown,fruit_basal_constriction_absent,fruit_basal_constriction_moderate,fruit_basal_constriction_moderate - slight,fruit_basal_constriction_slight,fruit_basal_constriction_slight - moderate,fruit_basal_constriction_strong,fruit_basal_constriction_very slight,fruit_basal_constriction_wideshoulder,fruit_apex_form_acuminate,fruit_apex_form_acute,fruit_apex_form_attenuate,fruit_apex_form_indented,fruit_apex_form_mammillate,fruit_apex_form_obtuse,fruit_apex_form_rounded,fruit_furrow_desc_equidistant and intermediate separation,fruit_furrow_desc_equidistant and wide separation,fruit_furrow_desc_paired and intermediate separation,fruit_furrow_desc_paired and slight separation,fruit_furrow_desc_paired and wide separation,fruit_info_Hardness lte 1.6 Mpa,fruit_info_Hardness gt 1.6 and lte 2.0 Mpa,fruit_info_Hardness gt 2.0 Mpa,fruit_info_expedition data,flower_ligule_colour_anthocyanin absent,flower_ligule_colour_intense anthocyanin,flower_ligule_colour_moderate anthocyanin,flower_ligule_colour_slight anthocyanin,cluster
42.0,39.7,4.0,154.0,71.0,2.7666666666666666,1.0,6.86,2.35,44.0,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,2
32.0,42.4,2.0,149.0,76.0,2.7666666666666666,1.0,8.17,2.43,42.0,2.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,2
30.0,56.8,3.0,174.0,82.0,2.0,1.0,9.77,2.15,36.0,2.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,3
28.0,42.8,4.0,129.0,65.0,3.0,2.0,6.64,1.94,43.0,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,6
39.0,57.9,3.0,180.0,79.0,2.0,2.0,7.25,2.58,36.0,2.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,3
35.0,46.3,2.0,154.0,82.0,3.0,2.0,7.86,2.42,42.0,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2
36.0,64.6,3.0,184.0,99.0,3.0,4.0,8.71,2.5,41.0,2.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,5
33.0,63.8,4.0,186.0,101.0,2.6726190476190474,1.0,8.69,2.13,40.0,2.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,5
36.0,75.4,4.0,177.0,99.0,2.5,4.0,7.81,2.43,41.0,2.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,5
35.0,57.3,3.0,199.0,81.0,2.0,3.0,8.35,2.72,41.0,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,5
