refcode,title,year
LEE93A,"Lee, M.T., Tay, E.B., Lamin, K. & Saedi, M. (1993) Catalogue of locally collected clones in Malaysia.  Catalogue compiled by the Malaysian Cocoa Board, Sabah, Malaysia.",1993
KKO93A,"KKO (1993) Information from the KKO cocoa germplasm database.  Information supplied on computer diskette by C. Cilas, CIRAD-CP, France.",1993
ARC06A,"Arciniegas, A. & Phillips-Mora, W. (2006) Caracterización de Genotipos Superiores de Cacao Seleccionados por el Programa de Mejoramiento Genético del CATIE por Su Rendimiento Y/O Resistencia a Moniliasis.  In: Proceedings of the 15th International Cocoa Research Conference, San Jose, Costa Rica (2006). Cocoa Producers' Alliance, Lagos, Nigeria.",2006
CLA94A,"Clapperton, J., Yow, S., Chan, J., Lim, D., Lockwood, R., Romanczyk, L. & Hammerstone, J. (1994) The contribution of genotype to cocoa (Theobroma cacao L.) flavour.  Tropical Agriculture (Trinidad) 71(4): pp. 303-308.",1994
QUE99A,"Queroz, J. (1999) Caracteristicas fenotipicas de materiales de la coleccion Chalmers.  Unpublished report by James Queroz, INIAP, Ecuador passed on to the ICGD by Dr. A.Eskes, IPGRI.",1999
ENG81A,"Costa Rica - CATIE (1981) Genetic Resources of Cacao. A Catalogue of the CATIE Collection.  J.M.M. Engels, Tropical Agricultural Research and Training Centre, CATIE, Turrialba, Costa Rica. Technical Bulletin No. 7: pp. 191.",1981
NSI20A,National Seed Industry Council of the Philippines (2020) National Seed Industry Council of the Philippines Certified Cocoa Materials.  NSIC Website,2020
REY73A,"Reyes, H.E., Perez, A.Z., Reyes, L.C. de & Wagner O., M. de J. (1973) Catalogo de cultivares de cacao ( Theobroma cacao L.).  Estacion Experimental de Caucagua, Caucagua, Venezuela. pp. 131.",1973
LOP95B,"Lopez-Baez, O. (1995) Caracteristicas del fruto del germoplasma de cacao, Theobroma cacao L., seleccionado en Rosario Izapa, Chiapas.  Agricultura Tecnico Mexicana 21(2): pp. 127-137.",1995
ALL87A,"Allen, J.B. (1987) London Cocoa Trade Amazon Project. Final Report Phase 2.  Cocoa Growers' Bulletin (Cadbury Schweppes plc, Birmingham, U.K.) 39: pp. 1-94.",1987
CEP87A,"Brazil - CEPEC (1987) List of clones in the CEPEC, Bahia, Brazil collection.  Computer printout from CEPEC. Supplied by B.G.D. Bartley, CEPEC, Brazil.",1987
ROD19A,"Rodriguez-Medina, Caren, Alvaro Caicedo Arana, Olivier Sounigo, Xavier Argout, Gabriel Alvarado Alvarado & Roxana Yockteng (2019) Cacao Breeding in Colombia, Past, Present and Future.  Breeding Science, no. 1999",2019
IWA97C,"Iwaro, D., Sreenivasan, T.N. & Umaharan, P. (1997) Foliar resistance to Phytophthora palmivora as an indicator of pod resistance in Theobroma cacao.  Plant Disease 81(6): pp. 619-624",1997
BEKAD1,"Frances Bekele & Gillian Bidaisee (2022) Morphological data from the International Cocoa Collection (ICG,T) maintained by the Cocoa Research Centre (CRC), Trinidad & Tobago.  Unpublished data on fruit, bean, flower and flush morphology supplied as an Excel spreadsheet by Frances Bekele. Last update March 2022.",2022
ALM97B,Brazil - Almirante Cacao (1997) Percentage fat content of seed and nibs from selected clones.  Data supplied on computer diskette by Martin Aitken,1997
ICCUD1,ICCRI (2019) Kakao (Cocoa).  iccri.net website,2019
PHI13A,"Wilbert Phillips-Mora, Adriana Arciniegas-Leal, Allan Mata-Quirós & Juan Carlos Motamayor-Arias (2013) Catalogue of Cacao Clones Selected by CATIE for Commercial Plantings.  Technical series. Technical manual/CATIE no.105",2013
PUR09A,"H. bin Purung, H. Mohammed, Kartika Fauziah, M. Imron, Hilman, E. Sulistyowati, S. Sukamto, A.W. Susilo, E. Mardiono, A. Purwantara, A. Iswanto, Y. Suarni, Octovanius, Suprapto, Sudirman, M. Hidayat, D. Ismail, S. Lambert, J. Neilson, D.I. Guest, P.J. McMahon & P.J Keane (2009) Testing Local Genotypes with Cocoa Smallholders in Sulawesi.  In: Proceedings of the 16th International Cocoa Research Conference, Bali, Indonesia (November 2009). Cocoa Producers' Alliance, Lagos, Nigeria.",2009
DEL03A,"Ricardo A. Delgado & Carmen Suárez Capello (2003) Evaluación de la Resistencia Al Mal del Machete en Clones Internacionales de Cacao en Ecuador.  In: Proceedings of the 14th International Cocoa Research Conference, Accra, Ghana (October 2003). Cocoa Producers' Alliance, Lagos, Nigeria.",2003
SUS15A,"Susilo, Agung W (2015) BREEDING PROGRAM AND DEVELOPMENT PLANTING MATERIAL OF COCOA (Theobroma Cacao L.) IN INDONESIA.  Asia Pacific Regional Cocoa Research Workshop Davao Philippines, 12-15th October 2015.",2015
