Clone name,Colour dark purple,Colour light purple,Colour white,Number,Length,Width,Thickness,Cotyledon wet weight,Info
EBC 10,+,+,-,38.0,21.2,9.9,8.1,1.03,expedition data
EBC 100,-,+,-,16.0,25.0,10.3,8.2,1.63,expedition data
EBC 101,+,+,-,54.0,28.3,13.4,10.0,2.21,expedition data
EBC 11,+,+,-,28.0,19.4,10.0,7.3,0.81,expedition data
EBC 113,-,+,-,9.0,-,-,-,-,expedition data
EBC 121,+,-,-,-,24.4,11.3,9.3,2.20,expedition data
EBC 123,-,-,-,-,25.3,11.0,8.7,1.43,expedition data
EBC 125,+,+,-,35.0,24.8,12.3,9.8,1.89,expedition data
EBC 126,-,+,-,48.0,24.4,10.7,7.3,1.39,expedition data
EBC 135,+,+,-,47.0,24.1,12.4,8.7,1.49,expedition data
EBC 138,+,-,-,20.0,26.2,12.6,8.7,2.11,expedition data
EBC 142,+,+,-,28.0,26.7,14.0,8.7,2.15,expedition data
EBC 145,-,-,-,-,22.9,12.3,8.9,1.47,expedition data
EBC 147,+,+,-,31.0,-,-,-,-,expedition data
EBC 148,+,-,-,43.0,27.1,13.8,9.1,2.36,expedition data
EBC 29,+,-,-,32.0,21.4,10.4,8.0,1.05,expedition data
EBC 30,+,+,-,40.0,19.4,9.2,6.6,0.64,expedition data
EBC 48,-,+,-,38.0,19.9,9.8,8.0,0.91,expedition data
EBC 49,-,+,-,35.0,17.7,8.7,6.8,0.58,expedition data
EBC 5,-,+,-,29.0,19.9,9.0,7.6,0.71,expedition data
EBC 56,-,+,-,41.0,19.1,8.7,6.5,0.60,expedition data
EBC 58,-,+,-,38.0,21.1,10.2,7.4,0.95,expedition data
EBC 6,-,+,-,35.0,20.1,8.7,7.2,0.77,expedition data
EBC 76,+,-,-,50.0,26.7,13.6,10.4,2.28,expedition data
EBC 77,-,+,-,23.0,25.5,10.6,8.9,2.62,expedition data
EBC 78,+,+,-,20.0,22.2,11.8,9.8,1.40,expedition data
EBC 79,-,+,-,49.0,25.8,12.4,8.9,1.57,expedition data
EBC 8,-,-,-,34.0,19.7,9.0,7.0,0.77,expedition data
EBC 84,-,+,-,39.0,24.7,10.0,8.1,1.45,expedition data
EBC 85,-,+,-,39.0,20.1,10.1,8.1,0.96,expedition data
EBC 86,-,+,-,34.0,20.7,9.0,7.7,0.96,expedition data
EBC 9,+,+,-,36.0,21.1,10.5,7.7,1.00,expedition data
EBC 91,-,+,-,24.0,18.8,10.1,8.5,0.94,expedition data
LCT EEN 1,-,-,+,25.0,24.3,12.0,10.5,2.08,expedition data
LCT EEN 10,+,-,-,16.0,24.2,14.1,9.3,2.50,expedition data
LCT EEN 101,-,-,+,27.0,21.5,12.2,9.4,1.50,expedition data
LCT EEN 107,+,+,-,41.0,24.3,11.7,8.6,1.80,
