Clone name,Basal constriction,Apex form,Rugosity,Furrow depth,Furrow desc,Husk thickness,Length,Breadth,Colour,Weight,Length breadth ratio,Info
EBC 10,slight,slightly acute,moderate,superficial,paired,10 mm,177.0,67.0,anthocyanin absent,280.0,2.64,expedition data
EBC 100,slight,slightly acute,smooth,superficial,paired,10 mm,139.0,65.0,anthocyanin absent,200.0,2.13,expedition data
EBC 101,slight,slightly acute,smooth,superficial,paired,23 mm,268.0,106.0,anthocyanin absent,1375.0,2.52,expedition data
EBC 11,slight,slightly acute,smooth,superficial,paired,6 mm,118.0,59.0,anthocyanin absent,-,2.00,expedition data
EBC 113,moderate,slightly acute,moderate,intermediate,paired,14 mm,125.0,65.0,anthocyanin absent,215.0,1.92,expedition data
EBC 121,slight,slightly acute,smooth,superficial,paired,20 mm,223.0,90.0,anthocyanin absent,900.0,2.47,expedition data
EBC 123,-,-,-,-,-,14 mm,185.0,72.0,-,-,2.56,expedition data
EBC 125,slight,slightly acute,smooth,superficial,paired,15 mm,200.0,86.0,anthocyanin absent,600.0,2.32,expedition data
EBC 126,absent,slightly acute,slight,superficial,paired,11 mm,207.0,81.0,anthocyanin absent,575.0,2.55,expedition data
EBC 135,absent,slightly acute,smooth,intermediate,paired,20 mm,224.0,94.0,anthocyanin absent,850.0,2.38,expedition data
EBC 138,slight,slightly obtuse,moderate,intermediate,paired,20 mm,172.0,90.0,anthocyanin absent,650.0,1.91,expedition data
EBC 141,moderate,slightly acute,moderate,superficial,paired,9 mm,154.0,63.0,anthocyanin absent,220.0,2.44,expedition data
EBC 142,absent,slightly acute,smooth,superficial,paired,22 mm,172.0,99.0,anthocyanin absent,825.0,1.73,expedition data
EBC 145,slight,slightly acute,smooth,superficial,paired,21 mm,196.0,84.0,anthocyanin absent,625.0,2.33,expedition data
EBC 147,absent,slightly acute,moderate,superficial,paired,18 mm,163.0,81.0,anthocyanin absent,500.0,2.01,expedition data
