Clone name,Stamen colour,Sepal colour,Sepal length,Ovary colour
EET 103 [ECU],moderate anthocyanin,slight anthocyanin,8.40,anthocyanin absent (ap)
EET 19 [ECU],slight anthocyanin,moderate anthocyanin,8.60,slight anthocyanin (ap)
EET 96 [ECU],slight anthocyanin,slight anthocyanin,8.70,slight anthocyanin (ap)
IMC 10,slight anthocyanin,slight anthocyanin,7.50,anthocyanin absent (ap)
IMC 11,slight anthocyanin,slight anthocyanin,9.50,anthocyanin absent (ap)
IMC 14,slight anthocyanin,anthocyanin absent,10.50,anthocyanin absent (ap)
IMC 20,slight anthocyanin,slight anthocyanin,8.00,anthocyanin absent (ap)
IMC 23,slight anthocyanin,anthocyanin absent,8.00,anthocyanin absent (ap)
IMC 27,moderate anthocyanin,anthocyanin absent,8.50,anthocyanin absent (ap)
IMC 31,slight anthocyanin,slight anthocyanin,7.50,anthocyanin absent (ap)
IMC 42,slight anthocyanin,slight anthocyanin,8.50,slight anthocyanin (ap)
IMC 44,moderate anthocyanin,slight anthocyanin,8.50,anthocyanin absent (ap)
IMC 5,slight anthocyanin,slight anthocyanin,7.50,anthocyanin absent (ap)
IMC 53,moderate anthocyanin,slight anthocyanin,8.00,anthocyanin absent (ap)
IMC 6,slight anthocyanin,slight anthocyanin,8.50,anthocyanin absent (ap)
IMC 60,moderate anthocyanin,moderate anthocyanin,8.00,anthocyanin absent (ap)
IMC 67,moderate anthocyanin,slight anthocyanin,9.00,slight anthocyanin (ap)
IMC 76,slight anthocyanin,slight anthocyanin,8.50,slight anthocyanin (ap)
LCT EEN 10,anthocyanin absent,anthocyanin absent,13.00,anthocyanin absent (ap)
LCT EEN 101,anthocyanin absent,anthocyanin absent,9.00,anthocyanin absent (ap)
LCT EEN 103,anthocyanin absent,anthocyanin absent,11.00,anthocyanin absent (ap)
LCT EEN 109,anthocyanin absent,anthocyanin absent,11.00,anthocyanin absent (ap)
LCT EEN 113,anthocyanin absent,anthocyanin absent,8.00,anthocyanin absent (ap)
LCT EEN 127,moderate anthocyanin,anthocyanin absent,12.30,anthocyanin absent (ap)
LCT EEN 128,anthocyanin absent,anthocyanin absent,10.00,anthocyanin absent (ap)
LCT EEN 132,anthocyanin absent,anthocyanin absent,11.80,anthocyanin absent (ap)
LCT EEN 136,anthocyanin absent,anthocyanin absent,9.00,anthocyanin absent (ap)
LCT EEN 145,anthocyanin absent,anthocyanin absent,7.50,anthocyanin absent (ap)
LCT EEN 146,anthocyanin absent,anthocyanin absent,6.50,anthocyanin absent (ap)
LCT EEN 149,anthocyanin absent,anthocyanin absent,-,anthocyanin absent (ap)
LCT EEN 150,-,-,9.50,-
LCT EEN 152,anthocyanin absent,anthocyanin absent,-,anthocyanin absent (ap)
LCT EEN 153,-,-,7.50,-
LCT EEN 157,anthocyanin absent,anthocyanin absent,9.50,anthocyanin absent (ap)
LCT EEN 162,anthocyanin absent,anthocyanin absent,9.00,anthocyanin absent (ap)
LCT EEN 169,anthocyanin absent,anthocyanin absent,7.00,anthocyanin absent (ap)
LCT EEN 172,anthocyanin absent,anthocyanin absent,9.00,anthocyanin absent (ap)
LCT EEN 175,anthocyanin absent,anthocyanin absent,9.00,anthocyanin absent (ap)
LCT EEN 178,anthocyanin absent,anthocyanin absent,9.00,anthocyanin absent (ap)
LCT EEN 182,anthocyanin absent,anthocyanin absent,8.50,anthocyanin absent (ap)
LCT EEN 199,anthocyanin absent,moderate anthocyanin,8.50,slight anthocyanin (ap)
LCT EEN 2,slight anthocyanin,slight anthocyanin,10.00,anthocyanin absent (ap)
LCT EEN 20,anthocyanin absent,slight anthocyanin,10.00,anthocyanin absent (ap)
LCT EEN 201,anthocyanin absent,anthocyanin absent,10.30,anthocyanin absent (ap)
LCT EEN 202,anthocyanin absent,anthocyanin absent,9.00,anthocyanin absent (ap)
LCT EEN 205,moderate anthocyanin,moderate anthocyanin,7.00,anthocyanin absent (ap)
LCT EEN 21,anthocyanin absent,anthocyanin absent,8.50,anthocyanin absent (ap)
LCT EEN 212,anthocyanin absent,intense anthocyanin,9.00,moderate anthocyanin (ap)
LCT EEN 215,anthocyanin absent,moderate anthocyanin,11.00,moderate anthocyanin (ap)
LCT EEN 217,anthocyanin absent,anthocyanin absent,10.00,anthocyanin absent (ap)
LCT EEN 219,anthocyanin absent,anthocyanin absent,8.50,anthocyanin absent (ap)
LCT EEN 220,anthocyanin absent,anthocyanin absent,6.80,anthocyanin absent (ap)
LCT EEN 228,anthocyanin absent,anthocyanin absent,9.50,anthocyanin absent (ap)
LCT EEN 232,anthocyanin absent,anthocyanin absent,10.00,anthocyanin absent (ap)
LCT EEN 251,anthocyanin absent,anthocyanin absent,9.50,anthocyanin absent (ap)
LCT EEN 253,anthocyanin absent,anthocyanin absent,9.30,anthocyanin absent (ap)
LCT EEN 255,anthocyanin absent,anthocyanin absent,7.00,anthocyanin absent (ap)
LCT EEN 26,anthocyanin absent,anthocyanin absent,10.00,anthocyanin absent (ap)
LCT EEN 27,anthocyanin absent,moderate anthocyanin,9.50,intense anthocyanin (ap)
LCT EEN 282,anthocyanin absent,anthocyanin absent,9.00,anthocyanin absent (ap)
LCT EEN 297,-,-,-,-
LCT EEN 300,anthocyanin absent,anthocyanin absent,7.50,anthocyanin absent (ap)
LCT EEN 332,anthocyanin absent,anthocyanin absent,8.00,anthocyanin absent (ap)
LCT EEN 335,anthocyanin absent,anthocyanin absent,8.00,anthocyanin absent (ap)
LCT EEN 336,anthocyanin absent,anthocyanin absent,9.00,anthocyanin absent (ap)
LCT EEN 343,anthocyanin absent,anthocyanin absent,7.50,anthocyanin absent (ap)
LCT EEN 345,anthocyanin absent,anthocyanin absent,8.00,anthocyanin absent (ap)
LCT EEN 351,anthocyanin absent,anthocyanin absent,8.50,anthocyanin absent (ap)
LCT EEN 352,anthocyanin absent,anthocyanin absent,8.60,anthocyanin absent (ap)
LCT EEN 4,moderate anthocyanin,moderate anthocyanin,9.50,slight anthocyanin (ap)
LCT EEN 46,moderate anthocyanin,moderate anthocyanin,9.00,moderate anthocyanin (ap)
LCT EEN 49,anthocyanin absent,anthocyanin absent,9.50,anthocyanin absent (ap)
LCT EEN 5,anthocyanin absent,slight anthocyanin,6.50,moderate anthocyanin (ap)
LCT EEN 52,anthocyanin absent,anthocyanin absent,9.50,anthocyanin absent (ap)
LCT EEN 57,anthocyanin absent,anthocyanin absent,9.50,anthocyanin absent (ap)
LCT EEN 59,-,-,8.50,-
LCT EEN 6,anthocyanin absent,anthocyanin absent,7.50,slight anthocyanin (ap)
LCT EEN 60,anthocyanin absent,anthocyanin absent,9.00,anthocyanin absent (ap)
LCT EEN 61,moderate anthocyanin,anthocyanin absent,10.00,anthocyanin absent (ap)
LCT EEN 62,moderate anthocyanin,slight anthocyanin,-,moderate anthocyanin (ap)
LCT EEN 65,anthocyanin absent,anthocyanin absent,9.00,anthocyanin absent (ap)
LCT EEN 74,moderate anthocyanin,slight anthocyanin,7.50,slight anthocyanin (ap)
LCT EEN 76,moderate anthocyanin,anthocyanin absent,8.00,slight anthocyanin (ap)
LCT EEN 77,anthocyanin absent,anthocyanin absent,8.00,anthocyanin absent (ap)
LCT EEN 78,-,-,8.00,-
LCT EEN 80,slight anthocyanin,slight anthocyanin,8.50,anthocyanin absent (ap)
LCT EEN 83,slight anthocyanin,anthocyanin absent,8.50,anthocyanin absent (ap)
LCT EEN 84,anthocyanin absent,anthocyanin absent,6.50,anthocyanin absent (ap)
LCT EEN 85,slight anthocyanin,anthocyanin absent,7.50,anthocyanin absent (ap)
LCT EEN 86,slight anthocyanin,slight anthocyanin,8.00,moderate anthocyanin (ap)
LCT EEN 87,anthocyanin absent,anthocyanin absent,7.50,anthocyanin absent (ap)
LCT EEN 92,slight anthocyanin,anthocyanin absent,8.00,anthocyanin absent (ap)
LCT EEN 93,anthocyanin absent,anthocyanin absent,7.50,anthocyanin absent (ap)
MO 125,moderate anthocyanin,slight anthocyanin,7.50,anthocyanin absent (ap)
NA 173,moderate anthocyanin,slight anthocyanin,8.00,slight anthocyanin (ap)
NA 48,slight anthocyanin,slight anthocyanin,7.50,anthocyanin absent (ap)
NA 69,slight anthocyanin,slight anthocyanin,7.50,slight anthocyanin (ap)
NAL 1,moderate anthocyanin,slight anthocyanin,8.00,anthocyanin absent (ap)
PA 121 [PER],anthocyanin absent,slight anthocyanin,7.50,slight anthocyanin (ap)
PA 121 [PER],anthocyanin absent,anthocyanin absent,7.50,anthocyanin absent (ap)
PA 13 [PER],anthocyanin absent,anthocyanin absent,8.00,anthocyanin absent (ap)
PA 150 [PER],anthocyanin absent,slight anthocyanin,7.00,anthocyanin absent (ap)
PA 16 [PER],moderate anthocyanin,slight anthocyanin,7.50,anthocyanin absent (ap)
PA 167 [PER],anthocyanin absent,anthocyanin absent,6.50,slight anthocyanin (ap)
PA 169 [PER],anthocyanin absent,anthocyanin absent,8.00,anthocyanin absent (ap)
PA 189 [PER],-,-,8.00,-
PA 285 [PER],anthocyanin absent,anthocyanin absent,9.00,anthocyanin absent (ap)
PA 30 [PER],anthocyanin absent,slight anthocyanin,8.50,slight anthocyanin (ap)
PA 35 [PER],anthocyanin absent,slight anthocyanin,9.00,slight anthocyanin (ap)
PA 39 [PER],anthocyanin absent,anthocyanin absent,8.50,anthocyanin absent (ap)
PA 46 [PER],slight anthocyanin,anthocyanin absent,8.00,slight anthocyanin (ap)
PA 81 [PER],slight anthocyanin,anthocyanin absent,8.50,slight anthocyanin (ap)
POUND 1 /B,moderate anthocyanin,anthocyanin absent,7.00,slight anthocyanin (ap)
POUND 12,anthocyanin absent,slight anthocyanin,8.00,anthocyanin absent (ap)
POUND 12,anthocyanin absent,slight anthocyanin,8.00,anthocyanin absent (ap)
POUND 12 /A,slight anthocyanin,slight anthocyanin,8.00,anthocyanin absent (ap)
POUND 4 /A,anthocyanin absent,slight anthocyanin,7.50,anthocyanin absent (ap)
POUND 5 /B,moderate anthocyanin,anthocyanin absent,8.00,anthocyanin absent (ap)
POUND 7,slight anthocyanin,anthocyanin absent,7.00,anthocyanin absent (ap)
POUND 7,moderate anthocyanin,slight anthocyanin,8.00,slight anthocyanin (ap)
POUND 8 /C,anthocyanin absent,anthocyanin absent,8.00,moderate anthocyanin (ap)
SCA 12,anthocyanin absent,anthocyanin absent,8.50,anthocyanin absent (ap)
SCA 6,anthocyanin absent,anthocyanin absent,9.50,anthocyanin absent (ap)
