Clone name,Colour
EBC 10,intermediate anthocyanin
EBC 114,slight anthocyanin
EBC 135,slight anthocyanin
EBC 138,intermediate anthocyanin
EBC 141,intermediate anthocyanin
EBC 29,intermediate anthocyanin
EBC 30,intermediate anthocyanin
EBC 48,intermediate anthocyanin
EBC 5,intermediate anthocyanin
EBC 58,anthocyanin absent
EBC 76,anthocyanin absent
EBC 77,intermediate anthocyanin
EBC 78,anthocyanin absent
EBC 79,anthocyanin absent
EBC 84,anthocyanin absent
EBC 9,intermediate anthocyanin
EET 103 [ECU],intermediate anthocyanin
EET 19 [ECU],intermediate anthocyanin
EET 96 [ECU],intermediate anthocyanin
IMC 14,intermediate anthocyanin
IMC 23,slight anthocyanin
IMC 27,slight anthocyanin
IMC 31,slight anthocyanin
IMC 44,slight anthocyanin
IMC 5,slight anthocyanin
IMC 60,intermediate anthocyanin
IMC 67,intermediate anthocyanin
IMC 76,slight anthocyanin
LCT EEN 1,anthocyanin absent
LCT EEN 10,anthocyanin absent
LCT EEN 103,anthocyanin absent
LCT EEN 107,slight anthocyanin
LCT EEN 108,slight anthocyanin
LCT EEN 109,anthocyanin absent
LCT EEN 11,anthocyanin absent
LCT EEN 120,anthocyanin absent
LCT EEN 121,anthocyanin absent
LCT EEN 122,slight anthocyanin
LCT EEN 123,slight anthocyanin
LCT EEN 124,anthocyanin absent
LCT EEN 125,slight anthocyanin
LCT EEN 126,anthocyanin absent
LCT EEN 127,slight anthocyanin
LCT EEN 128,anthocyanin absent
LCT EEN 130,anthocyanin absent
LCT EEN 132,intermediate anthocyanin
LCT EEN 133,anthocyanin absent
LCT EEN 134,anthocyanin absent
LCT EEN 137,anthocyanin absent
LCT EEN 14,anthocyanin absent
LCT EEN 141,anthocyanin absent
LCT EEN 142,anthocyanin absent
LCT EEN 144,anthocyanin absent
LCT EEN 145,anthocyanin absent
LCT EEN 146,anthocyanin absent
LCT EEN 148,anthocyanin absent
LCT EEN 149,anthocyanin absent
LCT EEN 15,anthocyanin absent
LCT EEN 150,slight anthocyanin
LCT EEN 151,slight anthocyanin
LCT EEN 153,anthocyanin absent
LCT EEN 154,anthocyanin absent
LCT EEN 155,anthocyanin absent
LCT EEN 156,slight anthocyanin
LCT EEN 157,anthocyanin absent
LCT EEN 158,anthocyanin absent
LCT EEN 159,anthocyanin absent
LCT EEN 160,intermediate anthocyanin
LCT EEN 162,anthocyanin absent
LCT EEN 163,anthocyanin absent
LCT EEN 164,anthocyanin absent
LCT EEN 165,anthocyanin absent
LCT EEN 166,anthocyanin absent
LCT EEN 169,anthocyanin absent
LCT EEN 178,slight anthocyanin
LCT EEN 18,anthocyanin absent
LCT EEN 181,slight anthocyanin
LCT EEN 182,slight anthocyanin
LCT EEN 185,anthocyanin absent
LCT EEN 187,anthocyanin absent
LCT EEN 188,slight anthocyanin
LCT EEN 189,anthocyanin absent
LCT EEN 19,anthocyanin absent
LCT EEN 193,intermediate anthocyanin
LCT EEN 195,intermediate anthocyanin
LCT EEN 196,intermediate anthocyanin
