Clone name,Pod index,Yield ha,Yield tree,Info,Notes
B 60 [ECU],30.3,-,52.00,-,-
CCN 51,14.5,-,12.00,-,-
CCN 51,-,1332,-,"Zone of Chongon, Ecuador",Value for single year (2006)
CCN 51,-,1299,-,"Zone of Calceta, Ecuador",Value for single year (2006)
EB 19 28,-,477,-,"Zone of Chongon, Ecuador",Value for single year (2006)
EB 19 28,-,260,-,"Zone of Calceta, Ecuador",Value for single year (2006)
EB 27 02,-,562,-,"Zone of Chongon, Ecuador",Value for single year (2006)
EB 27 02,-,291,-,"Zone of Calceta, Ecuador",Value for single year (2006)
EET 103 [ECU],14.6,-,11.00,-,-
EET 103 [ECU],-,917,-,"Zone of Chongon, Ecuador",Value for single year (2006)
EET 103 [ECU],-,989,-,"Zone of Calceta, Ecuador",Value for single year (2006)
EET 454 [ECU],-,782,-,"Zone of Chongon, Ecuador",Value for single year (2006)
EET 454 [ECU],-,781,-,"Zone of Calceta, Ecuador",Value for single year (2006)
EET 510 [ECU],-,489,-,"Zone of Chongon, Ecuador",Value for single year (2006)
EET 510 [ECU],-,285,-,"Zone of Calceta, Ecuador",Value for single year (2006)
EB 2003,-,697,-,"Zone of Chongon, Ecuador",Value for single year (2006)
EB 2003,-,499,-,"Zone of Calceta, Ecuador",Value for single year (2006)
L11-H19 [ECU],-,1601,-,"Zone of Chongon, Ecuador",Value for single year (2006)
L11-H19 [ECU],-,912,-,"Zone of Calceta, Ecuador",Value for single year (2006)
L25-H64 [ECU],-,1540,-,"Zone of Chongon, Ecuador",Value for single year (2006)
L25-H64 [ECU],-,1090,-,"Zone of Calceta, Ecuador",Value for single year (2006)
L26-H64 [ECU],-,1039,-,"Zone of Chongon, Ecuador",Value for single year (2006)
L26-H64 [ECU],-,907,-,"Zone of Calceta, Ecuador",Value for single year (2006)
L46-H75 [ECU],-,1075,-,"Zone of Chongon, Ecuador",Value for single year (2006)
L46-H75 [ECU],-,1528,-,"Zone of Calceta, Ecuador",Value for single year (2006)
L46-H88 [ECU],-,1100,-,"Zone of Chongon, Ecuador",Value for single year (2006)
L46-H88 [ECU],-,1192,-,"Zone of Calceta, Ecuador",Value for single year (2006)
INIAP T 302,24.7,-,27.00,-,-
INIAP T 405,17.6,-,26.00,-,-
INIAP T 484,15.0,-,32.00,-,-
INIAP T 533,25.0,-,31.00,-,-
INIAP T 561,24.4,-,33.00,-,-
INIAP T 564,21.2,-,18.00,-,-
INIAP T 573,25.9,-,38.00,-,-
INIAP T 632,24.7,-,25.00,-,-
INIAP T 641,19.3,-,44.00,-,-
INIAP T 656,15.1,-,25.00,-,-
