Clone name,Seed index,Pod index
AGU 3338 [CHA],125.0,41.0
ALMEIDA,144.9,38.7
AMAZ 15 /15,92.5,22.1
AMAZ 2 /1,81.3,22.7
BE 3,125.0,34.2
CC 10,78.7,21.3
CC 11,76.9,21.2
CC 38,107.5,26.2
DR 1,90.0,-
EEG 48,113.6,30.1
EEG 65,91.7,27.0
EET 272 [ECU],105.2,28.4
EET 376 [ECU],98.0,23.1
GS 1124,102.0,25.8
ICS 1,86.2,23.9
ICS 16,67.1,17.6
ICS 39,82.6,22.9
ICS 40,96.1,26.5
ICS 48,75.7,18.7
ICS 6,94.3,23.2
ICS 60,60.9,16.3
ICS 84,85.4,22.0
ICS 9,90.9,25.9
ICS 95,111.1,33.3
ICS 98,90.0,26.6
IMC 105,135.1,31.5
IMC 14,92.5,21.4
IMC 23,101.0,21.7
IMC 47,97.0,24.6
IMC 53,129.8,30.4
IMC 58,116.2,26.8
IMC 76,111.1,29.2
IMC 85,99.0,24.7
K 13 [KER],75.1,20.8
K 20 [KER],101.0,33.0
K 21 [KER],101.0,27.0
K 24 /106 [KER],97.0,28.5
K 6 /101 [KER],80.6,25.2
K 82 [KER],99.0,26.1
KA 2 /106,81.9,23.9
MATINA 1 /9,72.4,23.7
MO 81,102.0,26.2
MOQ 4 /17,128.2,38.7
NA 1,107.5,30.7
NA 13,120.4,35.3
NA 15,116.2,29.4
NA 153,126.5,-
NA 173,128.2,31.7
NA 250,133.3,29.9
NA 26,99.0,25.9
NA 284,85.4,30.3
NA 31,84.0,25.9
NA 33,128.2,34.5
NA 34,106.3,-
NA 833,121.9,30.2
PA 107 [PER],126.5,34.6
PA 110 [PER],107.5,28.7
PA 121 [PER],96.1,31.0
PA 127 [PER],94.3,24.8
PA 13 [PER],116.2,27.9
PA 137 [PER],112.3,30.9
PA 138 [PER],83.3,23.1
PA 14 [PER],140.8,-
PA 148 [PER],105.2,29.3
PA 149 [PER],94.3,27.7
PA 150 [PER],114.9,29.5
PA 156 [PER],147.0,42.7
PA 168 [PER],106.3,28.1
PA 171 [PER],116.2,29.0
PA 173 [PER],109.8,31.8
PA 179 [PER],106.3,31.4
PA 181 [PER],81.9,21.9
PA 191 [PER],106.3,29.8
PA 195 [PER],105.2,30.9
PA 29 [PER],114.9,30.7
PA 291 [PER],95.2,28.5
PA 300 [PER],96.1,26.1
PA 35 [PER],83.3,21.9
PA 4 [PER],99.0,25.8
PA 56 [PER],119.0,33.9
PA 7 [PER],111.1,32.5
PA 73 [PER],85.4,24.3
PA 76 [PER],111.1,26.6
PA 88 [PER],103.0,28.0
PA 9 [PER],126.5,36.6
PA 90 [PER],136.9,33.7
PUCALA,108.6,23.0
RED CRIOLLO,103.0,30.9
SCA 12,158.7,40.5
SCA 19,149.2,41.7
SCA 6,181.8,52.3
SCA 9,103.0,34.1
SCR 5,106.3,26.0
SIAL 339,108.6,29.4
SIAL 83,119.0,32.4
SIAL 93,80.6,22.4
SIC 5,90.0,-
SPA 10 [COL],68.4,19.5
TAP 1 /2 [CHA],102.0,26.5
UA 12,101.0,24.1
UA 13,90.9,22.2
UA 18,112.3,33.8
UA 19,100.0,31.2
UA 20,104.1,27.4
UA 22,107.5,29.6
UA 28,106.3,26.9
UA 31,126.5,33.5
UA 32,125.0,32.4
UA 9,106.3,25.5
UF 11,84.7,23.6
UF 168,76.9,18.8
UF 221,82.6,23.2
UF 676,79.3,21.6
UIT 1,82.6,21.6
UIT 2,62.8,17.3
UIT 3,71.9,18.4
UIT 4,81.9,21.3
UIT 5,81.9,22.2
WA 13 [MYS],105.2,29.8
WA 20 [MYS],113.6,30.0
