Clone name,Female parent,Male parent,Parent,Station,Country,Region,Year,Status,Info
KKM 22,-,-,-,-,Malaysia,-,2012,Current,-
PBC 123,-,-,-,-,Malaysia,-,-,Current,-
QH 1003,-,-,-,-,Malaysia,-,-,Current,-
BR 25,-,-,-,-,Malaysia,-,-,Current,-
KKM 25,-,-,-,-,Malaysia,-,-,Current,-
PBC 139,-,-,-,-,Malaysia,-,-,Current,-
QH 22,-,-,-,-,Malaysia,-,-,Current,-
PBC 159,-,-,-,-,Malaysia,-,-,Current,-
PBC 130,-,-,-,-,Malaysia,-,-,Current,-
PBC 131,-,-,-,-,Malaysia,-,-,Current,-
PBC 140,-,-,-,-,Malaysia,-,-,Current,-
-,-,-,NA32,-,Vietnam,-,-,-,-
-,-,-,UIT1,-,Vietnam,-,-,-,-
-,-,-,NA33,-,Vietnam,-,-,-,-
-,-,-,SCA12,-,Vietnam,-,-,-,-
-,-,-,UIT2,-,Vietnam,-,-,-,-
-,KEE5,-,-,"Papua New Guinea, Cocoa and Coconut Institute (CCI)",Papua New Guinea,Rabaul/Madang,1985,current,Hand pollinated.
-,KEE12,-,-,"Papua New Guinea, Cocoa and Coconut Institute (CCI)",Papua New Guinea,Rabaul/Madang,1985,current,Hand pollinated.
-,KEE23,-,-,"Papua New Guinea, Cocoa and Coconut Institute (CCI)",Papua New Guinea,Rabaul/Madang,1985,current,Hand pollinated.
-,KEE42,-,-,"Papua New Guinea, Cocoa and Coconut Institute (CCI)",Papua New Guinea,Rabaul/Madang,1985,current,Hand pollinated.
-,KEE43,-,-,"Papua New Guinea, Cocoa and Coconut Institute (CCI)",Papua New Guinea,Rabaul/Madang,1985,current,Hand pollinated.
-,KEE47,-,-,"Papua New Guinea, Cocoa and Coconut Institute (CCI)",Papua New Guinea,Rabaul/Madang,1985,current,Hand pollinated.
-,-,K82,-,"Papua New Guinea, Cocoa and Coconut Institute (CCI)",Papua New Guinea,Rabaul/Madang,1985,current,Hand pollinated.
-,-,KE2-106,-,"Papua New Guinea, Cocoa and Coconut Institute (CCI)",Papua New Guinea,Rabaul/Madang,1985,current,Hand pollinated.
