Clone name,Accession,Shape,Basal constriction,Apex form,Rugosity,Husk thickness,Length,Breadth,Colour,Weight,Hardness,Length breadth ratio,Info
ARF 22,-,angoleta,absent,acute,moderate,19,219.0,94.0,green,734.0,soft,2.32,-
ARF 22 x ARF 37,tree number 11,amelonado,absent,obtuse,moderate,19,166.0,95.0,green,622.0,soft,1.74,tree number 11
ARF 22 x ARF 6,tree number 12,angoleta,absent,acute,intense,20,249.0,96.0,red,943.0,soft,2.59,tree number 12
ARF 22 x UF 273,tree number 13,amelonado,absent,acute,moderate,17,160.0,92.0,red,572.0,soft,1.73,tree number 13
ARF 22 x UF 273,tree number 26,-,-,-,-,19,182.0,88.0,red,546.0,-,2.06,tree number 26
ARF 37,-,amelonado,absent,rounded,smooth,15,138.0,84.0,green,397.0,moderate,1.64,-
ARF 6,-,angoleta,absent,acute,moderate,18,213.0,89.0,green,678.0,moderate,2.39,-
CATIE-R1,-,calabacillo,moderate,rounded,intense,18,174.0,93.0,red,557.0,soft,1.87,-
CATIE-R2,-,amelonado,absent,mammillate,moderate,16,177.0,94.0,red,501.0,soft,1.88,-
CATIE-R3,-,amelonado,absent,rounded,moderate,20,178.0,103.0,green,757.0,soft,1.72,-
CATIE-R4,-,calabacillo,moderate,mammillate,moderate,15,187.0,96.0,green,574.0,soft,1.94,-
CATIE-R5,-,calabacillo,moderate,mammillate,moderate,17,189.0,104.0,red,752.0,soft,1.81,-
CATIE-R6,-,amelonado,moderate,sharp,moderate,16,178.0,95.0,green,566.0,soft,1.87,-
CATIE-R7,-,amelonado,absent,rounded,smooth,19,164.0,100.0,red,710.0,moderate,1.64,-
CATIE 1000 x CC 137,tree number 23,amelonado,absent,rounded,moderate,14,164.0,89.0,green,508.0,soft,1.84,tree number 23
CC 137,-,amelonado,absent,rounded,moderate,14,148.0,90.0,red,451.0,moderate,1.64,-
CC 137 x UF 273,tree number 20,calabacillo,absent,acute,moderate,16,167.0,95.0,green,556.0,moderate,1.75,tree number 20
CC 137 x UF 273,tree number 30,calabacillo,absent,acute,moderate,12,145.0,87.0,red,434.0,moderate,1.66,tree number 30
CC 137 x ICS 6,tree number 30,amelonado,absent,obtuse,moderate,14,175.0,90.0,green,526.0,soft,1.94,tree number 30
CC 137 x SCA 6,tree number 32,angoleta,slight,acute,smooth,13,214.0,86.0,green,571.0,soft,2.48,tree number 32
CC 137 x SCA 6,tree number 4,angoleta,absent,acute,moderate,14,180.0,79.0,green,387.0,soft,2.27,tree number 4
CC 252,-,amelonado,absent,rounded,moderate,22,199.0,97.0,green,744.0,moderate,2.05,-
CC 252 x SCA 6,tree number 27,-,-,-,-,18,221.0,86.0,green,689.0,-,2.56,tree number 27
CC 252 x SCA 6,tree number 28,amelonado,absent,rounded,smooth,15,163.0,81.0,red,429.0,soft,2.01,tree number 28
CC 252 x UF 273,tree number 7,amelonado,absent,mammillate,moderate,16,133.0,80.0,red,365.0,soft,1.66,tree number 7
CC 252 x UF 273,tree number 31,amelonado,absent,acute,smooth,16,163.0,79.0,red,404.0,soft,2.06,tree number 31
CCN 51,-,amelonado,slight,rounded,moderate,16,204.0,94.0,red,679.0,soft,2.17,-
CCN 51 x PA 169 [PER],tree number 9,-,-,-,-,13,161.0,86.0,green,326.0,-,1.87,tree number 9
EET 183 [ECU],-,amelonado,absent,rounded,moderate,16,153.0,81.0,green,412.0,soft,1.88,-
EET 75 [ECU] x CC 252,tree number 31,amelonado,absent,obtuse,intense,18,176.0,92.0,red,534.0,soft,1.91,tree number 31
EET 75 [ECU] x CC 137,tree number 2,amelonado,absent,acute,moderate,15,147.0,91.0,red,485.0,soft,1.61,tree number 2
EET 75 [ECU] x CC 137,tree number 25,amelonado,absent,acute,moderate,12,155.0,80.0,green,398.0,soft,1.93,tree number 25
EET 75 [ECU] x CC 137,tree number 30,-,-,-,-,18,156.0,99.0,red,546.0,-,1.57,tree number 30
EET 75 [ECU] x CATIE 1000,tree number 18,-,-,-,-,15,172.0,92.0,red,480.0,-,1.86,tree number 18
EET 75 [ECU] x CATIE 1000,tree number 20,amelonado,absent,rounded,moderate,21,150.0,98.0,red,632.0,soft,1.53,tree number 20
EET 75 [ECU] x CATIE 1000,tree number 24,amelonado,absent,rounded,moderate,15,124.0,82.0,red,466.0,soft,1.51,tree number 24
EET 75 [ECU] x CATIE 1000,tree number 28,amelonado,absent,rounded,moderate,18,136.0,79.0,red,454.0,soft,1.72,tree number 28
EET 75 [ECU] x CATIE 1000,tree number 30,amelonado,absent,rounded,moderate,19,152.0,94.0,red,415.0,soft,1.61,tree number 30
GU 133 /N,-,amelonado,slight,rounded,intense,16,156.0,92.0,green,422.0,hard,1.69,-
ICS 43,-,amelonado,absent,sharp,moderate,15,181.0,83.0,red,474.0,hard,2.18,-
ICS 95,-,amelonado,absent,sharp,moderate,17,200.0,86.0,red,588.0,hard,2.32,-
ICS 95 x UF 273,tree number 21,angoleta,slight,acute,moderate,19,179.0,102.0,red,676.0,hard,1.75,tree number 21
ICS 95 x UF 273,tree number 27,angoleta,slight,acute,moderate,17,222.0,87.0,green,647.0,hard,2.55,tree number 27
ICS 95 x UF 712,tree number 29,amelonado,slight,rounded,smooth,18,201.0,97.0,red,729.0,moderate,2.07,tree number 29
ICS 95 x POUND 7,tree number 29,amelonado,absent,obtuse,moderate,16,214.0,91.0,green,656.0,soft,2.35,tree number 29
IMC 60,-,amelonado,absent,rounded,moderate,16,150.0,91.0,green,540.0,soft,1.64,-
PA 169 [PER],-,amelonado,absent,rounded,moderate,13,174.0,86.0,green,458.0,moderate,2.02,-
PA 169 [PER] x ARF 6,tree number 11,angoleta,absent,acute,moderate,13,220.0,95.0,green,703.0,moderate,2.31,tree number 11
