Clone name,Pod index,Yield ha,Info,Notes
ARF 22,18.0,956,-,potential yield value displayed (includes diseased pods). Actual yield estimated as 392 kg per ha
ARF 22 x ARF 37,25.0,1014,tree number 11,potential yield value displayed (includes diseased pods). Actual yield estimated as 743 kg per ha
ARF 22 x ARF 6,17.0,1860,tree number 12,potential yield value displayed (includes diseased pods). Actual yield estimated as 1260 kg per ha
ARF 22 x UF 273,26.0,949,tree number 13,potential yield value displayed (includes diseased pods). Actual yield estimated as 787 kg per ha
ARF 22 x UF 273,34.0,766,tree number 26,potential yield value displayed (includes diseased pods). Actual yield estimated as 619 kg per ha
ARF 37,38.0,465,-,potential yield value displayed (includes diseased pods). Actual yield estimated as 215 kg per ha
ARF 6,26.0,352,-,potential yield value displayed (includes diseased pods). Actual yield estimated as 236 kg per ha
CATIE-R1,29.0,561,-,potential yield value displayed (includes diseased pods). Actual yield estimated as 441 kg per ha
CATIE-R2,24.0,607,-,potential yield value displayed (includes diseased pods). Actual yield estimated as 475 kg per ha
CATIE-R3,22.0,318,-,potential yield value displayed (includes diseased pods). Actual yield estimated as 251 kg per ha
CATIE-R4,18.0,686,-,potential yield value displayed (includes diseased pods). Actual yield estimated as 625 kg per ha
CATIE-R5,16.0,462,-,potential yield value displayed (includes diseased pods). Actual yield estimated as 441 kg per ha
CATIE-R6,24.0,687,-,potential yield value displayed (includes diseased pods). Actual yield estimated as 660 kg per ha
CATIE-R7,18.0,505,-,potential yield value displayed (includes diseased pods). Actual yield estimated as 404 kg per ha
CATIE 1000 x CC 137,21.0,1877,tree number 23,potential yield value displayed (includes diseased pods). Actual yield estimated as 1152 kg per ha
CC 137,24.0,725,-,potential yield value displayed (includes diseased pods). Actual yield estimated as 527 kg per ha
CC 137 x UF 273,26.0,1464,tree number 20,potential yield value displayed (includes diseased pods). Actual yield estimated as 931 kg per ha
CC 137 x UF 273,23.0,954,tree number 30,potential yield value displayed (includes diseased pods). Actual yield estimated as 855 kg per ha
CC 137 x ICS 6,26.0,1055,tree number 30,potential yield value displayed (includes diseased pods). Actual yield estimated as 732 kg per ha
CC 137 x SCA 6,20.0,1750,tree number 32,potential yield value displayed (includes diseased pods). Actual yield estimated as 1252 kg per ha
CC 137 x SCA 6,41.0,-,tree number 4,-
CC 252,23.0,153,-,potential yield value displayed (includes diseased pods). Actual yield estimated as 98 kg per ha
CC 252 x SCA 6,32.0,943,tree number 27,potential yield value displayed (includes diseased pods). Actual yield estimated as 725 kg per ha
CC 252 x SCA 6,36.0,1157,tree number 28,potential yield value displayed (includes diseased pods). Actual yield estimated as 869 kg per ha
CC 252 x UF 273,50.0,794,tree number 7,potential yield value displayed (includes diseased pods). Actual yield estimated as 592 kg per ha
CC 252 x UF 273,42.0,1020,tree number 31,potential yield value displayed (includes diseased pods). Actual yield estimated as 798 kg per ha
CCN 51,18.0,756,-,potential yield value displayed (includes diseased pods). Actual yield estimated as 409 kg per ha
