Clone name,Pathogen,Reaction,Part
HUALLAGA 1,Frosty Pod,Present,Pod (Field Reaction)
HUALLAGA 1,Witches' Broom,Absent,Pod (Field Reaction)
HUALLAGA 1,Witches' Broom,Present,Shoot (Field Reaction)
HUALLAGA 1,Witches' Broom,Absent,Flower Cushions (Field Reaction)
HUALLAGA 1,Ceratosystis,Absent,Trunk and Branches (Field Reaction)
HUALLAGA 1,Phytophthora,Absent,Pod (Field Reaction)
HUALLAGA 10,Frosty Pod,Present,Pod (Field Reaction)
HUALLAGA 10,Witches' Broom,Absent,Pod (Field Reaction)
HUALLAGA 10,Witches' Broom,Absent,Shoot (Field Reaction)
HUALLAGA 10,Witches' Broom,Absent,Flower Cushions (Field Reaction)
HUALLAGA 10,Phytophthora,Absent,Pod (Field Reaction)
HUALLAGA 10,Ceratosystis,Absent,Trunk and Branches (Field Reaction)
HUALLAGA 11,Frosty Pod,Present,Pod (Field Reaction)
HUALLAGA 11,Witches' Broom,Present,Pod (Field Reaction)
HUALLAGA 11,Witches' Broom,Present,Shoot (Field Reaction)
HUALLAGA 11,Witches' Broom,Absent,Flower Cushions (Field Reaction)
HUALLAGA 11,Phytophthora,Absent,Pod (Field Reaction)
HUALLAGA 11,Ceratosystis,Absent,Trunk and Branches (Field Reaction)
HUALLAGA 12,Frosty Pod,Present,Pod (Field Reaction)
HUALLAGA 12,Witches' Broom,Absent,Pod (Field Reaction)
HUALLAGA 12,Witches' Broom,Absent,Shoot (Field Reaction)
HUALLAGA 12,Witches' Broom,Absent,Flower Cushions (Field Reaction)
HUALLAGA 12,Phytophthora,Absent,Pod (Field Reaction)
HUALLAGA 12,Ceratosystis,Absent,Trunk and Branches (Field Reaction)
HUALLAGA 14,Frosty Pod,Present,Pod (Field Reaction)
HUALLAGA 14,Witches' Broom,Absent,Pod (Field Reaction)
HUALLAGA 14,Witches' Broom,Present,Shoot (Field Reaction)
HUALLAGA 14,Witches' Broom,Absent,Flower Cushions (Field Reaction)
HUALLAGA 14,Phytophthora,Absent,Pod (Field Reaction)
HUALLAGA 14,Ceratosystis,Absent,Trunk and Branches (Field Reaction)
HUALLAGA 15,Frosty Pod,Present,Pod (Field Reaction)
HUALLAGA 15,Witches' Broom,Absent,Pod (Field Reaction)
HUALLAGA 15,Witches' Broom,Absent,Shoot (Field Reaction)
HUALLAGA 15,Witches' Broom,Absent,Flower Cushions (Field Reaction)
HUALLAGA 15,Phytophthora,Present,Pod (Field Reaction)
HUALLAGA 15,Ceratosystis,Absent,Trunk and Branches (Field Reaction)
HUALLAGA 16,Frosty Pod,Present,Pod (Field Reaction)
HUALLAGA 16,Witches' Broom,Absent,Pod (Field Reaction)
HUALLAGA 16,Witches' Broom,Present,Shoot (Field Reaction)
HUALLAGA 16,Witches' Broom,Absent,Flower Cushions (Field Reaction)
HUALLAGA 16,Phytophthora,Present,Pod (Field Reaction)
HUALLAGA 16,Ceratosystis,Absent,Trunk and Branches (Field Reaction)
HUALLAGA 2,Frosty Pod,Present,Pod (Field Reaction)
HUALLAGA 2,Witches' Broom,Absent,Pod (Field Reaction)
HUALLAGA 2,Witches' Broom,Absent,Shoot (Field Reaction)
HUALLAGA 2,Witches' Broom,Absent,Flower Cushions (Field Reaction)
HUALLAGA 2,Ceratosystis,Absent,Trunk and Branches (Field Reaction)
HUALLAGA 2,Phytophthora,Absent,Pod (Field Reaction)
HUALLAGA 24,Frosty Pod,Present,Pod (Field Reaction)
HUALLAGA 24,Witches' Broom,Present,Pod (Field Reaction)
HUALLAGA 24,Witches' Broom,Absent,Shoot (Field Reaction)
HUALLAGA 24,Witches' Broom,Absent,Flower Cushions (Field Reaction)
HUALLAGA 24,Phytophthora,Present,Pod (Field Reaction)
