Clone name,Pod index
HUALLAGA 1,32.0
HUALLAGA 10,29.0
HUALLAGA 11,22.0
HUALLAGA 12,28.0
HUALLAGA 14,33.0
HUALLAGA 15,37.0
HUALLAGA 16,25.0
HUALLAGA 2,33.0
HUALLAGA 24,25.0
HUALLAGA 25,23.0
HUALLAGA 26,29.0
HUALLAGA 3,31.0
HUALLAGA 31,23.0
HUALLAGA 32,29.0
HUALLAGA 34,18.0
HUALLAGA 35,19.0
HUALLAGA 36,20.0
HUALLAGA 37,23.0
HUALLAGA 38,23.0
HUALLAGA 4,29.0
HUALLAGA 40,17.0
HUALLAGA 42,22.0
HUALLAGA 44,45.0
HUALLAGA 45,23.0
HUALLAGA 46,25.0
HUALLAGA 47,27.0
HUALLAGA 5,33.0
HUALLAGA 6,30.0
HUALLAGA 8,32.0
HUALLAGA 9,29.0
U 1 [PER],36.0
U 11 [PER],34.0
U 12 [PER],15.0
U 15 [PER],32.0
U 19 [PER],27.0
U 2 [PER],32.0
U 20 [PER],39.0
U 21 [PER],27.0
U 22 [PER],38.0
U 24 [PER],40.0
U 26 [PER],17.0
U 28 [PER],26.0
U 3 [PER],38.0
U 30 [PER],32.0
U 31 [PER],39.0
U 32 [PER],41.0
U 35 [PER],43.0
U 36 [PER],32.0
U 37 [PER],25.0
U 38 [PER],22.0
U 39 [PER],36.0
U 4 [PER],37.0
U 41 [PER],28.0
U 43 [PER],24.0
U 47 [PER],43.0
U 48 [PER],28.0
U 49 [PER],32.0
U 5 [PER],40.0
U 51 [PER],39.0
U 52 [PER],42.0
U 53 [PER],27.0
U 54 [PER],33.0
U 55 [PER],28.0
U 56 [PER],31.0
U 57 [PER],22.0
U 59 [PER],21.0
U 6 [PER],30.0
U 60 [PER],23.0
U 65 [PER],27.0
U 66 [PER],36.0
U 68 [PER],27.0
U 7 [PER],36.0
U 70 [PER],34.0
U 9 [PER],28.0
