Clone name,Number,Dry weight
U 1 [PER],39.0,0.7
U 10 [PER],36.0,1.2
U 11 [PER],22.0,1.3
U 12 [PER],45.0,1.6
U 15 [PER],33.0,0.8
U 19 [PER],39.0,0.9
U 2 [PER],36.0,0.8
U 20 [PER],24.0,0.7
U 21 [PER],44.0,0.8
U 22 [PER],39.0,0.7
U 24 [PER],31.0,0.7
U 26 [PER],40.0,1.4
U 28 [PER],30.0,0.9
U 3 [PER],31.0,0.8
U 30 [PER],38.0,0.8
U 31 [PER],36.0,0.8
U 32 [PER],41.0,0.6
U 35 [PER],38.0,0.7
U 36 [PER],51.0,0.6
U 37 [PER],32.0,1.1
U 38 [PER],41.0,1.0
U 39 [PER],34.0,1.1
U 4 [PER],41.0,0.7
U 41 [PER],41.0,0.8
U 43 [PER],28.0,1.2
U 45 [PER],26.0,1.1
U 47 [PER],22.0,1.3
U 48 [PER],36.0,1.5
U 49 [PER],37.0,0.9
U 5 [PER],37.0,0.6
U 51 [PER],36.0,0.6
U 52 [PER],30.0,0.6
U 53 [PER],34.0,1.1
U 54 [PER],35.0,0.9
U 55 [PER],39.0,0.8
U 56 [PER],31.0,1.1
U 57 [PER],33.0,0.9
U 58 [PER],36.0,1.2
U 59 [PER],36.0,1.2
U 6 [PER],36.0,0.9
U 60 [PER],35.0,1.3
U 65 [PER],42.0,0.9
U 66 [PER],30.0,1.0
U 68 [PER],40.0,0.9
U 69 [PER],37.0,0.9
U 7 [PER],38.0,0.7
U 70 [PER],31.0,0.9
U 9 [PER],34.0,1.1
