Clone name,Fat
U 1 [PER],53.0
U 10 [PER],58.0
U 11 [PER],58.0
U 12 [PER],55.0
U 15 [PER],59.0
U 19 [PER],52.0
U 2 [PER],56.0
U 20 [PER],51.0
U 21 [PER],55.0
U 22 [PER],54.0
U 24 [PER],54.0
U 26 [PER],59.0
U 28 [PER],54.0
U 3 [PER],60.0
U 30 [PER],57.0
U 31 [PER],52.0
U 32 [PER],54.0
U 35 [PER],56.0
U 36 [PER],57.0
U 37 [PER],59.0
U 38 [PER],47.0
U 39 [PER],50.0
U 4 [PER],59.0
U 41 [PER],52.0
U 43 [PER],49.0
U 45 [PER],50.0
U 47 [PER],50.0
U 48 [PER],50.0
U 49 [PER],52.0
U 5 [PER],59.0
U 51 [PER],50.0
U 52 [PER],54.0
U 53 [PER],50.0
U 54 [PER],49.0
U 55 [PER],51.0
U 56 [PER],48.0
U 57 [PER],52.0
U 58 [PER],56.0
U 59 [PER],56.0
U 6 [PER],56.0
U 60 [PER],58.0
U 65 [PER],56.0
U 66 [PER],54.0
U 68 [PER],50.0
U 69 [PER],50.0
U 7 [PER],59.0
U 70 [PER],52.0
U 9 [PER],58.0
