Clone name,Ovule number,Self compatibility
U 1 [PER],45,self incompatible
U 10 [PER],46,self compatible
U 11 [PER],46,self incompatible
U 12 [PER],46,self compatible
U 15 [PER],51,self incompatible
U 19 [PER],38,self incompatible
U 2 [PER],42,self incompatible
U 20 [PER],49,self compatible
U 21 [PER],45,self incompatible
U 22 [PER],47,self incompatible
U 24 [PER],45,self incompatible
U 26 [PER],45,self incompatible
U 28 [PER],48,self incompatible
U 3 [PER],40,self incompatible
U 30 [PER],40,self compatible
U 31 [PER],41,self incompatible
U 32 [PER],41,self incompatible
U 35 [PER],53,self incompatible
U 36 [PER],43,self compatible
U 37 [PER],59,self incompatible
U 38 [PER],34,self incompatible
U 39 [PER],43,self compatible
U 4 [PER],45,self incompatible
U 41 [PER],44,self compatible
U 43 [PER],47,self incompatible
U 45 [PER],37,self incompatible
U 47 [PER],34,self compatible
U 48 [PER],30,self incompatible
U 49 [PER],38,self compatible
U 5 [PER],39,self incompatible
U 51 [PER],39,self incompatible
U 52 [PER],43,self incompatible
U 53 [PER],37,self incompatible
U 54 [PER],40,self incompatible
U 55 [PER],41,self incompatible
U 56 [PER],34,self compatible
U 57 [PER],38,self incompatible
U 58 [PER],52,self compatible
U 59 [PER],43,self incompatible
U 6 [PER],39,self incompatible
U 60 [PER],42,self compatible
U 65 [PER],48,self compatible
U 66 [PER],42,self compatible
U 68 [PER],43,self compatible
U 69 [PER],48,self compatible
U 7 [PER],39,self compatible
U 70 [PER],33,self compatible
U 9 [PER],37,self compatible
