Clone name,Seed index,Pod index
U 1 [PER],142.8,37.0
U 10 [PER],83.3,23.0
U 11 [PER],76.9,35.0
U 12 [PER],62.5,14.0
U 15 [PER],125.0,38.0
U 19 [PER],111.1,28.0
U 2 [PER],125.0,35.0
U 20 [PER],142.8,59.0
U 21 [PER],125.0,28.0
U 22 [PER],142.8,37.0
U 24 [PER],142.8,46.0
U 26 [PER],71.4,18.0
U 28 [PER],111.1,37.0
U 3 [PER],125.0,40.0
U 30 [PER],125.0,33.0
U 31 [PER],125.0,35.0
U 32 [PER],166.6,41.0
U 35 [PER],142.8,38.0
U 36 [PER],166.6,33.0
U 37 [PER],90.9,28.0
U 38 [PER],100.0,24.0
U 39 [PER],90.9,27.0
U 4 [PER],142.8,35.0
U 41 [PER],125.0,30.0
U 43 [PER],83.3,30.0
U 45 [PER],90.9,35.0
U 47 [PER],76.9,35.0
U 48 [PER],66.6,19.0
U 49 [PER],111.1,30.0
U 5 [PER],166.6,45.0
U 51 [PER],166.6,46.0
U 52 [PER],166.6,56.0
U 53 [PER],90.9,27.0
U 54 [PER],111.1,32.0
U 55 [PER],125.0,32.0
U 56 [PER],90.9,29.0
U 57 [PER],111.1,34.0
U 58 [PER],83.3,23.0
U 59 [PER],83.3,23.0
U 6 [PER],111.1,31.0
U 60 [PER],76.9,22.0
U 65 [PER],111.1,26.0
U 66 [PER],100.0,33.0
U 68 [PER],111.1,28.0
U 69 [PER],111.1,30.0
U 7 [PER],142.8,38.0
U 70 [PER],111.1,36.0
U 9 [PER],90.9,27.0
