SampleName,Clone name,Data type,Run,Experiment,BioSample
B_240,B 240 [POU],genomic,SRR21562213 NCBI ENA,SRX17564366,SAMN30841383
B_97-61-B2,B 97 61 /B-2 [BLZ],genomic,SRR21562212 NCBI ENA,SRX17564367,SAMN30841384
B97_EX1_C3,B 97 Ex 1 /C-3 [BLZ],genomic,SRR21562117 NCBI ENA,SRX17564462,SAMN30841385
CACAO_2,CACAO 2,genomic,SRR21562109 NCBI ENA,SRX17564470,SAMN30841386
Catongo,CATONGO,genomic,SRR21562180 NCBI ENA,SRX17564399,SAMN30841387
COL_10,COL 10 [COL],genomic,SRR21562168 NCBI ENA,SRX17564411,SAMN30841388
CSUL_3,C SUL 3,genomic,SRR21562101 NCBI ENA,SRX17564478,SAMN30841389
CSUL_7,C SUL 7,genomic,SRR21562088 NCBI ENA,SRX17564491,SAMN30841390
EBC_10_401,EBC 10 /S-401,genomic,SRR21562049 NCBI ENA,SRX17564530,SAMN30841391
EBC_121_S1,EBC 121 /S-1,genomic,SRR21562039 NCBI ENA,SRX17564540,SAMN30841392
EBC_122,EBC 122,genomic,SRR21562211 NCBI ENA,SRX17564368,SAMN30841393
EBC_125_59,EBC 125 /S-9,genomic,SRR21562200 NCBI ENA,SRX17564379,SAMN30841394
EBC_126,EBC 126,genomic,SRR21562189 NCBI ENA,SRX17564390,SAMN30841395
EBC_133,EBC 133,genomic,SRR21562152 NCBI ENA,SRX17564427,SAMN30841396
EBC_135_1,EBC 135 /S-1,genomic,SRR21562141 NCBI ENA,SRX17564438,SAMN30841397
EBC_135_2,EBC 135 /S-2,genomic,SRR21562076 NCBI ENA,SRX17564503,SAMN30841398
EBC_142,EBC 142,genomic,SRR21562057 NCBI ENA,SRX17564522,SAMN30841399
EBC_147_S2,EBC 147 /S-2,genomic,SRR21562068 NCBI ENA,SRX17564511,SAMN30841400
EBC_148_S401,EBC 148 /S-401,genomic,SRR21562127 NCBI ENA,SRX17564452,SAMN30841401
EBC_148_S9,EBC 148 /S-9,genomic,SRR21562118 NCBI ENA,SRX17564461,SAMN30841402
EBC_251,EBC 251,genomic,SRR21562116 NCBI ENA,SRX17564463,SAMN30841403
EBC_29,EBC 29,genomic,SRR21562115 NCBI ENA,SRX17564464,SAMN30841404
