Clone name,Shape,Basal constriction,Apex form,Rugosity,Husk thickness,Length,Breadth,Colour,Length breadth ratio,Info
SPEC 111,-,-,-,-,7 mm,160.0,70.0,green and red,2.28,expedition data
SPEC 127,-,-,-,moderate,-,-,-,green,-,expedition data
SPEC 137,criollo,-,attenuate,-,-,-,-,-,-,expedition data
SPEC 15,angoleta,slight,attenuate,slight,19 mm,185.0,95.0,green and white,1.94,expedition data
SPEC 161,-,-,-,-,-,-,-,green and red,-,expedition data
SPEC 162,-,-,-,intense,-,-,-,green and red,-,expedition data
SPEC 18,-,-,-,-,19 mm,185.0,95.0,green and white,1.94,expedition data
SPEC 41,amelonado,slight,rounded,slight,19 mm,185.0,95.0,green and white,1.94,expedition data
SPEC 43,-,-,-,-,19 mm,185.0,95.0,green and white,1.94,expedition data
SPEC 52,-,-,-,-,-,-,-,green and white,-,expedition data
SPEC 53,-,-,-,-,-,-,-,green and white,-,expedition data
SPEC 54,-,-,-,-,-,180.0,90.0,green and white,2.00,expedition data
