Clone name,Number,Total dry weight,Dry weight,Info
AC T 2 /18 [TTO],38.6,47.9,1.21,28 plants sampled
AC T 4 /2 [TTO],35.4,37.6,1.05,19 plants sampled
AMAZ 15 /15,41.4,35.6,0.86,37 plants sampled
AMAZ 2 /1,34.1,28.8,0.84,31 plants sampled
AML [MAL],34.6,32.5,0.93,24 plants sampled
APA 4,35.4,34.6,0.98,15 plants sampled
APA 5,24.1,22.8,0.93,19 plants sampled
BE 10,36.5,38.1,1.03,30 plants sampled
C 13 /5 [TRI],42.3,41.1,0.97,24 plants sampled
C 87 /56 [TRI],35.0,42.1,1.2,
CAS 1,30.4,31.7,1.03,13 plants sampled
CATONGO,35.5,43.1,1.21,36 plants sampled
CATONGO,36.8,42.4,1.14,66 plants sampled
CATONGO,36.7,43.3,1.17,
CC 10,37.5,58.6,1.55,43 plants sampled
CC 11,35.5,52.4,1.47,45 plants sampled
CC 34,38.5,48.5,1.24,25 plants sampled
CC 38,39.7,40.1,1.01,40 plants sampled
CC 41,39.5,32.1,0.81,46 plants sampled
CC 54,29.0,35.8,1.21,29 plants sampled
CC 60,36.3,42.6,1.16,
CC 67,34.4,38.4,1.12,20 plants sampled
CC 71,33.8,37.7,1.09,60 plants sampled
CC 71,33.4,38.5,1.14,
CCN 10,37.1,53.8,1.44,
COCA 3356 [CHA],23.6,32.5,1.36,59 plants sampled
COCA 3356 [CHA],22.6,30.7,1.35,
EEG 64,42.1,31.1,0.73,83 plants sampled
EEG 64,42.7,33.8,0.79,
EET 236 [ECU],36.0,38.8,1.07,53 plants sampled
EET 272 [ECU],49.4,38.6,0.79,23 plants sampled
EET 283 [ECU],38.7,35.0,0.9,49 plants sampled
EET 308 [ECU],35.0,54.9,1.55,39 plants sampled
EET 353 [ECU],38.6,45.9,1.18,44 plants sampled
EET 353 [ECU],38.4,45.9,1.19,
EET 376 [ECU],36.6,41.4,1.13,53 plants sampled
EET 376 [ECU],39.2,36.5,0.92,11 plants sampled
EET 390 [ECU],37.0,24.7,0.65,
EET 399 [ECU],37.5,42.1,1.12,53 plants sampled
EET 400 [ECU],37.7,29.1,0.77,69 plants sampled
EET 75 [ECU],40.0,50.0,1.24,34 plants sampled
EQX 12 [EQX],31.4,38.7,1.22,19 plants sampled
EQX 16 [EQX],29.6,36.4,1.22,15 plants sampled
EQX 16 [EQX],29.3,35.8,1.21,
EQX 80 [EQX],38.8,23.1,0.59,14 plants sampled
GA 57 [MAY],32.6,36.9,1.13,59 plants sampled
ICS 1,36.5,51.8,1.4,22 plants sampled
ICS 100,29.7,37.8,1.26,63 plants sampled
ICS 16,40.6,58.9,1.44,36 plants sampled
ICS 39,38.5,56.6,1.46,60 plants sampled
ICS 46,34.2,51.6,1.5,27 plants sampled
ICS 6,41.0,61.2,1.48,19 plants sampled
ICS 60,37.9,57.1,1.5,35 plants sampled
ICS 75,34.7,44.8,1.26,22 plants sampled
ICS 75,35.1,39.9,1.11,
ICS 8,39.1,64.6,1.64,41 plants sampled
ICS 84,34.5,44.2,1.27,48 plants sampled
ICS 95,37.1,41.1,1.1,85 plants sampled
ICS 98,30.7,35.6,1.15,20 plants sampled
ICS 98,30.5,35.5,1.16,
IMC 105,44.8,36.9,0.82,50 plants sampled
IMC 14,52.7,40.5,0.77,50 plants sampled
IMC 2,48.3,34.7,0.71,24 plants sampled
IMC 23,49.4,48.1,0.97,58 plants sampled
IMC 47,46.1,36.5,0.79,46 plants sampled
IMC 53,50.6,42.6,0.84,55 plants sampled
IMC 58,31.9,28.1,0.87,38 plants sampled
IMC 67,45.8,45.3,0.99,39 plants sampled
IMC 85,51.9,40.5,0.78,54 plants sampled
JA 5 /46 [POU],35.6,38.1,1.06,13 plants sampled
K 13 [KER],34.9,48.1,1.37,39 plants sampled
