Clone name,Seed index,Pod index
AC T 2 /18 [TTO],82.6,20.9
AC T 4 /2 [TTO],95.2,26.6
AMAZ 15 /15,116.2,28.1
AMAZ 2 /1,119.0,34.7
AML [MAL],107.5,30.8
APA 4,102.0,28.9
APA 5,107.5,43.8
BE 10,97.0,26.2
C 13 /5 [TRI],103.0,24.3
C 87 /56 [TRI],83.3,23.8
CAS 1,97.0,31.6
CATONGO,87.7,23.6
CATONGO,82.6,23.2
CATONGO,85.4,23.1
CC 10,64.5,17.1
CC 11,68.0,19.1
CC 34,80.6,20.6
CC 38,99.0,24.9
CC 41,123.4,31.1
CC 54,82.6,28.0
CC 60,86.2,23.5
CC 67,89.2,26.1
CC 71,87.7,26.0
CC 71,91.7,26.5
CCN 10,69.4,18.6
COCA 3356 [CHA],74.0,32.6
COCA 3356 [CHA],73.5,30.8
EEG 64,126.5,29.6
EEG 64,136.9,32.2
EET 236 [ECU],93.4,25.8
EET 272 [ECU],126.5,25.9
EET 283 [ECU],111.1,28.6
EET 308 [ECU],64.5,18.2
EET 353 [ECU],84.7,21.8
EET 353 [ECU],84.0,21.8
EET 376 [ECU],88.4,24.2
EET 376 [ECU],108.6,27.4
EET 390 [ECU],153.8,40.5
EET 399 [ECU],89.2,23.7
EET 400 [ECU],129.8,34.4
EET 75 [ECU],80.6,20.0
EQX 12 [EQX],81.9,25.9
EQX 16 [EQX],81.9,27.5
EQX 16 [EQX],82.6,27.9
EQX 80 [EQX],169.4,43.2
GA 57 [MAY],88.4,27.1
ICS 1,71.4,19.3
ICS 100,79.3,26.4
ICS 16,69.4,17.0
ICS 39,68.4,17.7
ICS 46,66.6,19.4
ICS 6,67.5,16.4
ICS 60,66.6,17.5
ICS 75,90.0,25.1
ICS 75,79.3,22.3
ICS 8,60.9,15.5
ICS 84,78.7,22.6
ICS 95,90.9,24.3
ICS 98,86.2,28.2
ICS 98,86.9,28.1
IMC 105,121.9,27.1
IMC 14,129.8,24.7
IMC 2,140.8,28.8
IMC 23,103.0,20.8
IMC 47,126.5,27.4
IMC 53,119.0,23.5
IMC 58,114.9,35.7
IMC 67,101.0,22.1
IMC 85,128.2,24.7
JA 5 /46 [POU],94.3,26.2
K 13 [KER],72.9,20.8
K 20 [KER],78.7,21.7
K 21 [KER],60.2,20.0
K 24 /106 [KER],60.6,19.2
K 6 /101 [KER],69.4,21.2
K 82 [KER],88.4,22.8
KA 2 /101,71.9,23.0
KA 2 /106,56.8,19.2
KA 5 /201,72.4,21.8
LCT EEN 258 /E,116.2,34.9
LCT EEN 258 /H,119.0,27.8
LCT EEN 37 /A,140.8,34.9
LCT EEN 37 /E,112.3,26.7
LCT EEN 37 /H,123.4,30.7
LCT EEN 73 /B,76.9,25.3
M 109 [ICT],90.9,25.0
M 180 [ICT],123.4,27.1
MATINA 1 /9,107.5,28.2
MO 81,138.8,32.9
MO 98,125.0,23.5
MOCORONGO,131.5,29.4
MOCORONGO,125.0,28.1
MOQ 4 /17,91.7,28.1
NA 101,112.3,27.9
NA 110,153.8,33.1
NA 121,136.9,38.2
NA 141,138.8,31.3
NA 149,142.8,30.6
NA 162,106.3,28.0
NA 168,111.1,30.1
