Clone name,Shape,Size,Colour
GS 10,criollo,-,-
GS 13,amelonado,-,-
GS 17,amelonado,-,green
GS 18,amelonado,-,-
GS 19,criollo,-,-
GS 2,elliptical,-,red
GS 20,criollo,-,-
GS 26,amelonado,-,-
GS 29,criollo,-,red
GS 32,amelonado,-,-
GS 34,amelonado,-,-
GS 35,criollo,-,-
GS 37,criollo,-,-
GS 38,amelonado,-,-
GS 4,elliptical,-,red
GS 41,amelonado,-,-
GS 42,elliptical,-,red
GS 43,amelonado,-,-
GS 44,round,-,red
GS 46,amelonado,-,-
GS 48,-,small,red
GS 49,round,-,-
GS 5,round,-,-
GS 50,round,-,-
GS 52,-,small,red
GS 53,criollo,-,-
GS 6,round,-,red
GS 61,round,-,-
GS 63,amelonado,-,-
GS 65,criollo,-,-
GS 67,amelonado,-,-
GS 68,criollo,-,-
GS 70,amelonado,-,-
GS 71,amelonado,-,-
GS 72,amelonado,-,green
GS 74,criollo,-,red
GS 79,amelonado,-,-
GS 9,amelonado,-,-
