Clone name,Female parent,Male parent,Station,Country
ML 3,-,-,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic
IML 44,-,-,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic
ICS 39,-,-,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic
ICS 40,-,-,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic
ICS 95,-,-,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic
UF 613,-,-,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic
UF 221,-,-,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic
ML 22,-,-,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic
IML 53,-,-,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic
ICS 1,-,-,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic
ICS 6,-,-,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic
UF 296,-,-,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic
UF 676,-,-,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic
UF 677,-,-,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic
CC 10,-,-,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic
IMC 67,-,-,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic
CCN 51,-,-,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic
ML 22,-,-,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic
ML 105,-,-,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic
ML 106,-,-,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic
CEPROGPS-1C,-,-,CEPROGPLANSE,Dominican Republic
CEPROGPS-2C,-,-,CEPROGPLANSE,Dominican Republic
CEPROGPS-3C,-,-,CEPROGPLANSE,Dominican Republic
CEPROGPS-4C,-,-,CEPROGPLANSE,Dominican Republic
CEPROGPS-5C,-,-,CEPROGPLANSE,Dominican Republic
CEPROGPS-6C,-,-,CEPROGPLANSE,Dominican Republic
-,ICS 1,ML105,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic
-,ICS40,ML106,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic
-,ICS 95,ML105,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic
-,UF221,ML106,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic
-,UF221,ML105,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic
-,UF296,CC10,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic
-,UF 613,CC10,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic
-,UF676,ICS40,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic
-,UF 677,ML105,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic
-,CC 10,ML105,"Dominican Republic, Instituto Dominicano de Investigaciones Agropecuarias y Forestales (IDIAF)",Dominican Republic
