Clone name,Colour,Shape,Number,Total wet weight,Cotyledon dry weight,Cotyledon length,Cotyledon width
AC T 1 /1 [TTO],purple,oblong,37.0,66.4,1.15,23.6,13.0
AC T 3 /2 [TTO],dark purple,oblong,42.0,39.7,0.62,18.8,10.1
AC T 6 /1 [TTO],dark purple,elliptical,40.0,57.6,0.98,21.1,14.0
AC T 7 /2 [TTO],purple,oblong,41.0,61.4,0.96,20.2,12.0
AC T 8 /1 [TTO],light purple,elliptical,32.0,42.4,0.83,20.7,11.8
AC T 8 /2 [TTO],dark purple,elliptical,41.0,51.1,0.89,22.1,11.4
AGU 2 [CHA],dark purple,elliptical,43.0,46.8,0.7,18.8,11.0
AGU 3339 [CHA],dark purple,oblong,28.0,56.2,1.34,22.2,13.1
AGU 3339 /12 [CHA],purple,elliptical,30.0,56.8,1.29,23.2,13.5
AGU 3339 /8 [CHA],purple,elliptical,33.0,77.1,1.61,24.6,14.4
ALMEIDA,purple,elliptical,40.0,53.5,0.85,21.5,11.4
AM 1 /1 [POU],purple,oblong,39.0,72.9,1.09,22.9,12.8
AM 1 /107 [POU],dark purple,elliptical,34.0,70.5,1.35,24.1,13.1
AM 1 /12 [POU],dark purple,elliptical,38.0,68.6,1.16,21.9,13.4
AM 1 /13 [POU],dark purple,elliptical,24.0,46.8,1.2,23.3,13.0
AM 1 /19 [POU],purple,elliptical,39.0,65.3,1.03,23.3,13.5
AM 1 /28 [POU],light purple,ovate,28.0,42.8,0.79,20.4,13.9
AM 1 /3 [POU],purple,elliptical,39.0,57.9,0.99,20.8,11.9
AM 1 /33 [POU],purple,oblong,35.0,36.2,0.94,20.1,11.6
AM 1 /37 [POU],light purple,ovate,35.0,46.3,0.87,21.3,11.4
AM 1 /38 [POU],dark purple,oblong,43.0,85.8,1.35,23.5,12.5
AM 1 /39 [POU],dark purple,elliptical,36.0,64.6,1.13,23.4,12.7
AM 1 /4 [POU],dark purple,elliptical,34.0,52.4,1.07,22.3,12.8
AM 1 /42 [POU],dark purple,elliptical,36.0,63.5,1.26,23.3,13.7
AM 1 /48 [POU],dark purple,elliptical,34.0,55.4,1.15,21.1,14.3
AM 1 /49 [POU],purple,elliptical,38.0,66.4,1.2,23.5,12.5
AM 1 /5 [POU],dark purple,elliptical,33.0,63.8,1.3,22.2,13.7
AM 1 /53 [POU],purple,elliptical,33.0,47.6,0.89,19.9,11.9
AM 1 /54 [POU],purple,ovate,31.0,66.3,1.32,23.7,13.1
AM 1 /55 [POU],dark purple,elliptical,42.0,70.2,1.13,22.7,14.2
AM 1 /56 [POU],dark purple,oblong,38.0,58.8,1.13,22.1,12.5
AM 1 /57 [POU],dark purple,ovate,53.0,67.5,0.9,23.3,12.5
AM 1 /60 [POU],dark purple,elliptical,37.0,59.6,1.07,21.6,13.1
AM 1 /63 [POU],dark purple,oblong,35.0,71.9,1.26,23.2,13.1
AM 1 /67 [POU],dark purple,elliptical,36.0,75.4,1.37,25.9,12.9
AM 1 /68 [POU],purple,elliptical,35.0,57.3,1.02,21.6,12.9
AM 1 /7 [POU],purple,elliptical,34.0,48.5,0.9,19.1,12.2
AM 1 /70 [POU],purple,oblong,45.0,74.3,1.08,24.0,13.3
AM 1 /72 [POU],dark purple,elliptical,39.0,71.0,1.14,22.7,12.7
AM 1 /73 [POU],dark purple,elliptical,37.0,51.4,0.87,20.5,10.8
AM 1 /75 [POU],purple,elliptical,37.0,53.3,1.05,20.8,12.6
AM 1 /85 [POU],dark purple,elliptical,39.0,88.2,1.54,25.3,14.5
AM 1 /87 [POU],dark purple,elliptical,39.0,67.1,1.12,20.6,12.2
AM 1 /88 [POU],purple,elliptical,33.0,49.6,0.92,21.4,11.9
AM 1 /96 [POU],dark purple,elliptical,32.0,45.6,1.02,21.5,12.5
AM 1 /97 [POU],purple,elliptical,39.0,67.8,1.21,21.6,12.7
AM 2 /1 [POU],purple,ovate,28.0,48.0,1.05,21.7,12.6
AM 2 /12 [POU],purple,elliptical,28.0,50.7,1.19,23.5,12.7
AM 2 /13 [POU],purple,ovate,33.0,57.3,1.23,21.6,12.8
AM 2 /14 [POU],purple,elliptical,36.0,55.6,0.98,21.0,12.7
AM 2 /17 [POU],dark purple,ovate,26.0,45.7,1.14,23.0,13.4
AM 2 /18 [POU],dark purple,elliptical,36.0,58.6,1.06,20.1,13.2
AM 2 /19 [POU],purple,elliptical,38.0,63.9,1.14,21.3,13.3
AM 2 /21 [POU],purple,oblong,40.0,68.5,1.08,22.1,11.7
AM 2 /28 [POU],purple,elliptical,33.0,51.6,1.1,21.8,13.1
AM 2 /31 [POU],dark purple,elliptical,46.0,64.7,0.96,22.2,12.1
AM 2 /32 [POU],dark purple,elliptical,33.0,56.0,1.13,23.1,12.5
AM 2 /38 [POU],purple,ovate,36.0,58.3,1.07,22.1,12.9
AM 2 /39 [POU],dark purple,elliptical,38.0,76.4,1.4,22.8,13.9
AM 2 /4 [POU],purple,ovate,37.0,54.4,1.0,21.2,12.8
AM 2 /41 [POU],dark purple,oblong,30.0,47.2,1.02,23.9,12.4
AM 2 /43 [POU],purple,elliptical,37.0,82.6,1.43,24.1,13.7
AM 2 /45 [POU],purple,ovate,41.0,82.9,1.31,24.9,14.3
AM 2 /46 [POU],dark purple,elliptical,40.0,61.2,1.06,24.2,12.7
AM 2 /53 [POU],purple,ovate,36.0,60.3,1.17,20.5,11.2
AM 2 /6 [POU],purple,elliptical,36.0,54.4,0.89,20.5,12.6
AM 2 /60 [POU],dark purple,elliptical,40.0,61.1,1.02,21.2,13.4
AM 2 /61 [POU],purple,elliptical,36.0,53.7,0.93,21.6,12.3
AM 2 /62 [POU],dark purple,elliptical,26.0,36.9,0.93,21.5,12.3
AM 2 /64 [POU],dark purple,elliptical,35.0,62.3,1.17,22.0,12.6
AM 2 /65 [POU],light purple,elliptical,26.0,40.4,0.94,20.9,11.7
AM 2 /68 [POU],dark purple,elliptical,35.0,53.8,1.04,21.9,14.0
AM 2 /70 [POU],light purple,elliptical,22.0,40.8,1.08,19.0,13.2
AM 2 /82 [POU],purple,elliptical,45.0,81.6,1.14,23.2,13.5
AM 2 /83 [POU],purple,ovate,31.0,42.0,1.05,20.3,12.0
AM 2 /87 [POU],dark purple,ovate,32.0,49.7,1.13,21.0,13.2
AM 2 /88 [POU],purple,ovate,32.0,56.1,1.07,24.4,13.2
AM 2 /9 [POU],purple,elliptical,39.0,68.2,1.0,22.0,12.9
AM 2 /91 [POU],purple,ovate,40.0,76.5,1.45,25.0,13.9
AM 2 /92 [POU],purple,elliptical,42.0,58.5,0.95,22.9,12.6
AM 2 /94 [POU],dark purple,oblong,43.0,63.7,1.13,23.8,11.8
AM 2 /96 [POU],light purple,oblong,28.0,43.6,0.99,19.3,11.3
AMAZ 10 /1,dark purple,elliptical,43.0,56.6,0.86,23.2,12.7
AMAZ 12,purple,elliptical,36.0,54.2,1.13,23.8,12.3
AMAZ 12 /4,dark purple,ovate,43.0,56.3,0.83,21.1,11.8
AMAZ 1 /5,purple,elliptical,41.0,65.0,1.14,23.6,12.7
AMAZ 15 /15,dark purple,ovate,42.0,63.1,1.08,23.2,12.9
AMAZ 16 /4,purple,elliptical,36.0,46.6,0.98,22.2,11.2
AMAZ 3 /2,purple,elliptical,36.0,47.6,0.98,22.1,12.0
AMAZ 5 /2,dark purple,ovate,43.0,58.6,0.99,22.7,12.2
AMAZ 6,purple,oblong,34.0,59.6,1.32,25.8,13.6
AMAZ 6 /3,dark purple,ovate,38.0,49.2,0.88,21.0,11.6
AMELONADO [VAR],dark purple,elliptical,43.0,52.3,0.87,21.3,11.7
AMELONADO [VAR],purple,oblong,39.1,58.3,1.36,26.3,14.3
AMELONADO 2 /0-17 [MAY],dark purple,elliptical,39.0,58.3,0.99,23.0,12.4
AMELONADO 3 /4-06 [MAY],dark purple,elliptical,42.0,62.7,0.99,22.6,11.8
AS 7 [ECU],dark purple,oblong,38.0,64.1,1.08,20.8,13.2
AX 122 /79,dark purple,oblong,48.0,79.3,1.09,20.6,12.2
AX 139 /53,dark purple,elliptical,54.0,91.8,1.16,26.1,13.4
B 97C /B-3 [BLZ],dark purple,elliptical,38.0,37.8,0.72,20.8,11.2
B 1 /2-24 [POU],dark purple,oblong,31.0,44.5,0.9,22.2,11.4
B 1 /2-8 [POU],dark purple,oblong,33.0,40.1,0.85,18.9,11.2
B 11 /3 [POU],dark purple,ovate,37.0,54.2,1.13,23.5,14.4
