Clone name,Testa
AC T 1 /1 [TTO],5.6
AC T 3 /2 [TTO],6.5
AC T 6 /1 [TTO],5.6
AC T 7 /2 [TTO],4.4
AC T 8 /1 [TTO],7.1
AC T 8 /2 [TTO],4.5
AGU 2 [CHA],6.3
AGU 3339 [CHA],5.1
AGU 3339 /12 [CHA],4.4
AGU 3339 /8 [CHA],5.0
ALMEIDA,7.9
AM 1 /1 [POU],6.0
AM 1 /107 [POU],4.5
AM 1 /12 [POU],4.4
AM 1 /13 [POU],6.4
AM 1 /19 [POU],3.2
AM 1 /28 [POU],7.3
AM 1 /3 [POU],6.1
AM 1 /33 [POU],5.9
AM 1 /37 [POU],7.7
AM 1 /38 [POU],4.8
AM 1 /39 [POU],6.5
AM 1 /4 [POU],5.3
AM 1 /42 [POU],4.7
AM 1 /48 [POU],4.1
AM 1 /49 [POU],5.0
AM 1 /5 [POU],4.9
AM 1 /53 [POU],5.9
AM 1 /54 [POU],5.5
AM 1 /55 [POU],4.2
AM 1 /56 [POU],4.9
AM 1 /57 [POU],5.2
AM 1 /60 [POU],6.0
AM 1 /63 [POU],5.9
AM 1 /67 [POU],4.7
AM 1 /68 [POU],5.6
AM 1 /7 [POU],6.2
AM 1 /70 [POU],6.3
AM 1 /72 [POU],5.5
AM 1 /73 [POU],5.4
AM 1 /75 [POU],4.8
AM 1 /85 [POU],4.3
AM 1 /87 [POU],4.9
AM 1 /88 [POU],7.0
AM 1 /96 [POU],6.2
AM 1 /97 [POU],5.9
AM 2 /1 [POU],6.4
AM 2 /12 [POU],4.7
AM 2 /13 [POU],7.3
AM 2 /14 [POU],5.5
AM 2 /17 [POU],4.5
AM 2 /18 [POU],4.4
AM 2 /19 [POU],4.9
AM 2 /21 [POU],5.7
AM 2 /28 [POU],5.4
AM 2 /31 [POU],6.3
AM 2 /32 [POU],6.5
AM 2 /38 [POU],8.3
AM 2 /39 [POU],4.2
AM 2 /4 [POU],6.3
AM 2 /41 [POU],6.3
AM 2 /43 [POU],5.2
AM 2 /45 [POU],6.4
