Clone name,Ligule colour,Stamen colour,Sepal width,Sepal length,Ligule width,Ovule number,Style length
A 645 [ECU],anthocyanin absent,anthocyanin absent,1.87,7.96,2.06,36,1.99
AC T 3 /2 [TTO],anthocyanin absent,anthocyanin absent,-,6.86,2.35,44,2.55
AC T 6 /1 [TTO],slight anthocyanin,anthocyanin absent,-,8.31,2.27,29,2.18
AC T 7 /2 [TTO],slight anthocyanin,slight anthocyanin,-,7.74,2.24,44,2.05
AC T 8 /1 [TTO],anthocyanin absent,anthocyanin absent,-,8.17,2.43,42,2.32
AC T 8 /2 [TTO],slight anthocyanin,anthocyanin absent,-,7.73,2.37,39,2.04
AGU 2 [CHA],moderate anthocyanin,anthocyanin absent,-,9.61,2.28,45,2.51
AGU 3339 [CHA],anthocyanin absent,moderate anthocyanin,-,8.04,2.08,32,2.46
AGU 3339 /12 [CHA],anthocyanin absent,anthocyanin absent,-,9.77,2.15,36,2.82
AGU 3339 /8 [CHA],anthocyanin absent,anthocyanin absent,-,8.34,1.96,36,2.77
ALMEIDA,anthocyanin absent,anthocyanin absent,-,7.77,2.89,33,2.26
AM 1 /1 [POU],slight anthocyanin,intense anthocyanin,-,8.54,2.41,41,2.34
AM 1 /107 [POU],slight anthocyanin,moderate anthocyanin,-,7.95,2.68,43,2.65
AM 1 /12 [POU],slight anthocyanin,moderate anthocyanin,-,9.18,2.84,41,3.03
AM 1 /13 [POU],slight anthocyanin,slight anthocyanin,-,7.58,2.19,36,2.31
AM 1 /19 [POU],slight anthocyanin,slight anthocyanin,-,8.33,2.56,43,2.12
AM 1 /28 [POU],moderate anthocyanin,slight anthocyanin,-,6.64,1.94,43,1.65
AM 1 /3 [POU],slight anthocyanin,slight anthocyanin,-,7.25,2.58,36,2.32
AM 1 /33 [POU],slight anthocyanin,moderate anthocyanin,-,7.77,2.8,45,2.73
AM 1 /37 [POU],slight anthocyanin,slight anthocyanin,-,7.86,2.42,42,1.92
AM 1 /38 [POU],slight anthocyanin,slight anthocyanin,-,8.69,2.61,48,1.92
AM 1 /39 [POU],anthocyanin absent,intense anthocyanin,-,8.71,2.5,41,2.76
AM 1 /4 [POU],slight anthocyanin,anthocyanin absent,-,8.61,2.22,41,1.63
AM 1 /42 [POU],slight anthocyanin,moderate anthocyanin,-,7.86,2.45,47,2.62
AM 1 /48 [POU],slight anthocyanin,anthocyanin absent,-,7.97,2.79,45,2.5
AM 1 /5 [POU],anthocyanin absent,anthocyanin absent,-,8.69,2.13,40,2.31
AM 1 /53 [POU],moderate anthocyanin,moderate anthocyanin,-,7.93,2.39,40,2.23
AM 1 /54 [POU],anthocyanin absent,slight anthocyanin,-,8.99,2.28,37,2.52
AM 1 /55 [POU],slight anthocyanin,intense anthocyanin,-,8.72,2.21,42,2.48
AM 1 /56 [POU],slight anthocyanin,intense anthocyanin,-,7.44,2.53,38,2.77
AM 1 /57 [POU],slight anthocyanin,slight anthocyanin,-,7.39,2.6,55,2.27
AM 1 /60 [POU],anthocyanin absent,intense anthocyanin,-,8.44,2.58,35,2.5
AM 1 /63 [POU],slight anthocyanin,intense anthocyanin,-,8.51,2.44,38,2.68
AM 1 /67 [POU],slight anthocyanin,intense anthocyanin,-,7.81,2.43,41,2.52
AM 1 /68 [POU],anthocyanin absent,moderate anthocyanin,-,8.35,2.72,41,3.03
AM 1 /7 [POU],slight anthocyanin,intense anthocyanin,-,8.0,2.26,36,2.64
AM 1 /70 [POU],moderate anthocyanin,moderate anthocyanin,-,8.12,2.3,42,1.99
AM 1 /72 [POU],slight anthocyanin,intense anthocyanin,-,8.16,2.37,44,2.53
AM 1 /73 [POU],intense anthocyanin,moderate anthocyanin,-,8.28,2.49,41,2.27
AM 1 /75 [POU],slight anthocyanin,intense anthocyanin,-,7.92,2.69,40,2.88
AM 1 /85 [POU],moderate anthocyanin,moderate anthocyanin,-,7.98,2.35,40,2.13
AM 1 /87 [POU],moderate anthocyanin,intense anthocyanin,-,8.99,2.65,44,3.07
AM 1 /88 [POU],slight anthocyanin,moderate anthocyanin,-,8.03,2.64,38,2.93
AM 1 /96 [POU],slight anthocyanin,anthocyanin absent,-,8.28,2.16,34,1.82
AM 1 /97 [POU],anthocyanin absent,moderate anthocyanin,-,8.08,2.41,38,3.06
AM 2 /1 [POU],slight anthocyanin,slight anthocyanin,-,8.63,2.37,46,2.58
AM 2 /12 [POU],anthocyanin absent,intense anthocyanin,-,8.03,2.74,43,2.34
AM 2 /13 [POU],moderate anthocyanin,anthocyanin absent,-,7.9,2.25,46,2.25
AM 2 /14 [POU],anthocyanin absent,moderate anthocyanin,-,8.19,2.72,39,3.04
AM 2 /17 [POU],slight anthocyanin,intense anthocyanin,-,7.33,2.2,41,2.38
AM 2 /18 [POU],anthocyanin absent,anthocyanin absent,-,8.13,3.12,34,2.69
AM 2 /19 [POU],slight anthocyanin,slight anthocyanin,-,7.47,2.63,39,2.48
AM 2 /21 [POU],intense anthocyanin,slight anthocyanin,-,9.34,2.29,44,2.07
AM 2 /28 [POU],slight anthocyanin,anthocyanin absent,-,7.23,3.06,36,2.44
AM 2 /31 [POU],moderate anthocyanin,slight anthocyanin,-,7.17,2.29,46,1.82
AM 2 /32 [POU],moderate anthocyanin,moderate anthocyanin,-,6.58,2.52,43,2.48
AM 2 /38 [POU],slight anthocyanin,anthocyanin absent,-,7.5,2.3,39,2.2
AM 2 /39 [POU],anthocyanin absent,moderate anthocyanin,-,8.05,2.52,45,2.9
AM 2 /4 [POU],slight anthocyanin,slight anthocyanin,-,7.41,2.48,37,2.27
AM 2 /41 [POU],slight anthocyanin,anthocyanin absent,-,7.41,2.42,47,2.22
AM 2 /43 [POU],slight anthocyanin,slight anthocyanin,-,8.67,2.28,38,2.89
AM 2 /45 [POU],slight anthocyanin,anthocyanin absent,-,8.2,2.46,38,2.68
AM 2 /46 [POU],slight anthocyanin,intense anthocyanin,-,8.03,2.7,43,2.5
AM 2 /53 [POU],slight anthocyanin,anthocyanin absent,-,8.1,2.43,42,2.58
AM 2 /6 [POU],slight anthocyanin,slight anthocyanin,-,8.71,2.59,40,1.95
AM 2 /60 [POU],slight anthocyanin,moderate anthocyanin,-,7.27,2.38,43,2.44
AM 2 /61 [POU],moderate anthocyanin,slight anthocyanin,-,9.47,2.92,38,2.25
AM 2 /62 [POU],slight anthocyanin,slight anthocyanin,-,8.25,2.76,37,2.61
AM 2 /64 [POU],moderate anthocyanin,intense anthocyanin,-,5.83,2.15,37,2.37
AM 2 /65 [POU],slight anthocyanin,slight anthocyanin,-,9.42,2.26,44,2.86
AM 2 /68 [POU],slight anthocyanin,intense anthocyanin,-,7.81,2.87,39,2.97
AM 2 /70 [POU],slight anthocyanin,slight anthocyanin,-,7.35,2.59,45,2.54
AM 2 /82 [POU],moderate anthocyanin,anthocyanin absent,-,6.47,1.94,48,1.89
AM 2 /83 [POU],slight anthocyanin,slight anthocyanin,-,8.18,2.47,41,2.64
AM 2 /87 [POU],slight anthocyanin,slight anthocyanin,-,7.81,2.18,40,2.46
AM 2 /88 [POU],slight anthocyanin,slight anthocyanin,-,8.02,2.79,43,2.55
AM 2 /9 [POU],slight anthocyanin,intense anthocyanin,-,8.18,2.83,44,2.74
AM 2 /91 [POU],slight anthocyanin,anthocyanin absent,-,8.44,2.82,40,2.31
AM 2 /92 [POU],anthocyanin absent,slight anthocyanin,-,8.71,2.38,43,2.58
AM 2 /94 [POU],anthocyanin absent,intense anthocyanin,-,8.04,2.36,43,2.41
AM 2 /96 [POU],anthocyanin absent,anthocyanin absent,-,8.94,2.25,36,2.36
AMAZ 10 /1,intense anthocyanin,slight anthocyanin,-,7.41,2.3,53,1.85
AMAZ 12,slight anthocyanin,anthocyanin absent,-,6.65,2.32,50,2.62
AMAZ 12 /4,anthocyanin absent,anthocyanin absent,-,7.01,2.37,46,2.48
AMAZ 1 /5,slight anthocyanin,slight anthocyanin,-,7.11,2.47,42,2.32
AMAZ 15 /15,moderate anthocyanin,anthocyanin absent,-,7.92,2.37,47,2.53
AMAZ 16 /4,intense anthocyanin,slight anthocyanin,-,7.24,2.12,52,1.68
AMAZ 3 /2,moderate anthocyanin,moderate anthocyanin,-,7.34,2.47,46,2.57
AMAZ 5 /2,slight anthocyanin,slight anthocyanin,-,7.6,2.44,48,2.3
AMAZ 6,moderate anthocyanin,slight anthocyanin,-,7.2,2.26,46,1.91
AMAZ 6 /3,intense anthocyanin,moderate anthocyanin,-,8.38,2.63,48,2.25
AMELONADO [VAR],slight anthocyanin,slight anthocyanin,-,7.72,2.31,40,2.11
AMELONADO 2 /0-17 [MAY],slight anthocyanin,slight anthocyanin,-,7.26,2.28,40,2.24
AMELONADO 3 /4-06 [MAY],slight anthocyanin,slight anthocyanin,-,7.1,2.48,39,2.38
APA 4,anthocyanin absent,anthocyanin absent,2.15,7.87,1.55,35,2.16
AS 7 [ECU],anthocyanin absent,slight anthocyanin,-,8.45,2.07,41,2.39
AX 122 /79,anthocyanin absent,anthocyanin absent,-,7.48,2.33,44,2.24
AX 139 /53,slight anthocyanin,moderate anthocyanin,-,6.69,2.26,40,2.44
B 1 /2-24 [POU],slight anthocyanin,slight anthocyanin,-,7.08,2.26,40,1.67
B 1 /2-8 [POU],slight anthocyanin,intense anthocyanin,-,7.38,2.22,47,2.63
B 11 /3 [POU],slight anthocyanin,moderate anthocyanin,-,8.52,2.51,47,2.62
B 12 /1 [POU],moderate anthocyanin,slight anthocyanin,-,7.28,2.54,30,2.15
B 13 /1 [POU],intense anthocyanin,moderate anthocyanin,-,8.32,2.72,42,2.43
B 13 /3 [POU],moderate anthocyanin,moderate anthocyanin,-,7.74,2.61,36,2.08
B 13 /5 [POU],moderate anthocyanin,moderate anthocyanin,-,8.41,2.72,47,2.64
B 13 /6 [POU],anthocyanin absent,anthocyanin absent,-,7.95,2.54,41,1.88
B 13 /7 [POU],slight anthocyanin,slight anthocyanin,-,7.81,2.68,43,2.51
B 14 /11 [POU],slight anthocyanin,intense anthocyanin,-,8.69,2.35,39,2.75
B 14 /13 [POU],anthocyanin absent,anthocyanin absent,-,8.22,2.52,42,2.43
B 14 /14 [POU],slight anthocyanin,slight anthocyanin,-,8.31,2.57,53,2.58
B 14 /8 [POU],slight anthocyanin,intense anthocyanin,-,8.16,2.83,38,3.1
B 14 /9 [POU],moderate anthocyanin,intense anthocyanin,-,9.04,3.14,35,3.24
B 17 /1 [POU],moderate anthocyanin,intense anthocyanin,-,7.38,2.64,47,2.67
B 17 /10 [POU],slight anthocyanin,slight anthocyanin,-,7.75,2.23,66,2.12
B 17 /15 [POU],slight anthocyanin,anthocyanin absent,-,7.48,2.6,42,2.34
B 17 /17 [POU],slight anthocyanin,moderate anthocyanin,-,8.41,2.48,43,2.89
B 17 /20 [POU],slight anthocyanin,moderate anthocyanin,-,7.7,2.49,39,2.45
B 17 /24 [POU],moderate anthocyanin,slight anthocyanin,-,7.72,2.52,38,2.64
B 17 /33 [POU],slight anthocyanin,intense anthocyanin,-,7.21,1.99,40,2.68
B 17 /4 [POU],slight anthocyanin,moderate anthocyanin,-,7.09,2.25,38,2.48
B 17 /5 [POU],anthocyanin absent,moderate anthocyanin,-,8.0,2.66,35,2.81
B 18 /1 [POU],moderate anthocyanin,intense anthocyanin,-,7.19,2.02,42,2.4
B 18 /4 [POU],slight anthocyanin,anthocyanin absent,-,7.89,2.61,42,2.16
B 18 /5 [POU],moderate anthocyanin,intense anthocyanin,-,7.72,2.98,46,2.25
B 18 /8 [POU],intense anthocyanin,slight anthocyanin,-,7.56,2.66,62,2.36
B 18 /9 [POU],slight anthocyanin,anthocyanin absent,-,8.15,2.52,52,2.67
B 2 /8 [POU],moderate anthocyanin,intense anthocyanin,-,7.66,2.53,40,2.77
B 20 /1 [POU],slight anthocyanin,slight anthocyanin,-,7.24,2.29,42,2.64
B 20 /2 [POU],slight anthocyanin,moderate anthocyanin,-,7.2,2.36,33,3.1
B 21 /6 [POU],moderate anthocyanin,intense anthocyanin,-,8.69,2.74,44,2.82
B 21 /7 [POU],slight anthocyanin,slight anthocyanin,-,7.69,1.99,44,2.52
B 22 /15 [POU],slight anthocyanin,intense anthocyanin,-,7.52,2.58,44,2.21
B 22 /16 [POU],slight anthocyanin,moderate anthocyanin,-,7.37,2.05,45,2.17
B 22 /17 [POU],anthocyanin absent,moderate anthocyanin,-,7.99,2.3,45,2.36
B 22 /3 [POU],slight anthocyanin,slight anthocyanin,-,8.27,2.22,42,2.29
B 22 /8 [POU],moderate anthocyanin,moderate anthocyanin,-,8.3,2.3,47,2.51
B 23 /1 [POU],slight anthocyanin,moderate anthocyanin,-,8.78,2.36,44,2.48
B 23 /2 [POU],anthocyanin absent,slight anthocyanin,-,8.61,2.45,33,2.19
B 23 /4 [POU],moderate anthocyanin,slight anthocyanin,-,9.14,2.4,43,2.87
B 23 /6 [POU],intense anthocyanin,moderate anthocyanin,-,7.08,2.52,42,2.1
B 23 /9 [POU],slight anthocyanin,moderate anthocyanin,-,8.02,2.01,42,2.59
B 4 /8 [POU],slight anthocyanin,slight anthocyanin,-,7.78,2.2,37,2.45
B 5 /10 [POU],slight anthocyanin,moderate anthocyanin,-,8.2,2.05,42,1.96
B 5 /11 [POU],anthocyanin absent,moderate anthocyanin,-,8.49,2.15,43,2.51
B 5 /2 [POU],anthocyanin absent,intense anthocyanin,-,10.16,2.38,48,2.74
B 5 /3 [POU],anthocyanin absent,moderate anthocyanin,-,7.62,2.04,36,2.27
B 5 /5 [POU],anthocyanin absent,intense anthocyanin,-,8.28,2.28,43,2.63
B 5 /7 [POU],slight anthocyanin,moderate anthocyanin,-,8.73,2.96,35,2.66
B 6 /2 [POU],slight anthocyanin,slight anthocyanin,-,7.48,2.27,41,1.94
B 6 /29 [POU],slight anthocyanin,moderate anthocyanin,-,8.7,2.23,42,2.4
B 6 /3 [POU],slight anthocyanin,intense anthocyanin,-,9.19,2.67,45,2.48
B 6 /5 [POU],slight anthocyanin,intense anthocyanin,-,7.4,2.02,38,2.22
B 6 /8 [POU],slight anthocyanin,moderate anthocyanin,-,8.81,2.38,42,2.65
B 7 /1 [POU],slight anthocyanin,intense anthocyanin,-,8.07,2.63,42,3.07
B 7 /14 [POU],intense anthocyanin,intense anthocyanin,-,8.4,2.54,39,2.6
B 7 /15 [POU],intense anthocyanin,intense anthocyanin,-,8.44,2.55,47,2.64
B 7 /16 [POU],moderate anthocyanin,intense anthocyanin,-,7.52,2.63,41,2.35
B 7 /18 [POU],slight anthocyanin,intense anthocyanin,-,7.79,2.54,43,2.69
B 7 /21 [POU],slight anthocyanin,moderate anthocyanin,-,8.0,2.62,43,2.41
B 7 /3 [POU],anthocyanin absent,intense anthocyanin,-,7.47,2.5,48,2.44
B 7 /4 [POU],moderate anthocyanin,intense anthocyanin,-,8.76,2.45,41,2.69
B 8 /4 [POU],slight anthocyanin,intense anthocyanin,-,7.74,3.06,36,2.11
B 8 /5 [POU],slight anthocyanin,slight anthocyanin,-,8.35,3.23,41,2.21
B 8 /8 [POU],moderate anthocyanin,slight anthocyanin,-,7.83,2.77,47,2.73
B 8 /9 [POU],slight anthocyanin,anthocyanin absent,-,8.73,2.26,37,2.33
