Clone name,Colour
AC T 1 /1 [TTO],intense anthocyanin
AC T 2 /18 [TTO],moderate anthocyanin
AC T 2 /3 [TTO],intense anthocyanin
AC T 3 /2 [TTO],intense anthocyanin
AC T 3 /5 [TTO],intense anthocyanin
AC T 3 /6 [TTO],intense anthocyanin
AC T 6 /1 [TTO],intense anthocyanin
AC T 6 /2 [TTO],moderate anthocyanin
AC T 7 /2 [TTO],slight anthocyanin
AC T 8 /1 [TTO],moderate anthocyanin
AC T 8 /2 [TTO],intense anthocyanin
AC T 9 /1 [TTO],moderate anthocyanin
AGU 2 [CHA],moderate anthocyanin
AGU 3339 [CHA],slight anthocyanin
AGU 3339 /12 [CHA],intense anthocyanin
AGU 3339 /8 [CHA],anthocyanin absent
AGUACARTE 1,slight anthocyanin
ALMEIDA,anthocyanin absent
AM 1 /1 [POU],slight anthocyanin
AM 1 /107 [POU],moderate anthocyanin
AM 1 /11 [POU],slight anthocyanin
AM 1 /12 [POU],slight anthocyanin
AM 1 /13 [POU],slight anthocyanin
AM 1 /19 [POU],moderate anthocyanin
AM 1 /21 [POU],slight anthocyanin
AM 1 /28 [POU],intense anthocyanin
AM 1 /29 [POU],moderate anthocyanin
AM 1 /3 [POU],slight anthocyanin
AM 1 /32 [POU],slight anthocyanin
AM 1 /33 [POU],slight anthocyanin
AM 1 /37 [POU],slight anthocyanin
AM 1 /38 [POU],moderate anthocyanin
AM 1 /39 [POU],slight anthocyanin
AM 1 /4 [POU],moderate anthocyanin
AM 1 /40 [POU],intense anthocyanin
AM 1 /42 [POU],slight anthocyanin
AM 1 /48 [POU],slight anthocyanin
AM 1 /49 [POU],slight anthocyanin
AM 1 /5 [POU],moderate anthocyanin
AM 1 /53 [POU],moderate anthocyanin
AM 1 /54 [POU],slight anthocyanin
AM 1 /55 [POU],slight anthocyanin
AM 1 /56 [POU],intense anthocyanin
AM 1 /57 [POU],moderate anthocyanin
AM 1 /60 [POU],moderate anthocyanin
AM 1 /63 [POU],slight anthocyanin
AM 1 /67 [POU],slight anthocyanin
AM 1 /68 [POU],intense anthocyanin
AM 1 /7 [POU],moderate anthocyanin
AM 1 /70 [POU],moderate anthocyanin
AM 1 /72 [POU],slight anthocyanin
AM 1 /73 [POU],intense anthocyanin
AM 1 /75 [POU],slight anthocyanin
AM 1 /8 [POU],slight anthocyanin
AM 1 /85 [POU],moderate anthocyanin
AM 1 /87 [POU],slight anthocyanin
AM 1 /88 [POU],moderate anthocyanin
AM 1 /96 [POU],intense anthocyanin
AM 1 /97 [POU],moderate anthocyanin
AM 2 /1 [POU],intense anthocyanin
AM 2 /11 [POU],anthocyanin absent
AM 2 /12 [POU],slight anthocyanin
AM 2 /13 [POU],slight anthocyanin
AM 2 /14 [POU],moderate anthocyanin
AM 2 /17 [POU],slight anthocyanin
AM 2 /18 [POU],slight anthocyanin
AM 2 /19 [POU],intense anthocyanin
AM 2 /21 [POU],intense anthocyanin
AM 2 /28 [POU],intense anthocyanin
AM 2 /31 [POU],intense anthocyanin
AM 2 /32 [POU],slight anthocyanin
AM 2 /36 [POU],slight anthocyanin
AM 2 /38 [POU],slight anthocyanin
AM 2 /39 [POU],moderate anthocyanin
AM 2 /4 [POU],slight anthocyanin
AM 2 /41 [POU],anthocyanin absent
AM 2 /42 [POU],moderate anthocyanin
AM 2 /43 [POU],moderate anthocyanin
AM 2 /45 [POU],moderate anthocyanin
AM 2 /46 [POU],moderate anthocyanin
AM 2 /5 [POU],slight anthocyanin
AM 2 /50 [POU],intense anthocyanin
AM 2 /53 [POU],slight anthocyanin
AM 2 /6 [POU],moderate anthocyanin
AM 2 /60 [POU],slight anthocyanin
AM 2 /61 [POU],intense anthocyanin
AM 2 /62 [POU],moderate anthocyanin
AM 2 /63 [POU],intense anthocyanin
AM 2 /64 [POU],moderate anthocyanin
AM 2 /65 [POU],slight anthocyanin
AM 2 /68 [POU],moderate anthocyanin
AM 2 /7 [POU],intense anthocyanin
AM 2 /70 [POU],anthocyanin absent
