Clone name,Shape,Basal constriction,Apex form,Rugosity,Furrow desc,Length,Breadth,Colour,Hardness,Info
AC T 1 /1 [TTO],elliptical,strong,acute,intense,paired and intermediate separation,195.8,91.7,anthocyanin absent,-,-
AC T 3 /2 [TTO],elliptical,moderate,acute,intense,paired and intermediate separation,154.0,71.0,moderate anthocyanin,-,-
AC T 6 /1 [TTO],elliptical,slight,obtuse,slight,paired and wide separation,132.0,79.0,moderate anthocyanin,-,-
AC T 7 /2 [TTO],oblong,slight,obtuse,intense,paired and intermediate separation,180.0,86.0,anthocyanin absent,-,-
AC T 8 /1 [TTO],oblong,slight,obtuse,slight,paired and intermediate separation,149.0,76.0,slight anthocyanin,-,-
AC T 8 /2 [TTO],oblong,strong,acute,moderate,paired and intermediate separation,179.0,75.0,anthocyanin absent,-,-
AGU 2 [CHA],oblong,strong,attenuate,moderate,paired and intermediate separation,180.0,72.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
AGU 3339 [CHA],elliptical,strong,indented,intense,paired and intermediate separation,187.0,96.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
AGU 3339 /12 [CHA],elliptical,moderate,mammillate,moderate,paired and intermediate separation,174.0,82.0,intense anthocyanin,moderate,Hardness > 1.6 and <= 2.0 Mpa
AGU 3339 /8 [CHA],elliptical,moderate,indented,intense,paired and intermediate separation,195.0,105.0,moderate anthocyanin,moderate,Hardness > 1.6 and <= 2.0 Mpa
ALMEIDA,obovate,slight,obtuse,slight,paired and intermediate separation,127.0,83.0,slight anthocyanin,hard,Hardness > 2.0 Mpa
AM 1 /1 [POU],elliptical,moderate,indented,moderate,paired and intermediate separation,164.0,87.0,slight anthocyanin,soft,Hardness <= 1.6 Mpa
AM 1 /107 [POU],elliptical,moderate,obtuse,moderate,paired and slight separation,182.0,93.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
AM 1 /12 [POU],elliptical,strong,obtuse,moderate,paired and slight separation,185.0,98.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
AM 1 /13 [POU],elliptical,moderate,obtuse,intense,paired and intermediate separation,173.0,88.0,anthocyanin absent,-,-
AM 1 /19 [POU],obovate,slight,rounded,slight,paired and intermediate separation,145.0,93.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
AM 1 /28 [POU],elliptical,moderate,mammillate,intense,paired and wide separation,129.0,65.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
AM 1 /3 [POU],elliptical,strong,obtuse,moderate,paired and intermediate separation,180.0,79.0,slight anthocyanin,moderate,Hardness > 1.6 and <= 2.0 Mpa
AM 1 /33 [POU],elliptical,moderate,indented,moderate,paired and intermediate separation,163.0,83.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
AM 1 /37 [POU],obovate,slight,acute,slight,paired and intermediate separation,154.0,82.0,slight anthocyanin,hard,Hardness > 2.0 Mpa
AM 1 /38 [POU],elliptical,slight,acute,intense,paired and intermediate separation,186.0,85.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
AM 1 /39 [POU],obovate,moderate,obtuse,moderate,paired and intermediate separation,184.0,99.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
AM 1 /4 [POU],elliptical,slight,acute,slight,paired and intermediate separation,137.0,81.0,moderate anthocyanin,-,-
AM 1 /42 [POU],elliptical,strong,indented,moderate,paired and slight separation,168.0,89.0,anthocyanin absent,-,-
AM 1 /48 [POU],elliptical,moderate,obtuse,slight,paired and intermediate separation,151.0,91.0,anthocyanin absent,soft,Hardness <= 1.6 Mpa
AM 1 /49 [POU],oblong,strong,mammillate,moderate,paired and slight separation,169.0,86.9,anthocyanin absent,-,-
AM 1 /5 [POU],elliptical,strong,obtuse,intense,paired and intermediate separation,186.0,101.0,anthocyanin absent,-,-
