Clone name,Pod index
AC T 1 /1 [TTO],23.5
AC T 3 /2 [TTO],38.4
AC T 6 /1 [TTO],25.5
AC T 7 /2 [TTO],25.4
AC T 8 /1 [TTO],37.7
AC T 8 /2 [TTO],27.4
AGU 2 [CHA],33.2
AGU 3339 [CHA],26.7
AGU 3339 /12 [CHA],25.8
AGU 3339 /8 [CHA],18.8
ALMEIDA,29.4
AM 1 /1 [POU],23.5
AM 1 /107 [POU],21.8
AM 1 /12 [POU],22.7
AM 1 /13 [POU],34.7
AM 1 /19 [POU],24.9
AM 1 /28 [POU],45.2
AM 1 /3 [POU],25.9
AM 1 /33 [POU],30.4
AM 1 /37 [POU],32.8
AM 1 /38 [POU],17.2
AM 1 /39 [POU],24.6
AM 1 /4 [POU],27.5
AM 1 /42 [POU],22.0
AM 1 /48 [POU],25.6
AM 1 /49 [POU],21.9
AM 1 /5 [POU],23.3
AM 1 /53 [POU],34.0
AM 1 /54 [POU],24.4
AM 1 /55 [POU],21.1
AM 1 /56 [POU],23.3
AM 1 /57 [POU],21.0
AM 1 /60 [POU],25.3
AM 1 /63 [POU],22.7
AM 1 /67 [POU],20.3
AM 1 /68 [POU],28.0
AM 1 /7 [POU],32.7
AM 1 /70 [POU],20.6
AM 1 /72 [POU],22.5
AM 1 /73 [POU],31.1
AM 1 /75 [POU],25.7
AM 1 /85 [POU],16.7
AM 1 /87 [POU],22.9
AM 1 /88 [POU],32.9
AM 1 /96 [POU],30.6
AM 1 /97 [POU],21.2
AM 2 /1 [POU],34.0
AM 2 /12 [POU],30.0
AM 2 /13 [POU],24.6
AM 2 /14 [POU],28.3
AM 2 /17 [POU],33.7
AM 2 /18 [POU],26.2
AM 2 /19 [POU],23.1
AM 2 /21 [POU],23.1
AM 2 /28 [POU],27.5
AM 2 /31 [POU],22.6
AM 2 /32 [POU],26.8
AM 2 /38 [POU],26.0
AM 2 /39 [POU],18.8
AM 2 /4 [POU],27.0
AM 2 /41 [POU],32.7
AM 2 /43 [POU],18.9
AM 2 /45 [POU],18.6
AM 2 /46 [POU],23.6
AM 2 /53 [POU],23.7
AM 2 /6 [POU],31.2
AM 2 /60 [POU],24.5
AM 2 /61 [POU],29.9
AM 2 /62 [POU],41.4
AM 2 /64 [POU],24.4
AM 2 /65 [POU],40.9
AM 2 /68 [POU],27.5
AM 2 /70 [POU],42.1
AM 2 /82 [POU],19.5
AM 2 /83 [POU],30.7
AM 2 /87 [POU],27.7
AM 2 /88 [POU],29.2
AM 2 /9 [POU],25.6
AM 2 /91 [POU],17.2
AM 2 /92 [POU],25.1
AM 2 /94 [POU],20.6
AM 2 /96 [POU],36.1
AMAZ 10 /1,27.0
AMAZ 12,24.6
AMAZ 12 /4,28.0
AMAZ 1 /5,21.4
AMAZ 15 /15,22.0
AMAZ 16 /4,28.3
AMAZ 3 /2,28.3
AMAZ 5 /2,23.5
AMAZ 6,22.3
AMAZ 6 /3,29.9
AMELONADO [VAR],26.7
AMELONADO [VAR],18.8
AMELONADO 2 /0-17 [MAY],25.9
