Clone name,Pathogen,Species,Reaction,Infection,Part,Notes
FMS 4,Phytophthora,P. palmivora,resistant,53.0,Pod,"Unripe, Attached and not wounded"
GS 29,Phytophthora,P. palmivora,moderate resistance,77.0,Pod,"Unripe, Attached and not wounded"
GS 36,Phytophthora,P. palmivora,moderate resistance,78.0,Pod,"Unripe, Attached and not wounded"
ICS 1,Phytophthora,P. palmivora,resistant,54.0,Pod,"Unripe, Attached and not wounded"
ICS 100,Phytophthora,P. palmivora,resistant,52.0,Pod,"Unripe, Attached and not wounded"
ICS 16,Phytophthora,P. palmivora,susceptible,93.0,Pod,"Unripe, Attached and not wounded"
ICS 39,Phytophthora,P. palmivora,moderate resistance,89.0,Pod,"Unripe, Attached and not wounded"
ICS 40,Phytophthora,P. palmivora,moderate resistance,90.0,Pod,"Unripe, Attached and not wounded"
ICS 43,Phytophthora,P. palmivora,moderate resistance,80.0,Pod,"Unripe, Attached and not wounded"
ICS 46,Phytophthora,P. palmivora,moderate resistance,90.0,Pod,"Unripe, Attached and not wounded"
ICS 6,Phytophthora,P. palmivora,susceptible,94.0,Pod,"Unripe, Attached and not wounded"
ICS 60,Phytophthora,P. palmivora,susceptible,93.0,Pod,"Unripe, Attached and not wounded"
ICS 61,Phytophthora,P. palmivora,susceptible,98.0,Pod,"Unripe, Attached and not wounded"
ICS 84,Phytophthora,P. palmivora,resistant,25.0,Pod,"Unripe, Attached and not wounded"
ICS 89,Phytophthora,P. palmivora,resistant,46.0,Pod,"Unripe, Attached and not wounded"
ICS 95,Phytophthora,P. palmivora,moderate resistance,72.0,Pod,"Unripe, Attached and not wounded"
IMC 60,Phytophthora,P. palmivora,susceptible,100.0,Pod,"Unripe, Attached and not wounded"
IMC 67,Phytophthora,P. palmivora,susceptible,93.0,Pod,"Unripe, Attached and not wounded"
NA 32,Phytophthora,P. palmivora,susceptible,99.0,Pod,"Unripe, Attached and not wounded"
PA 7 [PER],Phytophthora,P. palmivora,susceptible,94.0,Pod,"Unripe, Attached and not wounded"
SCA 6,Phytophthora,P. palmivora,moderate resistance,75.0,Pod,"Unripe, Attached and not wounded"
SNK 10,Phytophthora,P. palmivora,susceptible,99.0,Pod,"Unripe, Attached and not wounded"
SNK 103,Phytophthora,P. palmivora,moderate resistance,90.0,Pod,"Unripe, Attached and not wounded"
SNK 109,Phytophthora,P. palmivora,susceptible,94.0,Pod,"Unripe, Attached and not wounded"
SNK 110,Phytophthora,P. palmivora,moderate resistance,79.0,Pod,"Unripe, Attached and not wounded"
