Clone name,Pathogen,Reaction,Part
AM 1 /60 [POU],Witches' Broom,resistant,Field Reaction
AM 1 /69 [POU],Witches' Broom,resistant,Field Reaction
AM 1 /85 [POU],Witches' Broom,resistant,Field Reaction
AM 2 /12 [POU],Witches' Broom,resistant,Field Reaction
AM 2 /38 [POU],Witches' Broom,resistant,Field Reaction
AM 2 /45 [POU],Witches' Broom,resistant,Field Reaction
AM 2 /5 [POU],Witches' Broom,resistant,Field Reaction
AM 2 /64 [POU],Witches' Broom,resistant,Field Reaction
AM 2 /65 [POU],Witches' Broom,resistant,Field Reaction
AM 2 /91 [POU],Witches' Broom,resistant,Field Reaction
AMAZ 12,Phytophthora,resistant,
AMAZ 12,Witches' Broom,resistant,Field Reaction
AMAZ 1 /5,Witches' Broom,resistant,Field Reaction
AMAZ 6,Phytophthora,resistant,
AMAZ 6,Witches' Broom,resistant,Field Reaction
B 17 /15 [POU],Witches' Broom,resistant,Field Reaction
B 17 /33 [POU],Witches' Broom,resistant,Field Reaction
B 17 /5 [POU],Witches' Broom,resistant,Field Reaction
B 18 /1 [POU],Witches' Broom,resistant,Field Reaction
B 18 /5 [POU],Witches' Broom,resistant,Field Reaction
B 22 /7 [POU],Witches' Broom,resistant,Field Reaction
B 23 /2 [POU],Witches' Broom,resistant,Field Reaction
B 23 /6 [POU],Witches' Broom,resistant,Field Reaction
B 23 /9 [POU],Witches' Broom,resistant,Field Reaction
B 5 /3 [POU],Phytophthora,resistant,
B 5 /3 [POU],Witches' Broom,resistant,Field Reaction
B 5 /7 [POU],Witches' Broom,resistant,Field Reaction
B 6 /29 [POU],Witches' Broom,resistant,Field Reaction
B 8 /4 [POU],Witches' Broom,resistant,Field Reaction
CC 10,Vascular Streak Dieback,susceptible,
CC 11,Vascular Streak Dieback,resistant,
CC 60,Vascular Streak Dieback,susceptible,
CL 10 /15,Witches' Broom,resistant,Field Reaction
CL 27 /79,Witches' Broom,resistant,Field Reaction
CLM 113,Witches' Broom,resistant,Field Reaction
CLM 19,Witches' Broom,resistant,Field Reaction
CLM 83,Witches' Broom,resistant,Field Reaction
CLM 96,Witches' Broom,resistant,Field Reaction
CRU 156 (MIS_TTOICGT_GU 175 /P),Witches' Broom,resistant,Field Reaction
DR 1,Vascular Streak Dieback,resistant,
EET 162 [ECU],Phytophthora,resistant,
EET 162 [ECU],Witches' Broom,resistant,Field Reaction
EET 272 [ECU],Phytophthora,resistant,
EET 272 [ECU],Witches' Broom,resistant,Field Reaction
EET 272 [ECU],Ceratosystis,resistant,
EET 272 [ECU],Vascular Streak Dieback,susceptible,
EET 338 [ECU],Witches' Broom,resistant,Field Reaction
EET 58 [ECU],Witches' Broom,susceptible,Field Reaction
EET 59 [ECU],Phytophthora,resistant,
