Clone name,Ligule colour,Stamen colour,Sepal colour,Sepal width,Sepal length,Sepal orientation,Ligule length,Ligule width,Ovary colour,Ovary width,Ovary length,Ovule number,Style length,Staminode colour,Staminode length
BE 2,anthocyanin absent,anthocyanin absent,anthocyanin absent,2.61,7.54,horizontal,5.56,2.47,anthocyanin absent,1.22,1.69,51,2.15,moderate anthocyanin,5.4
BE 3,anthocyanin present,slight anthocyanin,slight anthocyanin,2.49,8.49,horizontal,6.08,2.54,anthocyanin absent,1.15,1.63,53,2.2,intense anthocyanin,5.66
BE 4,anthocyanin present,slight anthocyanin,anthocyanin absent,2.61,9.13,horizontal,7.21,2.48,slight anthocyanin,1.28,1.76,51,2.27,intense anthocyanin,6.09
BE 5,anthocyanin absent,anthocyanin absent,anthocyanin absent,2.07,8.32,horizontal,7.04,2.19,slight anthocyanin,1.16,1.59,50,2.12,intense anthocyanin,6.14
BE 9,anthocyanin present,slight anthocyanin,anthocyanin absent,2.41,8.88,horizontal,7.22,2.25,slight anthocyanin,1.23,1.74,51,2.23,intense anthocyanin,6.69
CA 2 [BRA],anthocyanin absent,slight anthocyanin,slight anthocyanin,2.45,8.76,reflexed,6.67,2.69,slight anthocyanin,1.23,1.57,52,2.61,intense anthocyanin,5.98
CA 3 [BRA],anthocyanin present,anthocyanin absent,anthocyanin absent,2.34,8.73,reflexed,6.3,2.25,anthocyanin absent,1.24,1.66,56,2.21,intense anthocyanin,7.18
CAS 2,anthocyanin present,slight anthocyanin,anthocyanin absent,2.7,8.96,horizontal,7.24,2.9,slight anthocyanin,1.39,2.09,49,2.42,intense anthocyanin,7.56
CEPEC 10,anthocyanin absent,anthocyanin absent,anthocyanin absent,2.47,8.85,horizontal,7.23,2.46,slight anthocyanin,1.33,1.82,52,2.21,anthocyanin absent,6.9
CEPEC 13,anthocyanin absent,slight anthocyanin,anthocyanin absent,2.49,8.79,horizontal,7.78,2.5,anthocyanin absent,1.33,2.09,49,2.23,intense anthocyanin,6.71
CEPEC 15,anthocyanin present,anthocyanin absent,anthocyanin absent,2.39,8.64,horizontal,7.78,2.49,slight anthocyanin,1.33,2.06,50,2.3,intense anthocyanin,6.37
CEPEC 17,anthocyanin present,slight anthocyanin,anthocyanin absent,3.11,9.26,horizontal,7.25,2.92,anthocyanin absent,1.46,2.2,50,2.25,intense anthocyanin,7.04
CEPEC 2,anthocyanin absent,slight anthocyanin,anthocyanin absent,2.21,9.16,horizontal,7.52,2.79,slight anthocyanin,1.19,1.6,45,2.06,intense anthocyanin,7.11
CEPEC 3,anthocyanin absent,slight anthocyanin,anthocyanin absent,2.37,9.47,horizontal,7.92,2.63,slight anthocyanin,1.21,1.66,46,2.16,intense anthocyanin,7.61
CEPEC 6,anthocyanin present,anthocyanin absent,slight anthocyanin,2.66,9.51,horizontal,8.17,2.67,slight anthocyanin,1.17,1.44,42,2.01,intense anthocyanin,7.3
CEPEC 7,anthocyanin present,slight anthocyanin,slight anthocyanin,2.58,8.74,horizontal,7.48,3.24,slight anthocyanin,1.17,1.58,47,2.02,intense anthocyanin,6.57
CEPEC 9,anthocyanin absent,anthocyanin absent,anthocyanin absent,2.47,9.04,horizontal,8.35,3.38,slight anthocyanin,1.23,1.74,49,2.07,intense anthocyanin,7.25
EEG 27,anthocyanin present,anthocyanin absent,anthocyanin absent,2.52,8.5,horizontal,7.1,2.66,slight anthocyanin,1.27,1.81,50,2.53,intense anthocyanin,6.44
EEG 50,anthocyanin present,slight anthocyanin,anthocyanin absent,2.44,8.74,horizontal,7.9,2.57,slight anthocyanin,1.36,2.17,50,2.29,intense anthocyanin,7.06
EEG 65,anthocyanin absent,slight anthocyanin,anthocyanin absent,2.56,9.04,horizontal,6.5,2.6,slight anthocyanin,1.32,1.83,50,2.39,intense anthocyanin,5.76
EEG 8,anthocyanin present,anthocyanin absent,slight anthocyanin,2.61,8.57,horizontal,7.36,2.42,slight anthocyanin,1.26,1.81,49,2.46,intense anthocyanin,6.62
MA 11 [BRA],anthocyanin absent,anthocyanin absent,anthocyanin absent,2.36,8.08,reflexed,5.42,2.42,slight anthocyanin,1.27,1.86,54,2.41,intense anthocyanin,5.26
MA 12 [BRA],anthocyanin absent,slight anthocyanin,slight anthocyanin,2.5,8.52,horizontal,6.85,2.79,slight anthocyanin,1.33,1.95,57,2.49,intense anthocyanin,6.12
MA 14 [BRA],anthocyanin absent,slight anthocyanin,anthocyanin absent,2.57,7.59,horizontal,6.14,2.67,slight anthocyanin,1.31,1.83,57,2.03,intense anthocyanin,6.32
MA 15 [BRA],anthocyanin absent,slight anthocyanin,anthocyanin absent,2.65,9.38,horizontal,7.34,3.02,slight anthocyanin,1.39,1.85,65,2.58,intense anthocyanin,6.64
