Clone name,Number,Dry weight,Notes
BE 10,35.0,0.6,Accession 119
BE 9,39.0,0.65,Accession 118
C SUL 7,31.0,2.06,Accession 159
CA 3 [BRA],38.0,2.95,Accession 147
CA 4 [BRA],47.0,3.75,Accession 148
CA 5 [BRA],45.0,1.4,Accession 149
CA 6 [BRA],40.0,1.9,Accession 150
MA 11 [BRA],36.0,1.7,Accession 120
MA 12 [BRA],44.0,2.59,Accession 121
MA 14 [BRA],43.0,1.8,Accession 123
MA 15 [BRA],43.0,2.16,Accession 124
MA 16 [BRA],29.0,0.86,Accession 125
RB 29 [BRA],32.0,1.56,Accession 126
RB 33 [BRA],32.0,2.47,Accession 130
