Clone name,Colour dark purple,Colour light purple,Colour white,Colour mottled,Number,Length,Width,Thickness,Wet weight,Cotyledon wet weight,Info,Notes
AGU 21 [CHA],-,+,+,+,-,-,-,-,-,-,expedition data,expedition code 73CH
AGU 22 [CHA],-,-,+,+,-,-,-,-,-,-,expedition data,expedition code 73CH
AGU 23 [CHA],-,-,+,-,-,-,-,-,-,-,expedition data,expedition code 73CH
AGU 25 [CHA],-,-,+,-,-,-,-,-,-,-,expedition data,expedition code 73CH
AGU 28 [CHA],-,-,+,-,-,-,-,-,-,-,expedition data,expedition code 73CH
AGU 3010 [CHA],-,-,+,-,-,24.6,11.8,10.5,5.78,1.78,expedition data,expedition code 68CH
AGU 3012 [CHA],-,-,+,-,12.0,26.8,14.6,10.7,5.29,2.47,expedition data,expedition code 68CH
AGU 3014 [CHA],-,-,+,-,33.0,25.2,13.6,11.4,5.87,2.25,expedition data,expedition code 68CH
AGU 3057 [CHA],-,-,-,-,-,26.1,14.2,9.1,6.50,2.33,expedition data,expedition code 68CH
AGU 3059 [CHA],-,-,-,-,-,26.9,14.2,10.7,5.95,1.67,expedition data,expedition code 68CH
AGU 31 [CHA],-,-,+,+,-,-,-,-,-,-,expedition data,expedition code 73CH
AGU 3300 [CHA],-,-,+,-,-,-,-,-,-,-,expedition data,expedition code 69CH
AGU 3301 [CHA],-,-,+,-,-,-,-,-,-,-,expedition data,expedition code 69CH
AGU 3327 [CHA],-,-,+,-,-,-,-,-,-,-,expedition data,expedition code 69CH
AGU 3338 [CHA],-,-,-,-,-,25.6,13.7,9.6,6.42,2.09,expedition data,expedition code 70CH
AGU 3339 [CHA],-,-,-,-,-,24.2,13.8,9.9,-,-,expedition data,expedition code 70CH
AGU 3342 [CHA],-,-,-,-,-,24.7,14.6,9.8,-,1.70,expedition data,expedition code 70CH
AMAZ 1,+,-,-,-,23.0,-,-,-,-,-,expedition data,expedition code 73CH
AMAZ 1 /5,+,-,-,-,18.0,-,-,-,-,-,expedition data,expedition code 73CH
AMAZ 10,+,+,-,-,49.0,-,-,-,-,-,expedition data,expedition code 73CH
AMAZ 11,-,+,-,-,47.0,-,-,-,-,-,expedition data,expedition code 73CH
AMAZ 12,-,-,-,-,19.0,-,-,-,-,-,expedition data,expedition code 73CH
AMAZ 16,+,-,-,-,13.0,-,-,-,-,-,expedition data,expedition code 73CH
AMAZ 2,+,-,-,-,25.0,-,-,-,-,-,expedition data,expedition code 73CH
AMAZ 3,+,-,-,-,22.0,-,-,-,-,-,expedition data,expedition code 73CH
AMAZ 5,+,-,-,-,21.0,-,-,-,-,-,expedition data,expedition code 73CH
AMAZ 6,+,-,-,-,40.0,-,-,-,-,-,expedition data,expedition code 73CH
