Clone name,Pathogen,Reaction,Part
AGU 3010 [CHA],Witches' Broom,Present,Expedition data
AGU 3012 [CHA],Witches' Broom,Absent,Expedition data
AGU 3014 [CHA],Witches' Broom,Occasional,Expedition data
AGU 3056 [CHA],Witches' Broom,Absent,Expedition data
AGU 3057 [CHA],Witches' Broom,Absent,Expedition data
AGU 3059 [CHA],Witches' Broom,Absent,Expedition data
AGU 3300 [CHA],Witches' Broom,Occasional,Expedition data
AGU 3301 [CHA],Witches' Broom,Occasional,Expedition data
AGU 3321 [CHA],Witches' Broom,Absent,Expedition data
AGU 3322 [CHA],Witches' Broom,Absent,Expedition data
AGU 3323 [CHA],Witches' Broom,Absent,Expedition data
AGU 3324 [CHA],Witches' Broom,Absent,Expedition data
AGU 3325 [CHA],Witches' Broom,Occasional,Expedition data
AGU 3326 [CHA],Witches' Broom,Absent,Expedition data
AGU 3337 [CHA],Witches' Broom,Absent,Expedition data
AGU 3338 [CHA],Witches' Broom,Absent,Expedition data
AGU 3339 [CHA],Witches' Broom,Absent,Expedition data
AGU 3340 [CHA],Witches' Broom,Absent,Expedition data
AGU 3342 [CHA],Witches' Broom,Absent,Expedition data
AGU 3349 [CHA],Witches' Broom,Absent,Expedition data
AGU 3350 [CHA],Witches' Broom,Absent,Expedition data
AMAZ 1,Witches' Broom,Absent,Expedition data
AMAZ 10,Witches' Broom,Absent,Expedition data
AMAZ 11,Witches' Broom,Absent,Expedition data
AMAZ 12,Witches' Broom,Absent,Expedition data
AMAZ 13,Witches' Broom,Absent,Expedition data
AMAZ 14,Witches' Broom,Absent,Expedition data
AMAZ 15,Witches' Broom,Present,Expedition data
AMAZ 16,Witches' Broom,Present,Expedition data
AMAZ 2,Witches' Broom,Absent,Expedition data
AMAZ 3,Witches' Broom,Present,Expedition data
AMAZ 4,Witches' Broom,Absent,Expedition data
AMAZ 5,Witches' Broom,Absent,Expedition data
AMAZ 6,Witches' Broom,Absent,Expedition data
AMAZ 7,Witches' Broom,Absent,Expedition data
AMAZ 8,Witches' Broom,Absent,Expedition data
AMAZ 9,Witches' Broom,Absent,Expedition data
COCA 3015 [CHA],Witches' Broom,Occasional,Expedition data
COCA 3017 [CHA],Witches' Broom,Present,Expedition data
COCA 3018 [CHA],Witches' Broom,Occasional,Expedition data
COCA 3023 [CHA],Witches' Broom,Absent,Expedition data
COCA 3035 [CHA],Witches' Broom,Absent,Expedition data
COCA 3036 [CHA],Witches' Broom,Absent,Expedition data
COCA 3037 [CHA],Witches' Broom,Absent,Expedition data
COCA 3302 [CHA],Witches' Broom,Present,Expedition data
COCA 3303 [CHA],Witches' Broom,Absent,Expedition data
COCA 3304 [CHA],Witches' Broom,Occasional,Expedition data
COCA 3305 [CHA],Witches' Broom,Absent,Expedition data
Unknown,Witches' Broom,Absent,Expedition data
Unknown,Witches' Broom,Absent,Expedition data
Unknown,Witches' Broom,Absent,Expedition data
COCA 3309 [CHA],Witches' Broom,Absent,Expedition data
COCA 3310 [CHA],Witches' Broom,Absent,Expedition data
COCA 3314 [CHA],Witches' Broom,Occasional,Expedition data
COCA 3315 [CHA],Witches' Broom,Absent,Expedition data
COCA 3316 [CHA],Witches' Broom,Absent,Expedition data
COCA 3317 [CHA],Witches' Broom,Absent,Expedition data
COCA 3318 [CHA],Witches' Broom,Absent,Expedition data
COCA 3319 [CHA],Witches' Broom,Absent,Expedition data
COCA 3320 [CHA],Witches' Broom,Absent,Expedition data
COCA 3328 [CHA],Witches' Broom,Occasional,Expedition data
COCA 3329 [CHA],Witches' Broom,Present,Expedition data
COCA 3330 [CHA],Witches' Broom,Present,Expedition data
COCA 3331 [CHA],Witches' Broom,Absent,Expedition data
COCA 3332 [CHA],Witches' Broom,Absent,Expedition data
COCA 3333 [CHA],Witches' Broom,Absent,Expedition data
COCA 3334 [CHA],Witches' Broom,Absent,Expedition data
COCA 3335 [CHA],Witches' Broom,Occasional,Expedition data
COCA 3336 [CHA],Witches' Broom,Absent,Expedition data
COCA 3343 [CHA],Witches' Broom,Absent,Expedition data
COCA 3345 [CHA],Witches' Broom,Absent,Expedition data
COCA 3347 [CHA],Witches' Broom,Absent,Expedition data
COCA 3348 [CHA],Witches' Broom,Absent,Expedition data
COCA 3351 [CHA],Witches' Broom,Absent,Expedition data
COCA 3352 [CHA],Witches' Broom,Present,Expedition data
COCA 3353 [CHA],Witches' Broom,Occasional,Expedition data
COCA 3354 [CHA],Witches' Broom,Occasional,Expedition data
COCA 3355 [CHA],Witches' Broom,Absent,Expedition data
NAPO 35 [CHA],Witches' Broom,Present,Expedition data
NAPO 37 [CHA],Witches' Broom,Present,Expedition data
PAYAMINO /T [CHA],Witches' Broom,Occasional,Expedition data
PAYAMINO /U [CHA],Witches' Broom,Occasional,Expedition data
PAYAMINO /V [CHA],Witches' Broom,Occasional,Expedition data
PAYAMINO /W [CHA],Witches' Broom,Occasional,Expedition data
SAN MIGUEL 3070 [CHA],Witches' Broom,Occasional,Expedition data
SAN MIGUEL 3072 [CHA],Witches' Broom,Absent,Expedition data
SAN MIGUEL 3073 [CHA],Witches' Broom,Absent,Expedition data
SAN MIGUEL 3074 [CHA],Witches' Broom,Absent,Expedition data
SAN MIGUEL 3077 [CHA],Witches' Broom,Absent,Expedition data
SAN MIGUEL 3078 [CHA],Witches' Broom,Occasional,Expedition data
SAN MIGUEL 3082 [CHA],Witches' Broom,Absent,Expedition data
SAN MIGUEL 3086 [CHA],Witches' Broom,Occasional,Expedition data
SAN MIGUEL 3087 [CHA],Witches' Broom,Occasional,Expedition data
SAN MIGUEL 3096 [CHA],Witches' Broom,Absent,Expedition data
SAN MIGUEL 3113 [CHA],Witches' Broom,Absent,Expedition data
SAN MIGUEL 3115 [CHA],Witches' Broom,Occasional,Expedition data
SAN MIGUEL 3147 [CHA],Witches' Broom,Absent,Expedition data
SAN MIGUEL 3149 [CHA],Witches' Broom,Present,Expedition data
SAN MIGUEL 3153 [CHA],Witches' Broom,Absent,Expedition data
SAN MIGUEL 3160 [CHA],Witches' Broom,Occasional,Expedition data
SAN MIGUEL 3161 [CHA],Witches' Broom,Absent,Expedition data
SAN MIGUEL 3162 [CHA],Witches' Broom,Present,Expedition data
SAN MIGUEL 3358 [CHA],Witches' Broom,Absent,Expedition data
SAN MIGUEL 3359 [CHA],Witches' Broom,Absent,Expedition data
SAN MIGUEL 3360 [CHA],Witches' Broom,Absent,Expedition data
SAN MIGUEL 3361 [CHA],Witches' Broom,Occasional,Expedition data
SAN MIGUEL 3362 [CHA],Witches' Broom,Absent,Expedition data
SAN MIGUEL 3363 [CHA],Witches' Broom,Absent,Expedition data
SAN MIGUEL /A [CHA],Witches' Broom,Occasional,Expedition data
UNAP 1 [CHA],Witches' Broom,Absent,Expedition data
UNAP 2 [CHA],Witches' Broom,Absent,Expedition data
UNAP 3 [CHA],Witches' Broom,Absent,Expedition data
