Clone name,Shape,Basal constriction,Apex form,Rugosity,Furrow desc,Husk thickness,Length,Breadth,Weight,Pods per tree,Hardness,Length breadth ratio,Info,Notes
AGU 19 [CHA],-,-,-,slight,-,-,-,-,-,-,-,-,expedition data,expedition code 73CH
AGU 20 [CHA],-,-,-,slight,-,-,-,-,-,-,-,-,expedition data,expedition code 73CH
AGU 21 [CHA],-,-,attenuate,slight,paired,-,-,-,-,-,moderate,-,expedition data,expedition code 73CH
AGU 22 [CHA],-,-,-,slight,paired,-,-,-,-,-,soft,-,expedition data,expedition code 73CH
AGU 23 [CHA],-,-,-,slight,-,-,-,-,-,-,-,-,expedition data,expedition code 73CH
AGU 24 [CHA],-,-,-,slight,-,-,-,-,-,-,-,-,expedition data,expedition code 73CH
AGU 25 [CHA],-,slight,attenuate,slight,paired,-,-,-,-,-,-,-,expedition data,expedition code 73CH
AGU 26 [CHA],-,-,-,slight,-,-,-,-,-,-,-,-,expedition data,expedition code 73CH
AGU 27 [CHA],-,-,-,slight,-,-,-,-,-,-,-,-,expedition data,expedition code 73CH
AGU 28 [CHA],-,-,-,slight,-,-,-,-,-,-,hard,-,expedition data,expedition code 73CH
AGU 29 [CHA],-,-,-,slight,-,-,-,-,-,-,-,-,expedition data,expedition code 73CH
AGU 30 [CHA],-,-,-,slight,-,-,-,-,-,-,-,-,expedition data,expedition code 73CH
AGU 3010 [CHA],angoleta,-,-,-,-,-,-,-,-,-,-,-,expedition data,expedition code 68CH
AGU 3012 [CHA],angoleta,-,-,-,-,1.2 mm (1.6 - 0.8),140.0,80.0,347.0,1,-,1.75,expedition data,expedition code 68CH
AGU 3014 [CHA],angoleta,-,-,-,-,1.5 mm (1.9 - 1.1),167.0,88.0,539.0,5,-,1.89,expedition data,expedition code 68CH
AGU 3056 [CHA],angoleta,-,-,-,-,-,-,-,-,-,-,-,expedition data,expedition code 68CH
AGU 3057 [CHA],angoleta,-,-,-,-,-,-,-,-,-,-,-,expedition data,expedition code 68CH
AGU 3059 [CHA],angoleta,-,-,-,-,-,166.0,88.0,-,-,-,1.88,expedition data,expedition code 68CH
AGU 31 [CHA],-,-,mammillate,slight,paired,-,-,-,-,-,-,-,expedition data,expedition code 73CH
AGU 3300 [CHA],angoleta,-,-,moderate,paired,1.3 mm (1.4 - 1.2),140.0,90.0,410.0,1,-,1.55,expedition data,expedition code 69CH
AGU 3301 [CHA],angoleta,-,-,slight,-,1.55 mm (1.9 - 1.2),168.0,95.0,523.0,2,-,1.76,expedition data,expedition code 69CH
AGU 3321 [CHA],angoleta,-,-,-,-,-,-,-,-,-,-,-,expedition data,expedition code 69CH
AGU 3322 [CHA],angoleta,-,-,-,-,-,-,-,-,-,-,-,expedition data,expedition code 69CH
AGU 3323 [CHA],angoleta,-,-,-,-,-,-,-,-,-,-,-,expedition data,expedition code 69CH
AGU 3324 [CHA],angoleta,-,-,-,-,-,-,-,-,-,-,-,expedition data,expedition code 69CH
AGU 3325 [CHA],angoleta,-,-,-,-,-,-,-,-,-,-,-,expedition data,expedition code 69CH
AGU 3326 [CHA],angoleta,-,-,-,-,-,-,-,-,-,-,-,expedition data,expedition code 69CH
AGU 3327 [CHA],angoleta,-,-,-,-,-,-,-,-,-,-,-,expedition data,expedition code 69CH
