SampleName,Clone name,Data type,Run,Experiment,BioSample,SampleSource,Tree ID
2076,A 2076 [ECU],genomic,SRR7774251 NCBI ENA,SRX4629573,SAMN09934386,Ecuador,-
2126,A 2126 [ECU],genomic,SRR7774250 NCBI ENA,SRX4629574,SAMN09934387,Ecuador,-
2367,A 2367 [ECU],genomic,SRR7774184 NCBI ENA,SRX4629640,SAMN09934388,Ecuador,-
2416,A 2416 [ECU],genomic,SRR7774171 NCBI ENA,SRX4629653,SAMN09934389,Ecuador,-
2462,A 2462 [ECU],genomic,SRR7774180 NCBI ENA,SRX4629644,SAMN09934390,Ecuador,-
2699,A 2699 [ECU],genomic,SRR7774298 NCBI ENA,SRX4629526,SAMN09934391,Ecuador,-
2748,A 2748 [ECU],genomic,SRR7774186 NCBI ENA,SRX4629638,SAMN09934392,Ecuador,-
AGU_3339_12,AGU 3339 /12 [CHA],genomic,SRR7774183 NCBI ENA,SRX4629641,SAMN09934393,Trinidad,18276
AM_1_54,AM 1 /54 [POU],genomic,SRR7774305 NCBI ENA,SRX4629519,SAMN09934400,Costa Rica,-
AM_2_18,AM 2 /18 [POU],genomic,SRR7774304 NCBI ENA,SRX4629520,SAMN09934401,Costa Rica,-
AMAZ_12,AMAZ 12,genomic,SRR7774307 NCBI ENA,SRX4629517,SAMN09934398,Trinidad,17443
AMAZ_15_15,AMAZ 15 /15,genomic,SRR7774306 NCBI ENA,SRX4629518,SAMN09934399,Trinidad,17421
AMAZ-11_G18_A1,AMAZ 11,genomic,SRR7774243 NCBI ENA,SRX4629581,SAMN09934394,Ecuador,-
AMAZ-11_G21_A10,AMAZ 11,genomic,SRR7774242 NCBI ENA,SRX4629582,SAMN09934395,Ecuador,-
AMAZ-14_G23_A1,AMAZ 14,genomic,SRR7774309 NCBI ENA,SRX4629515,SAMN09934396,Ecuador,-
AMAZ-14_G24_A5,AMAZ 14,genomic,SRR7774308 NCBI ENA,SRX4629516,SAMN09934397,Ecuador,-
B_6_3,B 6 /3 [POU],genomic,SRR7774301 NCBI ENA,SRX4629523,SAMN09934404,Trinidad,Tc17477
B_6_8,B 6 /8 [POU],genomic,SRR7774300 NCBI ENA,SRX4629524,SAMN09934405,Trinidad,18277
BE_10,BE 10,genomic,SRR7774303 NCBI ENA,SRX4629521,SAMN09934402,Costa Rica,17422
BR25,BR 25,genomic,SRR7774302 NCBI ENA,SRX4629522,SAMN09934403,Indonesia (gDNA USDA),-
Brisas-1,BRISAS 1,genomic,SRR7774178 NCBI ENA,SRX4629646,SAMN09934406,(Ecuador) gDNA USDA,Tc02491
CAB_71_PL3,CAB 71,genomic,SRR7774179 NCBI ENA,SRX4629645,SAMN09934407,gDNA Miami,Tc02565
CAB_76_PL3,CAB 76,genomic,SRR7774176 NCBI ENA,SRX4629648,SAMN09934408,gDNA Miami,Tc02567
CAB_77_PL5,CAB 77,genomic,SRR7774177 NCBI ENA,SRX4629647,SAMN09934409,gDNA Miami,Tc02568
CATIE_1000,CATIE 1000,genomic,SRR7800376 NCBI ENA,SRX4629650,SAMN09934410,Costa Rica,17423
Catongo,CATONGO,genomic,SRR7774215 NCBI ENA,SRX4629609,SAMN09934430,Costa Rica,17445
CC_71,CC 71,genomic,SRR7774352 NCBI ENA,SRX4629472,SAMN09934418,Costa Rica,-
CCAT1119_EET544_A1,L11-H19 [ECU],genomic,SRR7774175 NCBI ENA,SRX4629649,SAMN09934411,Ecuador,-
CCAT1858_EET547,L18-H58 [ECU],genomic,SRR7774172 NCBI ENA,SRX4629652,SAMN09934412,Ecuador,-
CCAT4675_EET575,L46-H75 [ECU],genomic,SRR7774173 NCBI ENA,SRX4629651,SAMN09934413,Ecuador,-
CCAT4688_EET576_A1,L46-H88 [ECU],genomic,SRR7774181 NCBI ENA,SRX4629643,SAMN09934414,Ecuador,-
CCAT4998_EET577,L49-H98 [ECU],genomic,SRR7774182 NCBI ENA,SRX4629642,SAMN09934415,Ecuador,-
CCN10,CCN 10,genomic,SRR7774350 NCBI ENA,SRX4629474,SAMN09934416,Costa Rica,17446
CCN51,CCN 51,genomic,SRR7774349 NCBI ENA,SRX4629475,SAMN09934417,"Brazil, MARS",-
CL_27_50,CL 27 /50,genomic,SRR7774351 NCBI ENA,SRX4629473,SAMN09934419,Trinidad,Tc17482
COCA_3370_5,COCA 3370 /5 [CHA],genomic,SRR7774346 NCBI ENA,SRX4629478,SAMN09934420,Costa Rica,Tc04611
criollo,CRIOLLO [CRI],genomic,SRR7774278 NCBI ENA,SRX4629546,SAMN09934580,Costa Rica,-
CRU_101,CRU 101,genomic,SRR7774348 NCBI ENA,SRX4629476,SAMN09934422,Trinidad,Tc17492
CRU_59,CRU 59,genomic,SRR7774347 NCBI ENA,SRX4629477,SAMN09934423,Trinidad,-
CRU_89,CRU 89,genomic,SRR7774355 NCBI ENA,SRX4629469,SAMN09934424,Trinidad,Tc17488
CRUZ_7_14,CRUZ 7 /14,genomic,SRR7774345 NCBI ENA,SRX4629479,SAMN09934421,Costa Rica,-
CS_146,CS 146,genomic,SRR7774354 NCBI ENA,SRX4629470,SAMN09934425,Costa Rica,11453
CUR3_G35_A1,CUR 3 [CHA],genomic,SRR7774159 NCBI ENA,SRX4629665,SAMN09934426,Ecuador,-
CUR3_G37_A6,CUR 3 [CHA],genomic,SRR7774157 NCBI ENA,SRX4629667,SAMN09934427,Ecuador,-
