Clone name,Pathogen,Species,Reaction,Part
ICS 1,Witches' Broom,,tolerant,Pod
ICS 10,Phytophthora,P. palmivora,resistant,Pod
ICS 10,Witches' Broom,,resistant,Cushion/Flower
ICS 13,Witches' Broom,,tolerant,Vegetative
ICS 14,Witches' Broom,,resistant,Vegetative
ICS 17,Witches' Broom,,tolerant,Vegetative
ICS 17,Witches' Broom,,tolerant,Pod
ICS 2,Witches' Broom,,tolerant,Pod
ICS 2,Witches' Broom,,resistant,Cushion/Flower
ICS 22,Witches' Broom,,resistant,Cushion/Flower
ICS 24,Witches' Broom,,tolerant,Cushion/Flower
ICS 24,Witches' Broom,,tolerant,Vegetative
ICS 25,Phytophthora,P. palmivora,resistant,Pod
ICS 25,Witches' Broom,,tolerant,Cushion/Flower
ICS 27,Witches' Broom,,tolerant,Pod
ICS 29,Witches' Broom,,tolerant,Vegetative
ICS 32,Phytophthora,P. palmivora,resistant,Pod
ICS 32,Witches' Broom,,tolerant,Vegetative
ICS 39,Witches' Broom,,tolerant,Pod
ICS 40,Phytophthora,P. palmivora,resistant,Pod
ICS 40,Witches' Broom,,tolerant,Vegetative
ICS 40,Witches' Broom,,tolerant,Pod
ICS 41,Witches' Broom,,tolerant,Vegetative
ICS 41,Witches' Broom,,tolerant,Pod
ICS 41,Witches' Broom,,tolerant,Cushion/Flower
ICS 44,Witches' Broom,,resistant,Vegetative
ICS 44,Witches' Broom,,resistant,Cushion/Flower
ICS 45,Phytophthora,P. palmivora,resistant,Pod
ICS 45,Witches' Broom,,tolerant,Cushion/Flower
ICS 45,Witches' Broom,,tolerant,Vegetative
ICS 45,Witches' Broom,,tolerant,Pod
ICS 46,Phytophthora,P. palmivora,resistant,Pod
ICS 46,Witches' Broom,,tolerant,Pod
ICS 49,Phytophthora,P. palmivora,resistant,Pod
ICS 49,Witches' Broom,,tolerant,Pod
ICS 5,Witches' Broom,,tolerant,Vegetative
ICS 59,Witches' Broom,,tolerant,Cushion/Flower
ICS 6,Phytophthora,P. palmivora,resistant,Pod
ICS 6,Witches' Broom,,resistant,Pod
ICS 6,Witches' Broom,,resistant,Cushion/Flower
ICS 60,Witches' Broom,,tolerant,Pod
ICS 67,Witches' Broom,,tolerant,Pod
ICS 69,Witches' Broom,,tolerant,Vegetative
ICS 7,Witches' Broom,,resistant,Cushion/Flower
ICS 8,Phytophthora,P. palmivora,resistant,Pod
ICS 8,Witches' Broom,,resistant,Cushion/Flower
ICS 85,Witches' Broom,,tolerant,Pod
ICS 91,Witches' Broom,,tolerant,Pod
ICS 93,Phytophthora,P. palmivora,resistant,Pod
ICS 94,Phytophthora,P. palmivora,resistant,Pod
ICS 95,Phytophthora,P. palmivora,resistant,Pod
ICS 95,Witches' Broom,,resistant,Cushion/Flower
ICS 95,Witches' Broom,,resistant,Vegetative
ICS 95,Witches' Broom,,resistant,Pod
ICS 98,Witches' Broom,,tolerant,Cushion/Flower
ICS 98,Witches' Broom,,resistant,Pod
