Clone name,Fat,Testa
AM 1 /19 [POU],51.19,6.36
AM 1 /53 [POU],51.09,4.89
AM 2 /53 [POU],54.5,6.20
AM 2 /12 [POU],51.4,6.39
AM 2 /31 [POU],51.23,6.37
AM 2 /32 [POU],53.56,11.04
AM 2 /38 [POU],52.0,5.20
AM 2 /62 [POU],48.32,7.27
AM 2 /65 [POU],51.1,-
CAB 5351,54.18,5.44
AM 2 /91 [POU],54.49,5.94
AM 2 /96 [POU],51.22,10.75
AMAZ 12,54.87,6.59
AMAZ 15 /15,51.93,5.08
AMAZ 3 /2,56.05,8.01
AMAZ 6,52.76,8.36
B 12 /1 [POU],51.5,6.80
B 13 /7 [POU],50.5,6.70
B 14 /9 [POU],54.9,7.90
B 17 /17 [POU],51.5,6.93
B 18 /4 [POU],50.1,7.10
B 22 /7 [POU],51.8,7.67
B 4 /8 [POU],49.1,7.50
B 5 /7 [POU],50.7,7.20
B 5 /3 [POU],51.4,6.60
B 5 /3 [POU],53.61,10.93
B 6 /8 [POU],52.95,6.40
B 7 /14 [POU],51.4,7.00
B 7 /21 [POU],49.1,7.70
B 7 /38 [POU],54.8,5.40
B 7 /4 [POU],50.06,6.46
B 8 /4 [POU],53.9,11.00
B 9 /10-23 [POU],53.22,7.57
B 9 /10-25 [POU],54.4,6.35
B 9 /10-32 [POU],52.4,8.15
B 9 /10-33 [POU],54.3,5.50
CL 10 /11,52.2,8.10
CL 10 /14,49.0,7.20
CL 10 /3,52.2,4.80
CL 10 /12,53.68,6.73
CL 10 /5,47.61,5.37
CL 13 /27,50.7,7.70
CL 15 /197,53.6,5.88
CL 19 /10,52.5,7.00
CL 19 /21,54.3,6.60
CL 19 /49,51.7,7.30
CL 27 /50,44.42,13.33
CL 27 /74,53.5,7.80
CL 78 /2,51.2,6.90
CL 9 /6,52.5,6.40
CL 9 /15,51.05,7.01
CL 9 /17,50.19,7.03
CLM 100,53.0,5.80
CLM 98,48.36,9.16
CRU 105,52.7,7.20
CRU 107,53.0,7.60
CRU 12,52.4,6.20
CRU 128,55.1,8.80
CRU 132,53.5,7.40
CRU 134,51.72,5.49
CRU 136,51.1,6.00
CRU 137,53.41,5.43
CRU 142,52.86,6.62
CRU 146,52.9,9.50
CRU 20,54.2,6.10
CRU 27,54.63,7.12
CRU 28,54.6,6.10
CRU 40,51.32,8.12
CRU 47,51.9,7.80
CRU 47,49.2,6.32
CRU 48,53.7,6.00
CRU 51,54.8,6.20
CRU 56,55.2,7.50
CRU 57,49.54,5.41
CRU 59,47.6,6.41
CRU 68,53.2,7.90
CRU 69,53.9,7.00
CRU 7,54.8,7.20
CRU 74,49.71,9.43
CRU 78,54.7,7.70
CRU 80,56.25,6.76
CRU 83,53.39,7.15
CRU 86,54.4,5.50
CRU 87,54.6,7.80
CRU 89,51.28,5.58
CRU 94,51.0,6.20
CRU 95,53.6,7.80
DOM 27,49.3,5.57
DOPOL 2 /1-5,53.68,7.54
DOPOL 6 /15-10,53.0,5.90
DOPOL 6 /15-5,55.22,6.85
E 34 [ECU],53.15,11.07
EET 162 [ECU],54.4,5.40
EET 19 [ECU],54.2,5.50
EET 397 [ECU],53.1,5.90
EET 400 [ECU],52.4,5.00
EET 58 [ECU],55.0,5.30
EET 95 [ECU],51.6,6.10
EQX 3164 [CHA],53.7,7.80
COCA 3343 /2 [CHA],52.9,5.50
GS 48,53.7,6.50
GU 222,52.24,8.61
GU 241,48.8,8.67
GU 255,50.24,7.11
GU 305,50.11,6.44
GU 307,51.63,9.32
GU 310,53.59,5.38
GU 325,49.31,7.65
CLEM /S-62-2,53.4,5.80
ICA 70 [COL],48.79,9.37
ICS 1,52.2,5.20
ICS 1,53.53,7.38
ICS 10,54.8,6.30
ICS 25,52.5,6.00
ICS 3,54.4,4.21
ICS 39,54.3,4.70
ICS 41,52.4,6.00
ICS 57,54.6,5.20
ICS 66,51.7,8.40
ICS 67,54.3,6.90
ICS 68,53.94,5.79
ICS 70,51.66,6.26
ICS 84,55.5,6.00
ICS 89,54.0,7.90
IMC 10,55.31,5.13
IMC 103,55.3,7.20
IMC 105,53.93,5.51
IMC 12,52.36,6.07
IMC 16,51.79,5.66
IMC 2,52.9,5.90
IMC 20,55.83,4.85
IMC 38,53.7,6.50
IMC 47,53.5,6.10
IMC 51,54.84,9.82
IMC 53,55.0,6.28
IMC 54,54.01,6.27
IMC 55,54.6,6.90
IMC 57,53.2,5.80
IMC 57,51.78,5.25
IMC 58,54.65,5.76
IMC 59,53.5,8.70
IMC 6,55.0,6.40
IMC 60,55.84,4.81
IMC 65,53.8,5.20
IMC 67,54.3,6.80
IMC 68,55.03,6.01
IMC 71,53.5,4.90
IMC 73,53.9,6.20
IMC 77,54.0,6.50
IMC 78,53.35,6.30
IMC 85,54.75,7.99
IMC 94,54.77,5.32
