Clone name,Colour dark purple,Colour light purple,Colour grey,Colour white,Colour mottled,Number,Number (max),Cotyledon wet weight,Cotyledon dry weight,Cotyledon length,Cotyledon width,Cotyledon thickness,Notes
APA 4,+,-,-,-,-,29.5,42,1.43,0.97,22.7,11.0,8.4,Accession TUR10091
APA 5,+,-,-,-,-,32.3,43,1.60,1.04,23.1,11.3,8.4,Accession TUR10092
BE 10,+,-,-,-,-,37.1,49,1.53,0.98,22.7,11.9,8.6,Accession TUR10102
BS 2,-,+,-,+,+,33.8,49,1.73,1.01,23.0,11.9,8.8,Accession TUR10103
C SUL 3,-,+,-,-,-,40.4,56,0.97,0.55,20.7,7.4,7.0,Accession TUR10243
C SUL 7,-,+,-,-,-,35.4,47,1.02,0.67,19.6,10.0,8.0,Accession TUR10245
CAS 1,+,+,-,-,-,31.1,43,1.70,1.1,24.9,12.2,8.2,Accession TUR10108
CAS 3,-,+,-,-,-,31.5,46,1.87,1.25,26.0,12.5,8.4,Accession TUR10109
CATONGO,+,+,-,+,-,34.3,50,1.37,0.95,23.9,12.1,7.6,Accession TUR10113
CATONGO,+,+,-,+,-,34.1,48,1.76,1.14,24.5,12.5,8.1,Accession TUR10125
CATONGO,+,+,-,+,-,35.3,48,1.73,1.2,25.0,11.7,8.1,Accession TUR10128
CATONGO,+,+,-,+,-,32.9,48,1.65,1.17,24.5,12.0,8.2,Accession TUR10114
CC 10,-,+,-,-,-,30.4,41,2.83,1.75,28.8,16.1,10.5,Accession TUR10133
CC 100,-,+,-,-,-,30.2,45,2.28,1.48,26.8,15.3,9.6,Accession TUR10165
CC 102,+,+,-,+,-,29.6,40,1.89,1.15,25.8,14.3,8.8,Accession TUR10166
CC 103,-,+,-,-,-,30.8,43,1.61,0.97,24.8,14.1,-,Accession TUR10167
CC 106,+,-,-,-,-,33.9,42,2.63,1.59,28.3,15.0,8.9,Accession TUR10168
CC 107,+,-,-,-,-,34.7,46,2.13,1.32,25.9,14.2,8.8,Accession TUR10169
CC 120,+,-,-,-,-,35.1,45,2.31,1.7,27.6,15.4,9.2,Accession TUR10170
CC 121,-,+,-,-,-,31.3,39,2.47,1.59,28.0,16.1,9.1,Accession TUR10171
CC 124,+,-,-,-,-,24.7,35,2.19,1.39,27.4,13.0,9.4,Accession TUR10172
CC 132,+,-,-,-,-,36.9,47,2.51,1.67,25.9,14.7,10.3,Accession TUR10175
CC 137,+,-,-,-,-,29.2,41,2.49,1.59,27.7,15.8,10.0,Accession TUR10177
CC 138,+,-,-,-,-,31.1,39,2.35,1.46,27.1,14.6,9.7,Accession TUR10178
CC 139,+,+,-,-,-,26.5,36,2.64,1.51,27.1,15.6,10.2,Accession TUR10179
CC 143,+,-,-,-,-,30.1,40,1.95,1.24,23.8,15.0,9.1,Accession TUR10180
CC 144,+,-,-,-,-,32.8,45,2.76,1.68,27.3,14.6,9.7,Accession TUR10181
CC 152,+,-,-,-,-,34.1,43,2.72,1.34,25.3,14.4,9.7,Accession TUR10182
CC 169,+,-,-,-,-,35.7,47,2.01,1.28,25.1,14.7,10.4,Accession TUR10184
CC 17,+,-,-,-,-,25.4,45,3.07,2.03,29.3,16.1,11.3,Accession TUR10134
CC 173,+,+,-,-,-,32.1,40,2.93,1.35,26.7,14.6,9.5,Accession TUR10185
CC 18,-,+,-,-,-,35.5,46,2.30,1.43,25.6,13.5,10.1,Accession TUR10135
CC 210,-,+,-,-,-,35.9,49,1.53,0.94,23.7,11.7,8.0,Accession TUR10186
CC 211,+,-,-,-,-,37.2,60,1.19,0.77,20.0,10.8,8.1,Accession TUR10189
CC 211,-,+,-,-,-,40.8,57,1.09,0.69,21.1,9.9,8.4,Accession TUR10188
