Clone name,Ligule colour,Stamen colour,Sepal colour,Sepal width,Sepal length,Ligule length,Ligule width,Ovary colour,Ovary width,Ovary length,Style length,Staminode length,Self compatibility,Info,Notes
APA 4,intense anthocyanin (ap),slight anthocyanin,greyish green,2.2,7.94,7.7,2.14,anthocyanin absent (ap),0.95,1.46,2.27,6.25,-,Translation of Methuen colour codes.,Accession TUR10091
APA 5,intense anthocyanin (ap),anthocyanin absent,greyish green,2.32,8.26,7.57,2.56,anthocyanin absent (ap),0.96,1.17,2.3,7.4,-,Translation of Methuen colour codes.,Accession TUR10092
BE 10,slight anthocyanin (ap),slight anthocyanin,greyish green,2.6,9.7,9.3,2.1,anthocyanin absent (ap),1.00,1.7,2.4,8.6,-,Translation of Methuen colour codes.,Accession TUR10102
BS 2,slight anthocyanin (ap),slight anthocyanin,greyish green,2.0,7.9,8.3,2.3,anthocyanin absent (ap),0.90,1.6,1.9,7.2,-,Translation of Methuen colour codes.,Accession TUR10103
C SUL 3,intense anthocyanin (ap),anthocyanin absent,greyish green,2.23,7.71,5.83,1.9,anthocyanin absent (ap),1.02,1.31,2.06,7.06,-,Translation of Methuen colour codes.,Accession TUR10243
C SUL 7,intense anthocyanin (ap),anthocyanin absent,greyish green,2.73,6.78,6.52,2.31,anthocyanin absent (ap),0.98,1.58,2.84,6.33,-,Translation of Methuen colour codes.,Accession TUR10245
CAS 1,intense anthocyanin (ap),anthocyanin absent,greyish green,2.07,7.82,7.11,2.12,anthocyanin absent (ap),-,1.27,2.43,6.69,-,Translation of Methuen colour codes.,Accession TUR10108
CAS 3,very slight anthocyanin (ap),intense anthocyanin,greyish green,2.02,9.38,8.19,2.42,anthocyanin absent (ap),1.10,1.47,2.61,8.04,-,Translation of Methuen colour codes.,Accession TUR10109
CATONGO,anthocyanin absent (ap),anthocyanin absent,greyish green,2.35,8.58,7.69,2.19,anthocyanin absent (ap),1.02,1.48,2.46,7.98,-,Translation of Methuen colour codes.,Accession TUR10113
CATONGO,anthocyanin absent (ap),anthocyanin absent,greyish green,2.2,7.8,7.8,2.3,anthocyanin absent (ap),1.02,1.3,2.4,7.8,-,Translation of Methuen colour codes.,Accession TUR10114
CATONGO,anthocyanin absent (ap),anthocyanin absent,greyish green,2.18,7.99,7.59,2.36,anthocyanin absent (ap),1.01,1.42,2.12,7.62,-,Translation of Methuen colour codes.,Accession TUR10125
CATONGO,anthocyanin absent (ap),anthocyanin absent,greyish green,2.62,8.32,7.63,2.63,anthocyanin absent (ap),1.02,1.32,2.15,7.94,-,Translation of Methuen colour codes.,Accession TUR10128
CC 10,intense anthocyanin (ap),slight anthocyanin,pale green,2.31,9.07,8.17,2.88,anthocyanin absent (ap),0.94,1.21,2.01,7.73,self compatible,Translation of Methuen colour codes.,Accession TUR10133
CC 100,intense anthocyanin (ap),intense anthocyanin,pastel green,2.47,11.13,8.83,2.39,slight anthocyanin (ap),0.91,1.32,2.07,7.65,-,Translation of Methuen colour codes.,Accession TUR10165
CC 102,slight anthocyanin (ap),anthocyanin absent,pastel green,1.99,8.83,7.7,3.04,anthocyanin absent (ap),0.93,1.02,1.86,6.51,-,Translation of Methuen colour codes.,Accession TUR10166
CC 103,slight anthocyanin (ap),intense anthocyanin,dull red,2.57,9.65,8.39,3.49,anthocyanin absent (ap),1.00,1.16,2.56,7.83,-,Translation of Methuen colour codes.,Accession TUR10167
CC 106,slight anthocyanin (ap),slight anthocyanin,pale green,2.32,9.02,7.72,2.09,anthocyanin absent (ap),1.02,1.37,1.98,7.34,-,Translation of Methuen colour codes.,Accession TUR10168
CC 107,slight anthocyanin (ap),intense anthocyanin,pastel green,2.03,8.61,7.98,2.07,anthocyanin absent (ap),0.98,1.36,1.78,7.28,self compatible,Translation of Methuen colour codes.,Accession TUR10169
CC 120,anthocyanin absent (ap),anthocyanin absent,greyish green,2.07,9.22,9.28,2.26,anthocyanin absent (ap),1.03,1.46,1.95,8.72,-,Translation of Methuen colour codes.,Accession TUR10170
CC 121,anthocyanin absent (ap),slight anthocyanin,reddish brown,2.1,9.2,7.0,1.9,anthocyanin absent (ap),0.96,1.27,1.88,7.5,self compatible,Translation of Methuen colour codes.,Accession TUR10171
CC 124,slight anthocyanin (ap),anthocyanin absent,greyish green,2.41,8.76,8.03,2.64,slight anthocyanin (ap),0.99,1.4,2.12,7.05,-,Translation of Methuen colour codes.,Accession TUR10172
CC 132,slight anthocyanin (ap),slight anthocyanin,pastel green,2.32,9.56,7.83,2.31,anthocyanin absent (ap),1.03,1.3,2.28,8.21,-,Translation of Methuen colour codes.,Accession TUR10175
CC 137,slight anthocyanin (ap),slight anthocyanin,greyish green,2.2,8.12,7.0,2.5,anthocyanin absent (ap),0.98,1.26,1.97,7.0,self compatible,Translation of Methuen colour codes.,Accession TUR10177
CC 138,intense anthocyanin (ap),anthocyanin absent,greyish green,2.01,8.26,7.72,1.93,anthocyanin absent (ap),1.00,1.44,1.69,7.62,-,Translation of Methuen colour codes.,Accession TUR10178
CC 139,slight anthocyanin (ap),anthocyanin absent,pastel green,2.2,8.8,7.5,2.0,anthocyanin absent (ap),0.99,1.28,1.97,7.6,self compatible,Translation of Methuen colour codes.,Accession TUR10179
CC 143,slight anthocyanin (ap),intense anthocyanin,pastel green,2.35,9.78,8.32,2.7,anthocyanin absent (ap),0.99,1.4,1.88,8.09,self compatible,Translation of Methuen colour codes.,Accession TUR10180
CC 144,slight anthocyanin (ap),anthocyanin absent,greyish green,2.23,7.84,6.92,2.01,anthocyanin absent (ap),1.13,1.53,1.99,6.95,-,Translation of Methuen colour codes.,Accession TUR10181
CC 152,slight anthocyanin (ap),intense anthocyanin,greyish green,2.15,9.29,7.79,2.64,anthocyanin absent (ap),0.99,1.2,2.06,7.79,-,Translation of Methuen colour codes.,Accession TUR10182
CC 169,slight anthocyanin (ap),intense anthocyanin,greyish green,2.23,9.13,7.42,2.33,anthocyanin absent (ap),0.96,1.44,2.02,7.4,-,Translation of Methuen colour codes.,Accession TUR10184
CC 17,intense anthocyanin (ap),slight anthocyanin,greyish green,2.14,9.16,8.11,2.71,anthocyanin absent (ap),0.98,1.35,2.04,7.68,-,Translation of Methuen colour codes.,Accession TUR10134
CC 173,intense anthocyanin (ap),intense anthocyanin,greyish green,2.19,8.78,8.04,2.84,anthocyanin absent (ap),1.02,1.33,2.35,8.12,-,Translation of Methuen colour codes.,Accession TUR10185
CC 18,anthocyanin absent (ap),slight anthocyanin,pale green,2.43,9.5,7.25,2.38,anthocyanin absent (ap),1.02,1.25,2.13,8.5,-,Translation of Methuen colour codes.,Accession TUR10135
CC 210,slight anthocyanin (ap),intense anthocyanin,pastel green,2.16,8.49,6.75,2.74,anthocyanin absent (ap),0.99,1.21,2.54,7.08,-,Translation of Methuen colour codes.,Accession TUR10186
CC 211,slight anthocyanin (ap),intense anthocyanin,greyish green,2.68,8.45,7.62,2.79,anthocyanin absent (ap),0.99,1.4,2.22,7.21,-,Translation of Methuen colour codes.,Accession TUR10188
CC 211,slight anthocyanin (ap),slight anthocyanin,light green,2.58,8.8,7.05,2.38,anthocyanin absent (ap),1.01,1.31,2.25,7.32,-,Translation of Methuen colour codes.,Accession TUR10189
CC 212,slight anthocyanin (ap),slight anthocyanin,dull green,2.4,7.6,7.3,2.6,anthocyanin absent (ap),1.00,1.3,2.6,7.65,-,Translation of Methuen colour codes.,Accession TUR10190
