Clone name,Colour,Notes
AMANAVEN [CRI],olive brown,Translation of Methuen colour codes.
APA 4,light brown,Translation of Methuen colour codes.
APA 5,light brown,Translation of Methuen colour codes.
BE 10,brown,Translation of Methuen colour codes.
BE 2,greenish yellow,Translation of Methuen colour codes.
BE 3,light brown,Translation of Methuen colour codes.
BE 4,dark brown,Translation of Methuen colour codes.
BS 2,reddish brown,Translation of Methuen colour codes.
C SUL 3,olive yellow,Translation of Methuen colour codes.
C SUL 3,olive,Translation of Methuen colour codes.
C SUL 7,light yellow,Translation of Methuen colour codes.
CAAG,light brown,Translation of Methuen colour codes.
CAR 1,brownish red,Translation of Methuen colour codes.
CAS 1,reddish brown,Translation of Methuen colour codes.
CAS 3,reddish brown,Translation of Methuen colour codes.
CATONGO,greyish green,Translation of Methuen colour codes.
CATONGO,greyish green,Translation of Methuen colour codes.
CATONGO,greyish green,Translation of Methuen colour codes.
CATONGO,greyish green,Translation of Methuen colour codes.
CATONGO,greyish yellow,Translation of Methuen colour codes.
CC 10,reddish brown,Translation of Methuen colour codes.
CC 100,light brown,Translation of Methuen colour codes.
CC 102,reddish brown,Translation of Methuen colour codes.
CC 103,brownish orange,Translation of Methuen colour codes.
CC 106,light brown,Translation of Methuen colour codes.
CC 107,light brown,Translation of Methuen colour codes.
CC 120,light brown,Translation of Methuen colour codes.
CC 121,light brown,Translation of Methuen colour codes.
CC 124,reddish brown,Translation of Methuen colour codes.
CC 124,reddish brown,Translation of Methuen colour codes.
CC 124,brownish red,Translation of Methuen colour codes.
CC 132,light brown,Translation of Methuen colour codes.
CC 137,reddish brown,Translation of Methuen colour codes.
CC 138,reddish brown,Translation of Methuen colour codes.
CC 139,brownish red,Translation of Methuen colour codes.
CC 143,yellowish brown,Translation of Methuen colour codes.
CC 144,reddish brown,Translation of Methuen colour codes.
CC 152,light brown,Translation of Methuen colour codes.
CC 158,light brown,Translation of Methuen colour codes.
CC 169,reddish brown,Translation of Methuen colour codes.
CC 17,brownish red,Translation of Methuen colour codes.
CC 173,reddish brown,Translation of Methuen colour codes.
CC 18,reddish brown,Translation of Methuen colour codes.
CC 182,reddish brown,Translation of Methuen colour codes.
CC 210,brownish orange,Translation of Methuen colour codes.
CC 210,reddish brown,Translation of Methuen colour codes.
CC 211,light brown,Translation of Methuen colour codes.
CC 211,light brown,Translation of Methuen colour codes.
CC 212,greyish yellow,Translation of Methuen colour codes.
CC 212,greyish orange,Translation of Methuen colour codes.
CC 212,brownish orange,Translation of Methuen colour codes.
CC 213,brownish red,Translation of Methuen colour codes.
CC 213,olive yellow,Translation of Methuen colour codes.
CC 215,light brown,Translation of Methuen colour codes.
CC 215,light brown,Translation of Methuen colour codes.
CC 220,brownish red,Translation of Methuen colour codes.
CC 222,brownish orange,Translation of Methuen colour codes.
CC 223,reddish brown,Translation of Methuen colour codes.
CC 224,brownish red,Translation of Methuen colour codes.
CC 225,reddish brown,Translation of Methuen colour codes.
CC 226,light brown,Translation of Methuen colour codes.
CC 228,brownish red,Translation of Methuen colour codes.
CC 231,light brown,Translation of Methuen colour codes.
CC 232,brownish red,Translation of Methuen colour codes.
CC 234,brownish orange,Translation of Methuen colour codes.
CC 235,reddish brown,Translation of Methuen colour codes.
CC 236,light brown,Translation of Methuen colour codes.
CC 237,brownish red,Translation of Methuen colour codes.
CC 240,light brown,Translation of Methuen colour codes.
CC 241,light brown,Translation of Methuen colour codes.
CC 243,reddish brown,Translation of Methuen colour codes.
CC 244,reddish brown,Translation of Methuen colour codes.
CC 245,brownish orange,Translation of Methuen colour codes.
CC 246,olive yellow,Translation of Methuen colour codes.
CC 249,brownish orange,Translation of Methuen colour codes.
CC 250,dark brown,Translation of Methuen colour codes.
CC 251,reddish brown,Translation of Methuen colour codes.
CC 252,reddish brown,Translation of Methuen colour codes.
CC 253,violet brown,Translation of Methuen colour codes.
CC 254,reddish brown,Translation of Methuen colour codes.
CC 255,greenish yellow,Translation of Methuen colour codes.
CC 256,brownish orange,Translation of Methuen colour codes.
CC 257,brownish orange,Translation of Methuen colour codes.
CC 258,brown,Translation of Methuen colour codes.
CC 259,light brown,Translation of Methuen colour codes.
CC 260,light brown,Translation of Methuen colour codes.
CC 261,light brown,Translation of Methuen colour codes.
CC 262,brown,Translation of Methuen colour codes.
CC 263,light brown,Translation of Methuen colour codes.
CC 265,brownish red,Translation of Methuen colour codes.
CC 27,brownish red,Translation of Methuen colour codes.
CC 30,reddish brown,Translation of Methuen colour codes.
CC 33,reddish brown,Translation of Methuen colour codes.
CC 34,light brown,Translation of Methuen colour codes.
CC 35,reddish brown,Translation of Methuen colour codes.
CC 37,reddish brown,Translation of Methuen colour codes.
CC 38,reddish brown,Translation of Methuen colour codes.
CC 39,brownish red,Translation of Methuen colour codes.
CC 40,reddish brown,Translation of Methuen colour codes.
CC 41,brownish red,Translation of Methuen colour codes.
CC 42,dark brown,Translation of Methuen colour codes.
CC 43,reddish brown,Translation of Methuen colour codes.
CC 44,brownish red,Translation of Methuen colour codes.
CC 45,violet brown,Translation of Methuen colour codes.
CC 46,brownish red,Translation of Methuen colour codes.
CC 47,brownish red,Translation of Methuen colour codes.
CC 48,reddish brown,Translation of Methuen colour codes.
CC 49,brownish red,Translation of Methuen colour codes.
CC 52,dark brown,Translation of Methuen colour codes.
CC 54,reddish brown,Translation of Methuen colour codes.
CC 60,brownish orange,Translation of Methuen colour codes.
CC 67,reddish brown,Translation of Methuen colour codes.
CC 69,brownish red,Translation of Methuen colour codes.
CC 71,reddish brown,Translation of Methuen colour codes.
CC 74,reddish brown,Translation of Methuen colour codes.
CC 79,reddish brown,Translation of Methuen colour codes.
CC 83,light brown,Translation of Methuen colour codes.
CC 9,brownish red,Translation of Methuen colour codes.
CC 99,brownish orange,Translation of Methuen colour codes.
CHU 120 [VEN],light brown,Translation of Methuen colour codes.
CHU 24 [VEN],reddish brown,Translation of Methuen colour codes.
CNS 22 [VEN],olive brown,Translation of Methuen colour codes.
CNS 23 [VEN],greyish yellow,Translation of Methuen colour codes.
COMUM TIPICO,brownish red,Translation of Methuen colour codes.
CU 1,reddish brown,Translation of Methuen colour codes.
CU 2,light brown,Translation of Methuen colour codes.
CU 3,greenish yellow,Translation of Methuen colour codes.
CU EN SEMI 1,greenish yellow,Translation of Methuen colour codes.
CU EN SEMI 1,brownish orange,Translation of Methuen colour codes.
DIAMANTES 800,reddish brown,Translation of Methuen colour codes.
DR 1,olive brown,Translation of Methuen colour codes.
DR 38,deep green,Translation of Methuen colour codes.
EEG 25,light brown,Translation of Methuen colour codes.
EEG 27,light brown,Translation of Methuen colour codes.
EEG 29,light brown,Translation of Methuen colour codes.
EEG 48,brownish orange,Translation of Methuen colour codes.
EEG 64,brownish orange,Translation of Methuen colour codes.
EEG 65,light brown,Translation of Methuen colour codes.
EET 12 [ECU],light brown,Translation of Methuen colour codes.
EET 156 [ECU],reddish brown,Translation of Methuen colour codes.
EET 162 [ECU],light brown,Translation of Methuen colour codes.
EET 164 [ECU],reddish brown,Translation of Methuen colour codes.
EET 183 [ECU],light brown,Translation of Methuen colour codes.
EET 19 [ECU],reddish brown,Translation of Methuen colour codes.
EET 228 [ECU],brownish orange,Translation of Methuen colour codes.
EET 250 [ECU],brownish orange,Translation of Methuen colour codes.
EET 338 [ECU],light brown,Translation of Methuen colour codes.
EET 353 [ECU],yellowish brown,Translation of Methuen colour codes.
EET 364 [ECU],reddish brown,Translation of Methuen colour codes.
EET 376 [ECU],brownish orange,Translation of Methuen colour codes.
EET 377 [ECU],brownish orange,Translation of Methuen colour codes.
EET 390 [ECU],orange,Translation of Methuen colour codes.
EET 397 [ECU],reddish brown,Translation of Methuen colour codes.
EET 399 [ECU],light brown,Translation of Methuen colour codes.
EET 400 [ECU],light brown,Translation of Methuen colour codes.
EET 41 [ECU],light brown,Translation of Methuen colour codes.
EET 45 [ECU],reddish brown,Translation of Methuen colour codes.
EET 48 [ECU],light brown,Translation of Methuen colour codes.
EET 53 [ECU],reddish brown,Translation of Methuen colour codes.
EET 59 [ECU],light brown,Translation of Methuen colour codes.
EET 62 [ECU],light brown,Translation of Methuen colour codes.
EET 64 [ECU],light brown,Translation of Methuen colour codes.
EET 67 [ECU],brownish orange,Translation of Methuen colour codes.
EET 75 [ECU],reddish brown,Translation of Methuen colour codes.
EET 80 [ECU],light brown,Translation of Methuen colour codes.
EET 94 [ECU],light brown,Translation of Methuen colour codes.
EET 95 [ECU],reddish brown,Translation of Methuen colour codes.
EET 96 [ECU],brownish orange,Translation of Methuen colour codes.
G 23 [GET],light brown,Translation of Methuen colour codes.
G 8 [GET],brownish red,Translation of Methuen colour codes.
GA 11 [HAI],olive yellow,Translation of Methuen colour codes.
GS 29,reddish brown,Translation of Methuen colour codes.
GS 29,reddish brown,Translation of Methuen colour codes.
GS 36,reddish brown,Translation of Methuen colour codes.
GS 78,light brown,Translation of Methuen colour codes.
ICS 1,reddish brown,Translation of Methuen colour codes.
ICS 1,reddish brown,Translation of Methuen colour codes.
ICS 100,light brown,Translation of Methuen colour codes.
ICS 117,olive brown,Translation of Methuen colour codes.
