Clone name,Basal constriction,Apex form,Rugosity,Furrow depth,Husk thickness,Length,Breadth,Colour,Weight,Pods per tree,Hardness,Length breadth ratio,Info,Notes
AMANAVEN [CRI],slight,slightly obtuse - obtuse,smooth - very slight,imperceptible,-,-,-,absent anthocyanin,-,-,-,-,-,Accession TUR10090
APA 4,very slight,slightly obtuse,slight,superficial,11.75 mm (13.6 - 9.9),161.0,97.0,absent anthocyanin,614.0,5,soft,1.65,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.65,Accession TUR10091
APA 5,absent,slightly obtuse,slight,imperceptible,12.4 mm (14 - 10.8),169.0,101.0,absent anthocyanin,767.0,7,hard,1.67,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.65,Accession TUR10092
BE 10,moderate,slightly acute,slight - moderate,intermediate,12.3 mm (14.8 - 9.8),188.0,91.0,absent anthocyanin,725.0,3,hard,2.06,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.72,Accession TUR10102
BE 2,slight,obtuse,smooth - very slight,superficial,-,-,-,absent anthocyanin,-,-,-,-,-,Accession TUR10099
BE 3,slight,obtuse,very slight,imperceptible - superficial,-,-,-,absent anthocyanin,-,1,-,-,-,Accession TUR10100
BE 4,absent,obtuse,slight,intermediate,-,-,-,slight / absent anthocyanin (ridge/furrow),-,-,-,-,-,Accession TUR10101
BS 2,moderate - slight,slightly acute,slight,superficial,10.75 mm (13.1 - 8.4),190.0,87.0,absent anthocyanin,596.0,-,hard,2.18,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.89,Accession TUR10103
C SUL 3,very slight,obtuse - slightly acute,moderate,intermediate,8.75 mm (10.9 - 6.6),154.0,75.0,absent anthocyanin,367.0,3,soft,2.05,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.65,Accession TUR10243
C SUL 3,moderate,obtuse - slightly acute,slight,intermediate,-,-,-,negligible - slight / negligible anthocyanin (ridge/furrow),-,-,-,-,-,Accession TUR10244
C SUL 7,very strong,acute,-,-,8.7 mm (12 - 5.4),191.0,76.0,absent anthocyanin,462.0,3,soft,2.51,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.49,Accession TUR10245
CAAG,slight,obtuse,very slight,superficial - intermediate,-,-,-,absent anthocyanin,-,-,-,-,-,Accession TUR10104
