Clone name,Seed index,Productivity,Notes
APA 4,103.0,medium,Accession TUR10091
APA 5,96.1,high,Accession TUR10092
BE 10,102.0,low,Accession TUR10102
BE 3,-,very low,Accession TUR10100
BS 2,99.0,-,Accession TUR10103
C SUL 3,181.8,low,Accession TUR10243
C SUL 7,149.2,low,Accession TUR10245
CAS 1,90.9,very low - low,Accession TUR10108
CAS 3,80.0,medium - high,Accession TUR10109
CATONGO,85.4,-,Accession TUR10114
CATONGO,105.2,medium,Accession TUR10113
CATONGO,83.3,-,Accession TUR10128
CATONGO,87.7,low,Accession TUR10125
CC 10,57.1,low,Accession TUR10133
CC 100,67.5,medium,Accession TUR10165
CC 102,86.9,very low - low,Accession TUR10166
CC 103,103.0,very low - low,Accession TUR10167
CC 106,62.8,medium - high,Accession TUR10168
CC 107,75.7,medium - high,Accession TUR10169
CC 120,58.8,medium,Accession TUR10170
CC 121,62.8,high - very high,Accession TUR10171
CC 124,-,very low - low,Accession TUR10194
CC 124,-,very low - low,Accession TUR10173
CC 124,71.9,medium,Accession TUR10172
CC 132,59.8,medium,Accession TUR10175
CC 137,62.8,medium - high,Accession TUR10177
CC 138,68.4,low,Accession TUR10178
CC 139,66.2,medium,Accession TUR10179
CC 143,80.6,low - medium,Accession TUR10180
CC 144,59.5,medium,Accession TUR10181
CC 152,74.6,medium,Accession TUR10182
CC 169,78.1,medium,Accession TUR10184
CC 17,49.2,low,Accession TUR10134
CC 173,74.0,low - medium,Accession TUR10185
CC 18,69.9,medium,Accession TUR10135
CC 210,106.3,medium - high,Accession TUR10186
CC 211,129.8,medium,Accession TUR10189
CC 211,144.9,low - medium,Accession TUR10188
CC 212,117.6,very low - low,Accession TUR10191
CC 212,112.3,high,Accession TUR10190
CC 213,101.0,low - medium,Accession TUR10193
CC 213,135.1,low,Accession TUR10192
CC 215,140.8,high,Accession TUR10195
CC 222,-,low,Accession TUR10199
CC 223,-,very low - low,Accession TUR10200
CC 224,105.2,low,Accession TUR10201
CC 225,144.9,medium,Accession TUR10202
CC 226,103.0,medium,Accession TUR10203
CC 228,131.5,medium,Accession TUR10204
CC 231,101.0,low,Accession TUR10205
CC 232,101.0,medium - high,Accession TUR10206
CC 234,82.6,low,Accession TUR10207
CC 235,136.9,medium,Accession TUR10208
CC 236,126.5,medium,Accession TUR10209
CC 240,114.9,low,Accession TUR10211
CC 241,90.0,very low - low,Accession TUR10212
CC 243,-,very low - low,Accession TUR10213
CC 244,93.4,high,Accession TUR10214
CC 245,86.9,medium - high,Accession TUR10215
CC 249,99.0,low,Accession TUR10217
