Clone name,Colour purple,Colour light purple,Colour white,Colour mottled,Shape,Length,Width,Thickness,Cotyledon wet weight,Cotyledon dry weight
C 4 /11 [TRI],63,24,6,7,flat/round,25.6,14.4,8.4,2.0,1.25
CC 10,79,21,-,-,round,29.7,15.9,11.3,3.22,2.08
CC 41,100,-,-,-,flat,25.0,14.0,9.0,1.99,1.18
CC 9,100,-,-,-,elongate/round,25.0,12.5,9.0,1.73,1.12
EET 103 [ECU],98,2,-,-,round,27.2,14.1,9.7,2.35,1.57
EET 162 [ECU],100,-,-,-,elongate/round,26.6,13.8,9.0,2.08,1.36
EET 19 [ECU],68,12,-,20,flat/round,28.0,16.2,10.4,2.8,1.89
EET 238 [ECU],100,-,-,-,flat/round,25.6,13.1,9.2,2.0,1.36
EET 374 [ECU],99,1,-,-,round,24.1,12.7,9.5,1.78,1.15
EET 392 [ECU],44,32,11,13,round,26.9,11.7,9.9,1.95,1.27
EET 399 [ECU],50,30,16,4,round,26.9,12.6,9.5,2.02,1.36
EET 400 [ECU],37,34,19,10,flat/elongate,26.5,12.6,9.3,1.96,1.34
EET 48 [ECU],100,-,-,-,round,27.5,14.5,9.9,2.45,1.60
EET 62 [ECU],95,5,-,-,flat/round,26.6,14.1,10.0,2.33,1.52
EET 95 [ECU],100,-,-,-,flat/round,26.8,14.2,9.4,2.29,1.54
EET 96 [ECU],100,-,-,-,round,27.3,13.9,9.9,2.31,1.49
GS 29,83,8,-,9,flat,23.3,13.7,9.2,1.8,1.17
GS 36,85,13,-,2,round,23.9,14.2,9.1,2.0,1.29
ICS 1,76,14,1,9,flat/round,25.9,14.1,8.3,1.9,1.20
ICS 100,66,21,3,10,round,25.4,12.8,9.2,1.9,1.22
ICS 16,85,12,1,2,flat/round,25.6,15.3,8.6,2.2,1.40
ICS 55,19,30,1,50,flat/round,23.4,14.3,8.9,1.9,1.00
ICS 6,91,9,-,-,flat/round,26.0,15.6,9.0,2.3,1.50
ICS 75,41,36,10,13,flat/round,23.8,13.9,9.1,1.9,1.30
ICS 8,88,12,-,-,flat/round,25.2,15.3,9.7,2.3,1.50
ICS 89,73,27,-,-,flat/round,22.4,14.2,9.3,1.8,1.10
ICS 95,67,29,-,4,elongate/round,22.7,12.1,8.7,1.5,1.00
ICS 98,73,27,-,-,elongate/round,22.7,13.3,9.7,1.8,1.10
IMC 67,92,8,-,-,round,22.8,11.2,7.9,1.3,0.93
OC 61 [VEN],20,40,17,23,flat/elongate,26.4,15.8,10.5,2.65,-
OC 77 [VEN],4,80,-,16,elongate/round,26.6,13.5,10.6,2.22,1.29
PA 121 [PER],100,-,-,-,flat/round,22.9,12.1,8.9,1.57,1.01
POUND 12,88,12,-,-,flat/round,21.1,10.2,6.9,0.96,0.69
POUND 18,-,-,-,-,round,23.0,11.6,7.5,1.19,0.88
POUND 7,100,-,-,-,flat/round,22.1,12.3,7.7,1.3,0.95
PQTO 87 [VEN],84,16,-,-,flat,23.8,13.8,9.1,1.88,1.18
RIM 10 [MEX],85,15,-,-,round,25.7,14.6,11.6,2.7,1.74
RIM 13 [MEX],64,34,-,2,elongate/round,25.3,14.2,11.2,2.51,1.58
RIM 30 [MEX],75,19,2,4,elongate/round,25.5,14.4,11.5,2.56,1.62
RIM 48 [MEX],61,35,2,2,elongate/round,24.9,14.0,10.9,2.33,1.51
SC 10 [VEN],100,-,-,-,flat,25.2,13.4,8.7,1.91,1.16
SC 5 [COL],65,32,2,1,round,24.6,14.4,10.9,2.34,1.43
SC 6 [COL],35,45,14,6,flat/round,24.0,14.0,10.1,2.03,1.32
SCA 12,92,8,-,-,round,22.0,10.5,7.1,1.1,0.66
SCA 6,71,29,-,-,round,19.7,10.2,7.5,1.0,0.62
SIAL 163,100,-,-,-,-,23.2,12.1,7.7,1.43,0.92
SIAL 325,100,-,-,-,flat,24.7,11.2,7.9,1.47,0.99
SIAL 70,100,-,-,-,-,24.2,12.7,7.7,1.58,1.06
SIAL 88,100,-,-,-,-,25.0,12.7,8.3,1.74,1.13
SIC 801,-,30,70,-,-,25.1,12.3,7.7,1.53,1.04
SIC 802,42,-,58,-,-,24.7,12.4,8.1,1.6,1.12
SIC 812,15,-,85,-,-,24.2,11.9,7.2,1.33,0.89
SIC 823,8,-,92,-,-,23.8,11.8,7.5,1.38,0.96
SIC 831,15,-,85,-,-,25.5,12.3,7.7,1.57,1.09
SPA 9 [COL],93,7,-,-,elongate/round,22.7,12.3,8.6,1.52,1.02
TSA 644,99,1,-,-,flat,22.2,11.9,8.1,1.4,0.95
TSA 654,94,6,-,-,flat/round,23.2,11.3,8.3,1.32,0.88
TSAN 792,92,8,-,-,flat,24.6,13.7,8.0,1.73,1.12
TSH 565,85,11,-,4,flat/round,24.8,12.0,8.8,1.59,1.00
UF 221,85,15,-,-,flat,28.0,15.6,10.3,2.85,1.78
UF 29,100,-,-,-,elongate/round,23.0,13.0,9.1,1.58,1.05
UF 613,83,17,-,-,flat/round,26.3,13.9,10.0,2.3,1.44
UF 650,87,13,-,-,round,29.8,16.6,11.4,3.47,2.20
UF 667,62,31,-,-,elongate,30.1,17.4,12.1,3.74,2.10
