Clone name,Bud colour,Ligule colour,Stamen colour,Guide line length,Sepal colour,Sepal width,Sepal length,Sepal length width,Ligule length,Ligule width,Ligule length width,Ribbon length,Ribbon colour,Ovary colour,Ovary width,Ovary length,Ovary length width,Ovule number,Style colour,Style length,Staminode colour,Staminode length,Pedicel length,Hairs,Pigmented glands,Horns,Pigmented spot,Self compatibility
C 4 /11 [TRI],slight anthocyanin,slight anthocyanin,anthocyanin absent,4.0,slight anthocyanin,2.4,9.0,3.69,3.2,2.3,1.41,4.7,intense anthocyanin,anthocyanin absent (ap):anthocyanin absent (ba),1.2,1.6,1.3,50,anthocyanin absent (ap):anthocyanin absent (ba),2.1,intense anthocyanin,8.0,13.40,present,present,absent,absent,self incompatible
CC 10,intense anthocyanin,slight anthocyanin,slight anthocyanin,4.0,slight anthocyanin,2.6,9.5,3.56,4.4,3.3,1.35,4.1,slight anthocyanin,anthocyanin absent (ap):anthocyanin absent (ba),1.3,1.7,1.34,46,anthocyanin absent (ap):anthocyanin absent (ba),2.2,intense anthocyanin,8.9,19.70,present,present,absent,present,self incompatible
CC 41,moderate anthocyanin,slight anthocyanin,intense anthocyanin,3.6,slight anthocyanin,2.5,9.2,3.64,4.4,2.6,1.72,4.2,slight anthocyanin,anthocyanin absent (ap):anthocyanin absent (ba),1.3,2.2,1.68,45,anthocyanin absent (ap):anthocyanin absent (ba),2.0,intense anthocyanin,8.9,18.80,present,present,absent,present,-
CC 9,intense anthocyanin,slight anthocyanin,moderate anthocyanin,2.7,intense anthocyanin,2.3,8.6,3.69,4.4,2.5,1.78,3.4,slight anthocyanin,slight anthocyanin (ap):anthocyanin absent (ba),1.2,1.8,1.49,42,anthocyanin absent (ap):anthocyanin absent (ba),2.4,intense anthocyanin,7.8,15.30,present,present,absent,present,-
EET 103 [ECU],slight anthocyanin,slight anthocyanin,intense anthocyanin,3.2,anthocyanin absent,2.5,8.3,3.34,3.3,2.8,1.17,3.7,slight anthocyanin,anthocyanin absent (ap):anthocyanin absent (ba),1.2,1.7,1.46,53,anthocyanin absent (ap):anthocyanin absent (ba),2.7,intense anthocyanin,7.1,17.90,present,present,absent,absent,-
EET 156 [ECU],slight anthocyanin,anthocyanin absent,slight anthocyanin,3.6,slight anthocyanin,2.5,7.8,3.15,2.5,3.0,0.85,3.2,anthocyanin absent,slight anthocyanin (ap):anthocyanin absent (ba),1.2,1.5,1.25,55,anthocyanin absent (ap):anthocyanin absent (ba),3.2,intense anthocyanin,7.2,16.30,present,present,present,absent,-
EET 162 [ECU],slight anthocyanin,slight anthocyanin,intense anthocyanin,3.1,slight anthocyanin,2.3,7.9,3.45,3.1,2.8,1.1,3.3,anthocyanin absent,anthocyanin absent (ap):anthocyanin absent (ba),1.2,1.7,1.37,50,anthocyanin absent (ap):anthocyanin absent (ba),2.9,intense anthocyanin,6.3,15.60,present,present,absent,absent,-
EET 19 [ECU],slight anthocyanin,slight anthocyanin,moderate anthocyanin,3.9,slight anthocyanin,2.5,7.7,3.2,3.5,3.2,1.09,3.5,anthocyanin absent,anthocyanin absent (ap):anthocyanin absent (ba),1.4,1.8,1.28,47,anthocyanin absent (ap):anthocyanin absent (ba),2.5,slight anthocyanin,7.3,17.50,present,present,absent,present,self incompatible
EET 238 [ECU],slight anthocyanin,slight anthocyanin,slight anthocyanin,3.4,slight anthocyanin,2.5,9.1,3.58,3.6,3.2,1.13,4.1,slight anthocyanin,anthocyanin absent (ap):anthocyanin absent (ba),1.2,1.8,1.42,50,anthocyanin absent (ap):anthocyanin absent (ba),2.8,intense anthocyanin,7.4,17.80,present,present,absent,absent,-
EET 374 [ECU],slight anthocyanin,anthocyanin absent,slight anthocyanin,3.6,slight anthocyanin,2.6,9.0,3.4,4.0,3.1,1.26,3.2,anthocyanin absent,anthocyanin absent (ap):anthocyanin absent (ba),1.5,2.0,1.34,53,anthocyanin absent (ap):anthocyanin absent (ba),3.0,intense anthocyanin,8.6,17.00,present,present,absent,absent,-
EET 392 [ECU],anthocyanin absent,anthocyanin absent,anthocyanin absent,3.7,anthocyanin absent,2.3,7.9,3.44,3.1,2.7,1.14,3.1,anthocyanin absent,anthocyanin absent (ap):anthocyanin absent (ba),1.3,1.7,1.27,51,anthocyanin absent (ap):anthocyanin absent (ba),2.5,intense anthocyanin,7.8,16.90,present,present,absent,absent,-
EET 399 [ECU],-,anthocyanin absent,slight anthocyanin,3.7,anthocyanin absent,2.7,8.6,3.25,3.5,2.7,1.32,2.8,anthocyanin absent,anthocyanin absent (ap):anthocyanin absent (ba),1.3,1.9,1.34,44,anthocyanin absent (ap):anthocyanin absent (ba),2.2,intense anthocyanin,7.4,17.30,present,present,absent,absent,-
EET 400 [ECU],anthocyanin absent,anthocyanin absent,slight anthocyanin,3.5,anthocyanin absent,2.5,7.9,3.22,3.6,2.2,1.68,2.7,anthocyanin absent,anthocyanin absent (ap):anthocyanin absent (ba),1.2,1.7,1.26,52,anthocyanin absent (ap):anthocyanin absent (ba),2.5,intense anthocyanin,7.0,17.10,present,present,absent,absent,-
EET 48 [ECU],slight anthocyanin,anthocyanin absent,intense anthocyanin,3.4,slight anthocyanin,2.5,8.9,3.69,3.6,3.0,1.2,3.7,slight anthocyanin,anthocyanin absent (ap):anthocyanin absent (ba),1.3,1.7,1.23,51,anthocyanin absent (ap):anthocyanin absent (ba),2.9,intense anthocyanin,7.6,19.90,present,present,absent,present,self compatible
EET 62 [ECU],slight anthocyanin,slight anthocyanin,slight anthocyanin,3.2,slight anthocyanin,2.4,8.9,3.76,3.5,2.8,1.27,3.4,slight anthocyanin,anthocyanin absent (ap):anthocyanin absent (ba),1.2,1.6,1.21,50,anthocyanin absent (ap):anthocyanin absent (ba),2.8,slight anthocyanin,6.9,16.10,present,present,absent,present,-
EET 95 [ECU],slight anthocyanin,moderate anthocyanin,intense anthocyanin,3.1,anthocyanin absent,2.6,8.7,3.28,3.7,3.0,1.22,3.9,anthocyanin absent,anthocyanin absent (ap):anthocyanin absent (ba),1.4,1.9,1.35,51,anthocyanin absent (ap):anthocyanin absent (ba),2.9,intense anthocyanin,7.5,20.10,present,present,absent,absent,-
EET 96 [ECU],slight anthocyanin,slight anthocyanin,moderate anthocyanin,3.1,slight anthocyanin,2.6,8.6,3.46,3.4,2.8,1.2,3.6,anthocyanin absent,anthocyanin absent (ap):anthocyanin absent (ba),1.3,1.7,1.29,50,anthocyanin absent (ap):anthocyanin absent (ba),3.1,intense anthocyanin,6.8,16.40,present,present,absent,present,self incompatible
GS 29,intense anthocyanin,anthocyanin absent,anthocyanin absent,3.1,intense anthocyanin,2.4,8.1,3.43,3.2,2.7,1.2,3.8,anthocyanin absent,intense anthocyanin (ap):slight anthocyanin (ba),1.0,1.5,1.47,40,,2.2,intense anthocyanin,7.3,18.00,present,present,present,absent,self compatible
GS 36,slight anthocyanin,anthocyanin absent,anthocyanin absent,3.3,moderate anthocyanin,2.4,8.4,3.44,2.7,2.7,0.99,3.8,anthocyanin absent,moderate anthocyanin (ap):slight anthocyanin (ba),1.1,1.5,1.34,40,slight anthocyanin (ap):anthocyanin absent (ba),2.3,intense anthocyanin,8.0,1.72,present,present,absent,absent,-
ICS 1,moderate anthocyanin,anthocyanin absent,anthocyanin absent,3.4,slight anthocyanin,2.3,7.4,3.76,2.9,2.2,1.3,4.4,slight anthocyanin,intense anthocyanin (ap):anthocyanin absent (ba),0.95,1.3,1.39,50,anthocyanin absent (ap):intense anthocyanin (ba),1.95,intense anthocyanin,6.0,14.00,present,present,present,absent,self incompatible
ICS 100,slight anthocyanin,slight anthocyanin,anthocyanin absent,3.1,slight anthocyanin,2.0,7.6,3.78,2.7,2.1,1.29,3.0,intense anthocyanin,anthocyanin absent (ap):anthocyanin absent (ba),1.0,1.0,1.01,44,anthocyanin absent (ap):anthocyanin absent (ba),2.0,intense anthocyanin,6.0,10.00,present,present,absent,absent,self compatible
ICS 16,slight anthocyanin,anthocyanin absent,anthocyanin absent,3.1,moderate anthocyanin,2.4,8.9,3.67,3.4,2.5,1.36,3.3,slight anthocyanin,intense anthocyanin (ap):anthocyanin absent (ba),1.2,1.5,1.27,49,anthocyanin absent (ap):slight anthocyanin (ba),2.0,intense anthocyanin,7.5,15.00,present,present,absent,absent,self compatible
ICS 55,intense anthocyanin,anthocyanin absent,anthocyanin absent,2.9,intense anthocyanin,2.1,6.9,3.35,2.4,2.1,1.14,3.3,anthocyanin absent,intense anthocyanin (ap):anthocyanin absent (ba),1.0,1.2,1.31,41,anthocyanin absent (ap):intense anthocyanin (ba),1.5,intense anthocyanin,6.5,11.00,present,present,present,absent,self incompatible
ICS 6,anthocyanin absent,slight anthocyanin,anthocyanin absent,3.1,slight anthocyanin,2.3,9.3,3.95,3.4,2.3,1.49,4.0,slight anthocyanin,anthocyanin absent (ap):anthocyanin absent (ba),1.0,1.5,1.48,51,anthocyanin absent (ap):anthocyanin absent (ba),2.0,intense anthocyanin,7.5,11.00,present,present,absent,absent,self incompatible
