Clone name,Colour
C 4 /11 [TRI],slight anthocyanin
CC 10,intense anthocyanin
CC 41,intense anthocyanin
CC 9,intense anthocyanin
EET 103 [ECU],slight anthocyanin
EET 156 [ECU],intense anthocyanin
EET 162 [ECU],slight anthocyanin
EET 19 [ECU],slight anthocyanin
EET 238 [ECU],moderate anthocyanin
EET 374 [ECU],moderate anthocyanin
EET 392 [ECU],slight anthocyanin
EET 399 [ECU],slight anthocyanin
EET 400 [ECU],slight anthocyanin
EET 48 [ECU],slight anthocyanin
EET 62 [ECU],slight anthocyanin
EET 95 [ECU],slight anthocyanin
EET 96 [ECU],slight anthocyanin
GS 29,intense anthocyanin
GS 36,anthocyanin absent
ICS 1,intense anthocyanin
ICS 100,intense anthocyanin
ICS 16,intense anthocyanin
ICS 55,intense anthocyanin
ICS 6,moderate anthocyanin
ICS 75,slight anthocyanin
ICS 8,intense anthocyanin
ICS 89,slight anthocyanin
ICS 95,intense anthocyanin
ICS 98,intense anthocyanin
IMC 67,slight anthocyanin
OC 61 [VEN],very slight anthocyanin
OC 77 [VEN],very slight anthocyanin
PA 121 [PER],slight anthocyanin
POUND 12,slight anthocyanin
POUND 18,anthocyanin absent
POUND 7,intense anthocyanin
PQTO 87 [VEN],intense anthocyanin
RIM 10 [MEX],slight anthocyanin
RIM 13 [MEX],slight anthocyanin
RIM 30 [MEX],intense anthocyanin
RIM 48 [MEX],intense anthocyanin
SC 10 [VEN],intense anthocyanin
SC 5 [COL],intense anthocyanin
SC 6 [COL],intense anthocyanin
SCA 12,very slight anthocyanin
SCA 6,slight anthocyanin
SIAL 163,anthocyanin absent
SIAL 325,anthocyanin absent
SIAL 70,anthocyanin absent
SIAL 88,slight anthocyanin
SIC 801,anthocyanin absent
SIC 802,anthocyanin absent
SIC 812,anthocyanin absent
SIC 823,anthocyanin absent
SIC 831,anthocyanin absent
SILECIA 1 [ECU],anthocyanin absent
SILECIA 5 [ECU],anthocyanin absent
SPA 9 [COL],very slight anthocyanin
TSA 644,slight anthocyanin
TSA 654,slight anthocyanin
TSAN 792,slight anthocyanin
TSH 565,slight anthocyanin
UF 221,intense anthocyanin
UF 29,moderate anthocyanin
UF 613,intense anthocyanin
UF 650,intense anthocyanin
UF 667,intense anthocyanin
